春秋榖梁傳僖公第五	○名申惠王十八年即位
㑹者外爲主焉爾釋宋公外釋不志此其志何也以公之與之盟目之也不言楚不與楚專釋也	何休曰春秋以執之爲罪不以釋之爲罪責楚子專釋非其理也公羊以爲公㑹諸侯釋之故不復出楚耳鄭君釋之曰不與楚專釋者非以責之也傳云外釋不志此其志何也以公之與之盟目之也言公與諸侯盟而釋宋公公有功焉與公羊義無違錯○復扶又反
二十二年春公伐邾取須句	○句其俱反
夏宋公衛侯許男滕子伐鄭秋八月丁未及邾人戰于升陘	升陘魯地
内諱敗舉其可道者也不言其人以吾敗也不言及之者爲内諱也	○爲于僞反
冬十有一月己巳朔宋公及楚人戰于泓	○泓烏宏反
宋師敗績日事遇朔曰朔春秋三十有四戰未有以尊敗乎卑以師敗乎人者也以尊敗乎卑以師敗乎人則驕其敵襄公以師敗乎人而不驕其敵何也責之也泓之戰以爲復雩之恥也	前年宋公爲楚所執
雩之恥宋襄公有以自取之伐齊之䘮執滕子圍曹爲雩之㑹不顧其力之不足而致楚成王成王怒而執之故曰禮人而不荅則反其敬愛人而不親則反其仁治人而不治則反其知過而不改又之	又復○知音智又如字復扶又反
是謂之過襄公之謂也古者𬒳甲嬰胄非以興國也則以征無道也豈曰以報其恥哉宋公與楚人戰于泓水之上司馬子反曰楚衆我少鼔險而擊之勝無幸焉	若要而擊之必可破非僥倖也○𬒳皮旣反胄直救反司馬子反左傳作子魚要於遥反僥古尭反倖音幸
襄公曰君子不推人危不攻人厄須其出	須其出險○推如字又它回反
旣出旌亂於上陳亂於下子反曰楚衆我少擊之勝無幸焉襄公曰不鼔不成列	列陳○陳直覲反
須其成列而後擊之則衆敗而身傷焉七月而死	何休曰即宋公身傷當言公不當言師成十六年楚子敗績是也又成十六年傳曰不言師君重于師也即成十六年是二十二年虚言也即二十二年是十六年非也鄭君釋之曰傳說楚子敗績曰四躰偏斷此則目也此言君之目與手足有破斷者乃爲敗矣今宋襄公身傷耳當持鼔軍事無所害而師猶敗故不言宋公敗績也傳所以言敗衆敗身傷焉者疾其信而不道以取大辱
倍則攻敵則戰少則守人之所以爲人者言也人而不能言何以爲人言之所以爲言者信也言而不信何以爲言信之所以爲信者道也信而不道何以爲道道之貴者時其行勢也	凱曰道有時事有勢何貴於道貴合於時何貴於時貴順於勢宋公守匹夫之狷介徒蒙恥於夷狄焉識大通之方至道之術哉○政如字又音貢守如字又手又反狷音絹介音界焉於䖍反
二十有三年春齊侯伐宋圍閔伐國不言圍邑此其言圍何也不正其以惡報惡也	前十八年宋伐齊之䘮是惡也今齊乗勝而報是以惡報惡也○閔左氏作緡二十五年楚圍亦同
夏五月庚寅宋公茲父卒	桓公之子襄公
兹父之不葬何也失民也其失民何也以其不教民戰則是棄其師也爲人君而棄其師其民孰以爲君哉	何休曰所謂教民戰者習之也春秋貴偏戰而惡詐戰宋襄公所以敗于泓者守禮偏戰也非不教其民也孔子曰君子去仁惡乎成名造次必於是顛沛必於是未有守正以敗而惡之也公羊以爲不書葬爲襄公諱背殯出㑹所以美其有承齊桓尊周室之美志鄭君釋之曰教民習戰而不用是亦不教也詐戰謂不期也旣期矣當觀敵爲䇿倍則攻敵則戰少則守今宋襄公于泓之戰違之又不用其臣之謀而敗故徒善不用賢良不足以興霸主之功徒言不知權譎之謀不足以交鄰國㑹逺疆故易譏鼎折足詩刺不用良此說善也○而惡烏路反下而惡同惡乎音烏造七報反沛音貝爲襄干僞反背音佩譎音決折之設反刺七賜反
秋楚人伐陳○冬十有一月𣏌子卒	莊二十七年稱伯今稱子蓋爲時王所黜
二十有四年春王正月○夏狄伐鄭○秋七月○冬天王岀居于鄭	襄王也天子以天下爲家故所在稱居
天子無出出失天下也	王者無外言出則有外之辭江熙曰大子必廵守然後行故河陽之守全天王之行也平王東遷其詩不能復雅而列爲國風襄王奔鄭不得全天王之行則與諸侯不異故書出也夫子祖述堯舜憲章文武斯文是作不以道假人傳言失天下闕然如有未備○廵守手又反下同之行如字或下孟反下同復雅扶又反
居者居其所也雖失天下莫敢有也	邵曰雖實出奔而王者無外王之所居則成王畿鄭不敢有之以爲國
晉侯夷吾卒	傳曰諸侯時卒惡之也不葬篡文公而立失德○惡烏路反篡𥘉患反
二十有五年春王正月丙午衛侯燬滅邢燬之名何也	據宣十二年楚子滅蕭不名○燬况委反
不正其伐本而滅同姓也	絶先祖支體尤重故名以甚之
夏四月癸酉衛侯燬卒○宋蕩伯姬來逆婦	伯姬魯女爲宋大夫蕩氏妻也自爲其子來迎婦○自爲于僞反下爲祖同
婦人旣嫁不踰竟宋蕩伯姬來逆婦非正也其曰婦何也縁姑言之之辭也○宋殺其大夫其不稱名姓以其在祖之位尊之也	何休曰曹殺其大夫亦不稱名姓豈可復以爲祖乎鄭君釋之曰宋之大夫盡同姓禮公族有罪刑干甸師氏不與國人慮兄弟也所以尊異之孔子之祖孔父累於宋殤公而死今骨肉在其位而見殺故尊之隱而不忍稱名氏若罪大者名之而巳使若異姓然此乃祖之䟽也曹殺其大夫自以無大夫不稱名氏耳春秋辭同事異者甚多隱去即位以見讓莊去即位爲繼弑是復可以比例非之乎○復以扶又反下是復同甸徒徧反累劣僞反去起吕反下同以見賢徧反爲繼于爲反又如字
秋楚人圍陳納頓子于頓納者内弗受也圍一事也納一事也而遂言之	怪其異事而辭相連有似遂事之辭
蓋納頓子者陳也	圍陳使納頓子
葬衛文公○冬十有二月癸亥公㑹衛子莒慶盟于洮	衛稱子在䘮洮魯地
莒無大夫其曰莒慶何也以公之㑹目之也	小國無大夫以公與㑹故進之時有衛子則無敵公之嫌○與㑹如字一音豫
二十有六年春王正月已未公㑹莒子衛寗速盟于向	向莒地○向舒亮反
公不㑹大夫其曰寗速何也以其隨莒子可以言㑹也○齊人侵我西鄙公追齊師至巂弗及人微者也侵淺事也公之追之非正也至巂急辭也	以急辭言之明不至巂○巂音攜又似兖反
弗及者弗與也	弗與戰也
可以及而不敢及也	畏齊師
其侵也曰人其追也曰師以公之弗及大之也	大之謂變人言師
弗及内辭也	弗及者若曰我自不及耳非齊不可及
夏齊人伐我北鄙○衛人伐齊○公子遂如楚乞師乞重辭也	雍曰人道施而不有讓而不取故以乞爲重○施舒䜴反
何重焉重人之死也非所乞也師出不必反戰不必勝故重之也○秋楚人滅夔以䕫子歸䕫國也不日微國也以歸猶愈乎執也○冬楚人伐宋圍閔伐國不言圍邑此其言圍何也以吾用其師目其事也非道用師也	楚人出師爲魯伐齊而中道以伐宋故伐圍兼書所以責楚○爲于僞反中如字又丁仲反
公以楚師伐齊取榖以者不以者也民者君之本也使民以其死非其正也	雍曰兵不祥之器不得巳而用之安有驅民于死地以共假借之役乎○共音㳟本又作供假借音嫁又古雅反下子夜反又子亦反
公至自伐齊惡事不致此其致之何也危之也	以蠻夷之師伐鄰近大國招禍深怨危亡之道
二十有七年春𣏌子來朝	○朝直遥反
夏六月庚寅齊侯昭卒	○昭或作照非
秋八月乙未葬齊孝公○乙已公子遂帥師入𣏌○冬楚人陳侯蔡侯鄭伯許男圍宋楚人者楚子也其曰人何也人楚子所以人諸侯也其人諸侯何也不正其信夷狄而伐中國也	何休曰哀元年楚子陳侯隨侯許男圍蔡不稱人明不以此故也鄭君釋之曰時晉文爲賢伯故譏諸侯不從而信夷狄也哀元年時無賢伯又何據而當貶之邪寗謂定哀之丗楚彊盛故諸侯不得不從耳江熙曰夫屈信理對言信必有屈也宋楚戦于泓宋以信義而敗未有闕也楚復園之我三人行必有我師諸侯不能以義相帥反信楚之曲屈宋之直是義所不取信曲屈直猶不可况乃華夷乎楚以亡義見貶則諸侯之不從不待貶而見也然則四國信楚而屈宋春秋屈其信而信其屈貶楚子于兵首則彼碌碌者譏斯見矣故曰人楚子所以人諸侯○信音申
十有二月甲戍公㑹諸侯盟于宋	地以宋者則宋得與盟宋圍解可知○與音豫
二十有八年春晉侯侵曹晉侯伐衛再稱晉侯忌也	鄭嗣曰曹衛並有宿怨于晉君子不念舊惡故再稱晉侯以刺之○刺七賜反下文及注同
公子買戍衛不卒戍刺之	刺殺也内諱殺大夫故謂之刺蓋取周禮三刺之法
先名後刺殺有罪也公子啓曰不卒戍者可以卒也可以卒而不卒譏在公子也刺之可也	公子啓魯大夫
楚人救衛○三月丙午晉侯入曹執曹伯卑宋人入者内弗受也日入惡入者也以晉侯而厈執曹伯惡晉侯也	惡其忌怨深○卑必利反與也下及注同惡烏路反下文及注同
卑與也其曰人何也不以晉侯卑宋公也	卑上與下之辭故不以侯卑公哀四年夏晉人執戎蠻子赤歸于楚使楚子治其罪今執曹伯不言歸于宋而言與宋人者是使宋公拘執之
夏四月已已晉侯齊師宋師秦師及楚人戰于城濮楚師敗績○楚殺其大夫得臣○衛侯出奔楚○五月癸丑公㑹晉侯齊侯宋公蔡侯鄭伯衛子莒子盟于踐土	衛稱子者時衛侯出奔國更立君非王命所加未成君故曰子踐土鄭地
諱㑹天王也	實㑹天王而文不言天王若諸侯目共盟然是諱之也所謂譎而不正
陳侯如㑹如㑹外乎㑹也於㑹受命也	外乎㑹不及序也受命于㑹故書如㑹
公朝于王所朝不言所言所者非其所也	非京師朝
六月衛侯鄭自楚復歸于衛自楚楚有奉焉爾復者復中國也	中國猶國中也
歸者歸其所也鄭之名失國也○衛元咺岀奔晉○陳侯𣢾卒○秋𣏌伯姬來	莊公女來歸寍
公子遂如齊	聘也
冬公㑹晉侯宋公蔡侯鄭伯陳子莒子邾子秦人于温	陳稱子在䘮也
諱㑹天王也	復致天子復扶又反
○天王守于河陽	河陽晉地○守音狩下同
全天王之行也	時實晉文公召王以臣召君不可以訓因天子有廵守之禮故以自行爲文○行如字或下孟反
爲若將守而遇諸侯之朝也爲天王諱也水北爲陽山南爲陽温河陽也	日之所昭曰陽○爲天王于僞反
壬申公朝於王所朝於廟禮也於外非禮也	諸侯朝王王必於宗廟受之者蓋欲尊祖禰共其榮
獨公朝與諸侯盡朝也其日以其再致天子故謹而日之主善以内目惡以外	主善以内謂公朝于王所目惡以外言再致天子○朝與音餘
言曰公朝逆辭也而尊天子	鄭嗣曰若公朝于廟則當言公如京師而令言公朝是逆常之辭雖逆常而曰公朝王所是尊天子
㑹于温言小諸侯温河北地以河陽言之大天子也	温河陽同耳小諸侯故以一邑言之尊天子故以廣大言之
日繫於月月繫於時壬申公朝于王所其不月失其所繫也以爲晉文公之行事爲巳傎矣	以臣召君傎倒上下日不繫干月猶諸侯不宗于天子○傎都田反倒丁老反
晉人執衛侯歸之于京師此入而執其不言入何也不外王命於衛也	入者自外來伯者以王命討衛衛王之士故曰不外王命
歸之于京師緩辭也斷在京師也	辭間容之故言緩○斷丁亂反
衛元咺自晉復歸于衛自晉晉有奉焉爾復者復中國也歸者歸其所也○諸侯遂圍許	㑹温諸侯許比再㑹不至故共圍之
遂繼事也	繼事㑹于温而圍許
曹伯襄復歸于曹	三月爲晉侯所執今方歸
復者復中國也天子免之因與之㑹其曰復通王命也	免之于宋身未反國因㑹于許即從反國之辭通王命
遂㑹諸侯圍許遂繼事也二十有九年春介葛盧來介國也葛盧微國之君未爵者也其曰來卑也	○介音界國名
公至自圍許○夏六月公㑹王人晉人宋人齊人陳人蔡人秦人盟于翟泉	翟泉某地
秋大雨雹	雹者隂脅陽臣侵君之象陽氣之在水雨則温熱隂氣薄而脅之不相入轉而成雹○雨于付反雹蒲學反
○冬介葛盧來三十年春王正月○夏狄侵齊○秋衛殺其大夫元咺稱國以殺罪累上也以是爲訟君也	元咺訟君之罪于伯者君忌之使人殺之而後入案宣九年陳殺其大夫泄治傳曰稱國以殺其大夫弑無罪也此傳曰稱國以殺罪累上也凡稱國以殺大夫或殺無罪或罪累上參玄不同略當近半然則稱國以殺有二義泄冶忠賢而君殺之是君無道也衛侯雖有不德臣無訟君之道元咺之罪亦巳重矣然君子之道譬之于射失諸正鵠反求諸身衛侯不思致訟之愆躬自厚之義過而不改而又怨忌上下皆失故曰罪累上○累劣僞反泄息列反冶音也近半附近之近正音征鵠古毒反愆起䖍反
衛侯在外其以累上之辭言之何也待其殺而後入也及公子瑕公子瑕累也以尊及卑也○衛侯鄭歸于衛	徐邈曰凡出奔歸月執歸不月者齊則國更立主若故君還入必有戰争禍害所以謹其文執者罪名未定其國猶追奉之歸無犯害故例不月○戰争爭鬬之爭
晉人秦人圍鄭○介人侵蕭○冬天王使宰周公來聘天子之宰通于四海○公子遂如京師遂如晉以尊遂乎卑此言不敢叛京師也	何休曰大夫無遂事案襄十二年季孫宿救台遂入鄆惡季孫不受命而入也如公子遂受命如晉不當言遂鄭君釋之曰遂固受命如京師如晉不專受命如周經近上言天王使宰周公來聘故公子遂報焉因聘于晉尊周不敢使並命使若公子遂自往然即云公子遂如京師如晉是同周于諸侯叛而不尊天子也公羊傳有美惡不嫌同辭何獨不廣之於此乎寗謂經同而傳異者甚衆此吾徒所以不及古人也○台士來反又音臺鄆音運惡季孫烏路反美惡烏路反又如字
三十有一年春取濟西田	曹田
公子遂如晉夏四月四卜郊	謂之郊者天人相與交接之意也不言郊天者不敢斥尊也昔武王旣崩成王㓜少周公居攝行天子事制禮作楽終致大平周公薨成王以王禮葬之命魯使郊以彰周公之德祭蒼帝靈威仰昊天上帝魯不祭○少詩照反大音泰
不從乃免牲猶三望	鄭君曰望者祭山州之名也謂海也岱也淮也非其疆界則不祭禹貢曰海岱及淮惟徐州徐州魯地
夏四月不時也	郊春事也
四卜非禮也	郊春事四卜則入夏
免牲者爲之緇衣熏裳有司玄端奉送至于南郊免牛亦然	玄端黒衣接神之道玄熏者天地之色也南郊天位歸之于陽也全曰牲傷曰牛牛有變而不郊故卜免牛○熏許云反
乃者亡乎人之辭也	亡乎人若曰無賢人也凱曰其猶易稱闚其戸閴其無人詩云巷無居人譏僖公不共致天變○閴苦鵙反共音恭本亦作恭
猶者可以巳之辭也	望郊之細也不郊無望可也巳止也
○秋七月○冬𣏌伯姬來求婦婦人旣嫁不踰竟𣏌伯姬來求婦非正也○狄圍衛○十有二月衛遷於帝丘	帝丘衛地
三十有二年春王正月○夏四月已丑鄭伯捷卒	○捷在接反
衛人侵狄○秋衛人及狄盟○冬十有二月已卯晉侯重耳卒	晉自莊公巳前不書于春秋又不言文公之入及鄭忽之殺何乎徐邈通之曰案詩序及紀年史記晉昭公之後大亂五丗又鄭忽之後有子亹子儀且事出記傳而經所無殊多誠當有不告故不書者諸侯有朝聘之禮赴告之命所以敦其交好通其憂虞若鄰國相望而情志否隔存亡禍福不以相關則它國之史無由得書故告命之事絶則記注之文闕此盖内外相與之常也魯政雖陵遟而典刑猶存史䇿所録不失常法其文憲之實足徴故孔子因而脩之事仍本史而辭有損益所以成詳略之例起褒貶之意若夫可以寄微旨而通王道者存乎精義窮理不在記事少多此蓋脩春秋之本旨師資辯說日用之常義故榖梁子可不復發文而體例自舉矣○重直龍反亹亡匪反朝聘直遥反好呼報反否備矣反注張住反不復扶又反
三十有三年春王二月秦人入滑滑國也○齊侯使國歸父來聘○夏四月辛巳晉人及姜戎敗秦師于殽不言戰而言敗何也狄秦也其狄之何也秦越千里之險入虚國	滑無備故言虚國○殽户交反
進不能守退敗其師徒亂人子女之教無男女之别秦之爲狄自殽之戰始也	明秦本非夷狄○别彼列反
秦伯將襲鄭百里子與蹇叔子諌曰千里而襲人未有不亡者也秦伯曰子之冡木巳拱矣何知	子之輩皆巳老死矣拱合抱也言其老無知○百里子如字或作伯誤也蹇紀輦反拱九勇反合手曰拱
師行百里子與蹇叔子送其子而戒之曰女死必於殽之巖唫之下	其處險隘一人可以要百人○女音汝下及注同唫本作崟音吟一音欽處昌慮反隘於懈反要百於遥反下文要而擊之同
我將尸女於是	尸女者收女尸
師行百里子與蹇叔子隨其子而哭之秦伯怒曰何爲哭吾師也二子曰非敢哭師也哭吾子也我老矣彼不死則我死矣	畏秦伯怒故云彼我要有死者
晉人與姜戎要而撃之殽匹馬倚輪無反者	倚輪一隻之輪○倚居冝反或於綺反
晉人者晉子也其曰人何也微之也何爲微之不正其釋殯而主乎戰也○癸巳葬晉文公日葬危不得葬也○狄侵齊○公伐邾取訾樓	○訾子斯反
○秋公子遂帥師伐邾○晉人敗狄于箕	箕晉地
冬十月公如齊十有二月公至自齊○乙巳公薨于小寢	小寢内寢
小寢非正也	非路寢
隕霜不殺草	京房易傳曰君假與臣權隕霜不殺草○隕云敏反
未可殺而殺舉重也可殺而不殺舉輕也	重謂菽也輕謂草也輕者不死則重者不死可知
李梅實	京房易傳曰縱叛者兹謂不明厥妖木冬實
實之爲言猶實也	實子
晉	_
人	_
陳	_
人	_
鄭	_
人	_
伐	_
許	_
春	_
秋	_
榖	_
梁	_
傳	_
卷	_
第	_
五	_
經	_
傳	_
陸	_
阡	_
㭍	_
伯	_
㭍	_
拾	_
捌	_
字	_
注	_
㭍	_
阡	_
零	_
捌	_
拾	_
叄	_
字	_
音	_
義	_
壹	_
阡	_
捌	_
伯	_
壹	_
拾	_
字	_
余	_
仁	_
仲	_
刋	_
于	_
家	_
塾	_
