J	經典釋文卷二
F	七可反
C	沈又
F	七何反
C	笑貌
E	之儺_
F	乃可反
C	説文云行有節也
E	不惡_
F	烏路反
E	浟浟
C	本亦作滺音由流貌
E	檜
F	古活反
C	又
F	古會反
C	木名
E	楫
C	本又作檝
F	子葉反
C	徐音集方言云楫謂之橈或謂之櫂釋名云楫捷也撥水舟行捷疾也橈音饒
E	櫂_舟
F	直教反
E	思郷
C	本又作嚮同
F	許亮反
T	芄蘭
C	芄音丸本亦作丸艽蘭草名
E	恒蔓於地
C	蔓音萬本或作蔓延於地者後人輒加耳
E	佩
F	蒲對反
C	依字從人或玉傍作者非
E	觿
F	許規反
C	解結之器
E	觿與
C	音餘下佩韘與同
E	悸_兮
F	其季反
C	韓詩作萃垂貌
E	紳帶
C	音身
E	不稱_
F	尺證反
E	韘
F	失渉反
C	毛玦也鄭沓也
E	玦也
C	本又作決音同
E	沓_也
F	徒荅反
E	彄_沓
F	苦侯反
E	我甲_
C	如字狎也爾雅同徐
F	胡甲反
C	韓詩作狎
E	狎_也
F	户甲反
T	河廣
E	一葦_
F	韋鬼反
E	杭_之
F	户郎反
C	渡也
E	廣與
C	音餘下逺與同
E	喻狹
C	音洽
E	非為_
F	于僞反
E	跂_予
F	丘跂反
E	容刀
C	如字刀小船也字書作舠説文作□並音刀
T	伯兮
E	爲_王
F	于僞反
C	又如字注下爲王並同
E	從王伐鄭
C	讀者或連下伯也爲句者非
E	朅_兮
F	丘列反
C	武貌
E	桀_兮
F	其列反
C	毛云特立也鄭云英傑也
E	執_殳
F	市朱反
C	長丈二無刃
E	長丈_
C	如字又
F	直亮反
E	軫
C	本亦作（？）
F	之忍反
E	酋
F	在由反
C	發聲
E	矛
C	音謀
E	誰適_
F	都厯反
C	主也注同
E	爲_容
F	于僞反
C	或如字
E	杲杲_
F	古老反
E	出_日(?)
C	如字沈
F	推類反
E	日復_
F	扶又反
C	下同
E	厭_也
F	於豔反
C	下同
E	心嗜_
F	市志反
E	憂思_
F	息嗣反
E	焉_得
F	於䖍反
E	諼_草
C	本又作萱
F	況袁反
C	説文作藼云令人忘憂也或作蘐
E	之背
C	音佩沈又如字北堂也
E	令_人
F	力呈反
E	善忘_
F	亡向反
C	又如字
E	心痗
C	音每又音悔病也
T	有狐
C	音胡
E	喪_其
F	息浪反
C	下注同
E	妃耦
C	音配下注同
E	殺_禮
F	所戒反
C	又
F	所例反
E	所以育人民也
C	本或作蕃育者非
E	生長_
F	張丈反
E	綏綏
C	音雖匹行貌
E	無爲_
F	于僞反
E	淇厲_
F	力滯反
T	木瓜_
TF	古花反
C	楙木也
E	遺_之
F	唯季反
C	下注同
E	瓊
F	求營反
C	美玉也説文云赤玊也
E	琚
C	音居徐又音渠佩玉名
E	楙
C	音茂字亦作茂爾雅云楙木瓜也
E	爲好_
F	呼報反
C	篇内同
E	結己國以爲恩也
C	一本作結己國之恩也
E	瑶
C	音遥美玉也説文云美石
E	玖
C	音久玉名字書云玉黑色
E	苞苴_
F	子餘反
E	橘
F	均栗反
E	柚
F	餘救反
S	王黍離第六
C	王國者周室東都王城畿内之地在豫州今之洛陽是也幽王滅平王東遷政遂㣲弱詩不能復雅下列稱風以王當國猶春秋稱王人
T	黍離
C	如字説文作䅻
E	過_故
F	古臥反
C	又
F	古禾反
E	顚覆_
F	芳服反
E	彷
F	蒲皇反
E	徨
C	音皇
E	鎬_京
F	胡老反
E	能復_
F	扶又反
E	而同於國風焉
C	崔集注本此下更有猶尊之故稱王也今詩本皆無
E	摇摇
C	音遥
E	所愬_
F	蘇路反
E	蒼_天
C	本亦作倉
F	采郎反
C	爾雅云春爲蒼天莊子云天之蒼蒼其正色邪
E	昊_天
F	胡老反
C	夏爲昊天字書從日夰聲夰音
F	工老反
E	旻_天
F	密巾反
C	閔也秋爲旻天
E	之穗
C	音遂秀也
E	所更
C	音庚
E	如噎_
F	於結反
T	君子于役
E	危難_
F	乃旦反
C	下注同
E	以風_
F	福鳯反
E	曷_至
F	寒末反
C	何也
E	雞棲
C	音西
E	于時_
C	如字本亦作塒音同爾雅同玉篇
F	持理反
C	鑿牆以棲雞
E	鑿
F	在各反
E	言畜_
F	許又反
E	其有佸_
F	户括反
C	説文
F	口活反
C	㑹也韓詩至也
E	下括_
F	古活反
C	至也
E	弋
C	本亦作杙
F	羊職反
C	或音
F	羊特反
T	君子陽陽
E	逺_害
F	于萬反
E	執簧
C	音皇笙簧
E	其樂
C	音洛注且樂和樂及下章同
E	只且_
F	子徐反
C	又作且
F	七也反
E	陶陶
C	音遥和樂貌
E	執翿_
F	徒刀反
C	□也
E	由敖_
F	五刀反
C	逰也
E	□_也
F	徒報反
C	沈
F	徒老反
C	俗作□
E	翳_也
F	於計反
E	於燕_
C	本又作宴
F	於見反
T	揚之水
C	如字激揚也或作楊木之字非
E	逺屯_
F	徒門反
E	戍
F	束遇反
C	守也韓詩云舎
E	怨思_
C	如字沈
F	息嗣反
E	久令_
F	力呈反
E	迫近
C	附近之近或如字
E	而數
C	音朔
E	束薪
C	音新
E	激_揚
F	經厯反
E	至湍_
F	吐端反
E	迅也
C	音信又
F	蘇俊反
E	彼其
C	音記詩内皆放此亦作己亦同
E	束蒲
C	如字毛云草也鄭云蒲柳也孫毓云蒲草之聲不與戍許相協箋義爲長今則二蒲之音未詳其異耳
T	中谷有蓷_
TF	吐雷反
C	爾雅云鵻也韓詩云茺蔚也廣雅又名益母
E	飢
C	本又作饑
F	居疑反
C	穀不熟
E	饉
C	音覲蔬不熟
E	暵
F	呼但反
C	徐音漢菸貌也説文云水濡而乾也字作□又作灘皆
F	他安反
E	鵻
C	音隹爾雅又作萑音同
E	菸
F	於據反
C	何音於説文云鬱也廣雅云臰也
E	仳
F	匹指反
C	徐
F	符鄙反
C	又
F	敷姊反
C	别也字林
F	及几扶罪二反
E	嘅_其
F	口愛反
E	嘆_矣
C	本亦作歎
F	吐丹反
C	協韻也
E	其脩
C	如字本或作蓨音同且乾也
E	歗矣
C	籀文嘯字本又作嘯
E	徒用
C	如字徒空也沈云當作從
E	啜
F	張劣反
C	泣貌
E	將復_
F	扶又反
T	兔爰
E	背畔
C	音佩
E	不樂
C	沈音岳又音洛注同
E	欲覺_
F	古孝反
C	又如字下同
E	所操_
F	七刀反
C	本亦作懆沈
F	七感反
C	今作躁與定本異與箋義合
E	蹙
F	子六反
C	本亦作戚
F	七厯反
E	百罹_
C	本又作離
F	力知反
C	憂也
E	吪
C	本亦作訛
F	五戈反
C	動也
E	我長_
F	張丈反
E	大
C	音
F	代賀反
E	罦
C	音俘覆車也郭云今之翻車大罔也
E	覆
F	芳服反
E	車
F	赤奢反
E	罿
F	昌鍾反
C	罬也韓詩云施羅於車上曰罿字林
F	上凶反
E	罬
F	張劣反
C	郭徐
F	姜雪姜穴二反
C	爾雅云罬謂之罦罦覆車也
T	葛藟
F	力軌反
C	藟似葛廣雅云藟藤也
E	刺桓王
C	本亦作刺平王案詩譜是平王詩皇甫士安以為桓王之詩崔集注本亦作桓王
E	之滸_
F	呼五反
C	水涯也
E	長_不
F	張丈反
C	下同
E	水涯_
C	本亦作厓
F	魚佳反
E	恩施_
F	始跂反
C	下同
E	終逺_
F	于萬反
C	又如字注下皆同
E	之涘
C	音俟涯也
E	王又無母恩也
C	一本作王后
E	漘
F	順稱反
C	爾雅云夷上洒下曰漘旁從水郭云涯上平坦而下水深為漘不發聲也
E	隒
F	魚檢反
C	何音檢爾雅云重甗隒郭云形似累兩重甑上大下小李巡云隒阪也詩本又作水旁兼者字書音
F	吕恬理染二反
C	廣雅云溓清也與此義乖
T	采葛
E	使_出
F	所吏反
C	下並同
E	以共
C	音恭
E	艾_兮
F	五蓋反
T	大車
E	檻檻_
F	胡覽反
C	車行聲
E	毳_衣
F	尺銳反
C	冕名
E	如菼_
F	吐敢反
E	鵻也
C	本亦作萑音佳
E	蘆_之
F	力吳反
E	薍_也
F	五患反
E	巡行_
F	下孟反
E	衣繢_
F	胡妹反
E	無禮與
C	音餘
E	啍啍_
F	他敦反
C	徐又
F	徒孫反
C	重遲貌
E	如璊
C	音門赬也説文作璊云以毳為罽也解此璊云玉赬色也禾之赤苖謂之樠玉色如之
E	赬_也
F	勑貞反
C	赤也
E	皦_日
C	本又作皎
F	古了反
C	白也
E	壙_中
F	苦晃反
E	有别_
F	彼列反
T	丘中有麻
E	墝
C	本亦作墽
F	苦交反
E	埆
F	苦角反
C	又音學本或作逺從此孫義而誤耳
E	之處_
F	昌慮反
E	於朝_
F	直遥反
E	則治_理
F	直吏反
E	將_其
C	王申毛如字鄭
F	七良反
C	下同
E	施施
C	如字
E	伺
C	音司
E	閒
C	音閑又如字
E	來食
C	如字一云鄭音嗣
E	復_來
F	扶又反
E	詒我
C	音怡
E	佩玖_
C	音久石次玉者説文
F	紀又反
C	云石之次玉黒色者
S	鄭緇衣第七
C	鄭者國名周宣王母弟桓公友所封也其地詩譜云宗周圻内咸林之地今京兆鄭縣是其都也漢書地理志云京兆鄭縣周宣王弟鄭桓公邑是也至桓公之子武公滑突隨平王東遷遂滅虢鄶而居之即史伯所云十邑之地右洛左濟前華後河食溱洧焉今河南新鄭是也在滎陽宛陵縣西南
T	緇_衣
TF	側基反
E	敝
C	本又作弊
F	符世反
E	聽朝_
F	直遥反
C	下同
E	之館_
F	古翫反
C	舍也
E	之粲_
F	七旦反
C	粲也
E	飧
F	蘇尊反
E	諸廬_
F	力於反
E	欲飲_
F	於鴆反
E	食之
C	音嗣
E	蓆兮
C	音席大也韓詩云儲也説文云廣多
T	將_仲子
TF	七羊反
C	請也下及注皆同
E	不勝
C	音升
E	祭_仲
F	側界反
C	後放此
E	弗聽_
F	吐丁反
E	好_勇
F	呼報反
E	無折_
F	之舌反
C	傷害也下同
E	樹杞
C	音起木名
E	驟_諫
F	竹救反
C	服䖍云數也
E	君若與之
C	一本若作將
E	叚將
C	此一將字如字
E	誅與
C	音餘
E	垣也
C	音袁
E	樹檀_
F	徒丹反
C	木名
E	彊
F	其良反
C	一音
F	居良反
E	忍
C	本亦作刃同
F	而慎反
C	依字本傍作刃今此假借也沈云系旁作刃爲是案系旁刃音
F	女巾反
C	離騷云紉秋蘭以爲佩是也
T	叔于田
E	繕_甲
F	市戰反
C	善也
E	人説
C	音恱
E	甲鎧_
F	苦愛反
E	巷_無
F	學絳反
C	里塗也
E	大叔
C	音泰後大叔皆放此
E	洵_美
F	蘇遵反
C	信也
E	于狩_
F	手又反
E	冬獵_
F	力輒反
T	大叔于田
E	而勇
C	本或作而好勇好衍字
E	叔于田
C	本或作大叔于田者誤
E	乘乗_馬
C	上如字下
F	繩證反
C	後句例爾
E	如組
C	音祖
E	中_節
F	竹仲反
E	在藪_
F	素口反
C	澤也禽之府也韓詩云禽獸居之曰藪
E	襢
C	本又作袒音但
E	裼
F	素歴反
C	襢裼肉襢也
E	以搏
C	音博
E	將_叔
F	七羊反
C	請也
E	母
C	音無本亦作無
E	狃
F	女九反
C	毛習也鄭復也
E	狃復_
F	符又反
C	下同
E	上襄
C	並如字
E	鴈_行
F	户部反
C	注同
E	夾_轅
F	古洽反
E	射忌
C	注作己同音記辭也下皆同
E	抑磬_
F	苦定反
C	騁馬也
E	控
F	口貢反
C	止馬也
E	騁_馬
F	敕領反
E	鴇
C	音保驪白雜毛曰鴇依字作鴇
E	驪_白
F	力馳反
E	嫚
C	本又作慢
F	莫晏反
C	遲也
E	掤
C	音冰所以覆矢也馬云櫝丸蓋也杜預云櫝丸箭筩也
E	鬯_弓
F	勅亮反
E	弢_弓
F	吐刀反
T	淸人
E	髙克
C	一本作剋
E	好_利
F	呼報反
C	注同
E	惡_而
F	烏路反
C	下同
E	欲逺_
F	于萬反
E	克將_
F	子亮反
E	而御_
F	魚吕反
C	注同
E	翶_翔
F	五羔反
E	駟介
C	音界甲也
E	旁旁_
F	補彭反
C	王云彊也
E	駟四馬也
C	一本駟介四馬也
E	二矛_
F	莫侯反
C	方言云矛吳（揚）江淮南楚五湖之間謂之鉇鉇音虵或謂之鋋鋋音蟬或謂之鏦鏦音
F	錯工反
C	其柄謂之矜矜郭音
F	巨巾反
E	重
F	直龍反
C	注下同
E	英
C	如字沈
F	於耕反
E	酋_矛
F	在由反
E	麃麃_
F	表驕反
C	武貌
E	重喬_
C	毛音橋累荷也鄭
F	居橋反
C	雉名所以縣毛羽也韓詩作鷮
E	逍
C	本又作消
E	遥
C	本又作摇
E	累荷_
C	舊音何謂刻矛頭爲荷葉相重累也沈
F	胡可反
C	謂兩矛之飾相負荷也
E	矛矜_
C	字又作㮗同
F	巨巾反
C	沈又
F	居陵反
E	近上
C	附近之近
E	室題
C	音啼題頭也室劒削名也方言云劒削自河而北燕趙之間謂之室此言室謂矛頭受刃處也削音笑
E	以縣
C	音（玄）
E	在軸
C	音逐地名
E	陶陶_
F	徒報反
C	驅馳貌
E	古抽_
F	勑由反
C	毛抽抽矢也鄭抽抽刀也説文作搯
F	他牢反
C	云抽刃以習擊刺也
E	作好_
F	呼報反
C	注同
E	謂將_
F	子亮反
C	下同
T	羔裘
C	字或作求
E	刺朝_
F	直遥反
C	下及注同
E	以風_
F	福鳯反
E	如濡
C	音儒
E	洵直
C	徐音荀又音旬均也
E	且侯
C	侯君也韓詩侯美也
E	舍_命
C	音赦處也王云受也沈
F	書者反
E	不渝_
F	以朱反
C	變也
E	緣_以
F	恱絹反
E	晏_兮
F	於諫反
C	鮮盛貌
E	粲_兮
F	采旦反
C	衆意
E	美稱_
F	尺證反
T	遵大路
E	摻
F	所覽反
C	徐
F	所斬反
C	擥也
E	之袪_
F	起居反
C	又
F	起據反
C	袂也
E	擥也
C	音覽
E	袂_也
F	面世反
E	惡_兮
F	烏路反
C	注同
E	寁
F	市坎反
C	速也
E	故也
C	一本作故兮後好也亦爾
E	魗
C	本亦作（？）又作□
F	市由反
C	毛棄也鄭惡也或云鄭音爲醜
E	好_也
C	如字鄭云善也或
F	呼報反
T	女曰雞鳴
E	不說
C	音恱下同
E	而好_
F	呼報反
E	昧旦
C	音妹
E	相警
C	音景
E	有爛_
F	力旦反
E	不見_
F	賢遍反
C	又如字
E	蚤於
C	音早本亦作早
E	别_色
C	彼列反
E	弋
F	羊職反
E	鳧
C	音符
E	閒於
C	音閑
E	□
C	音灼本亦作繳
E	殽
C	音爻本亦作肴
E	偕老
C	音皆
E	燕樂
C	音洛下同
E	珩
C	音衡佩上玉也
E	璜
C	音黄半璧曰璜
E	琚
C	音居佩玉名
E	瑀
C	音禹石次玉也
E	衝_牙
F	昌容反
C	狀如牙
E	豫儲_
F	直居反
E	出使_
F	所吏反
E	問遺_
F	尹季反
E	之好_之
F	呼報反
C	注同
T	有女同車
E	大子
C	音泰
E	請妻_
F	七計反
C	以女適人曰妻
E	不取_
C	如字又
F	促句反
E	有女同車
C	讀與何彼襛矣詩同
E	如舜_
F	户順反
C	木槿也
E	華
C	讀亦與召南同下篇放此
E	親迎_
F	魚敬反
C	下同
E	木槿
C	音謹
E	洵_美
F	恤旬反
C	信也
E	壻御
C	音細字書作□
E	將將_
F	七羊反
C	玊佩聲
E	傳_道
F	直専反
T	山有扶蘇
C	如字徐又音疎扶蘇扶胥木也
E	扶胥_
C	音踈又
F	相如反
E	菡
C	本又作□又作莟
F	户感反
E	萏
C	本又作欿又作萏
F	度感反
C	菡萏荷華也未開曰菡萏已發曰芙蓉
E	傎
C	本亦作顛
F	都田反
E	倒
F	都老反
E	狂
F	求匡反
C	狂人也
E	且
F	子餘反
C	辭也注同
E	人之好_美色
F	呼到反
C	下同
E	往睹_
F	都杜反
C	本亦作覩
E	有橋_
C	本亦作喬毛作橋
F	其驕反
C	王云髙也鄭作槁
F	苦老反
C	枯槁也
E	狡_童
F	古卯反
T	蘀_兮
TF	他洛反
C	槁也
E	不倡_
F	昌亮反
C	本又作唱注下同
E	而和_
F	胡臥反
C	注下同
E	槁
F	苦老反
E	長_幼
F	張丈反
E	稱_也
F	尺證反
E	漂_女
F	匹遥反
C	本亦作飄
E	要_女
F	於遥反
C	成也注同
T	狡童
E	擅_命
F	善戰反
C	専也
E	餐_兮
F	七丹反
E	不遑
C	音皇暇也
T	褰_裳
TF	起連反
C	本或作騫非説文云褰袴也
E	恣
F	資利反
E	行
F	下孟反
C	注下同
E	更出
C	音庚
E	渉溱_
F	側巾反
E	篡_國
F	初患反
E	揭_衣
F	欺例反
C	又
F	起列反
E	告難_
F	乃旦反
E	先鄉_
F	香亮反
C	本亦作向
E	也且_
F	子餘反
C	下同
E	渉洧_
F	于（軌？）反
T	丰
TF	芳凶反
C	面貌豐滿也方言作妦
E	道缺_
F	丘恱反
E	陽倡_
F	昌亮反
E	不和_
F	胡臥反
E	親迎_
F	魚敬反
C	下親迎同
E	則爲_
F	于僞反
E	堂兮
C	並如字門堂也鄭改作棖_
CF	方庚反
C	門梱上近邊木
E	梱
C	本亦作閫
F	苦本反
E	近邊
C	附近之近
E	衣_錦
C	如字或一音
F	於記反
C	下章放此
E	褧_衣
F	苦迥反
C	襌也下如字
E	襌也
C	音丹
E	襌縠_
F	户木反
E	爲_其文
F	于僞反
E	之大_
C	音泰舊
F	勑賀反
E	䊷_衣
F	側基反
C	本或作純又作緇並同
E	纁
F	許云反
E	袡
F	如鹽反
E	又易_
F	以豉反
T	東門之壇
C	音善除地町町者也依字當作墠此序舊無注而崔集注本有鄭注云時亂故不得待禮而行
E	茹
C	音如後篇同
E	藘
F	力於反
C	茹藘茅蒐菁草也後篇同
E	在阪_
C	音反又
F	符板反
E	町町_
F	吐鼎反
C	又
F	徒冷反
E	茅
F	貌交反
C	又音妹
E	蒐
F	所留反
E	之爲難
F	乃旦反
E	易_越
F	以豉反
C	下同
E	行上
C	並如字行道也左傳云斬行栗
E	啗
F	徒覽反
C	本又作啖亦作噉並同
E	甘耆_
F	常志反
T	風雨
E	淒淒_
F	七西反
E	喈喈
C	音皆
E	夷説
C	音恱下同
E	瀟瀟
C	音蕭暴疾也
E	膠膠
C	音交
E	不瘳_
F	勑留反
C	愈也
E	不爲_
F	于僞反
T	子衿
C	音金衿領也本亦作（襟）徐音琴
E	世亂
C	本或以世字在下者誤
E	學校_
F	户孝反
C	注及下注同鄭國謂學為校左傳云鄭人逰於郷校是也公孫（弘）云夏曰校沈音教
E	以校正
C	音教
E	靑靑
C	如字學生以靑為衣領緑衿也或作菁音非也
E	衣純_
F	章允反
C	又
F	之閏反
E	嗣音
C	如字毛嗣習也鄭續也韓詩作詒詒寄也曽不寄問也
E	傳_聲
F	直專反
E	碝
C	本又作瓀
F	如兖反
E	珉
F	亡巾反
E	組
C	音祖
E	綬
C	音受
E	挑_兮
F	他羔反
C	又
F	勑彫反
C	説文作（？）
E	達_兮
F	他末反
C	挑達往來見貌説文云達不相遇也
E	但好_
F	呼報反
E	爲樂
C	音洛
T	揚之水
E	流漂_
F	匹妙反
E	終鮮_
F	息淺反
C	寡也注下同
E	迋_女
F	求往反
C	誑也徐又
F	居望反
E	誑_也
F	九況反
T	出其東門
E	五争
C	爭鬭之爭注同
E	子亹_
F	亡匪反
C	又音尾莊公子
E	思_存
C	如字注及下皆同沈
F	息嗣反
C	毛音如字鄭
F	息嗣反
E	縞_衣
F	古老反
C	又
F	古報反
C	白色衣
E	綦_巾
F	巨基反
C	蒼艾色
E	聊樂
C	音洛注並同一音岳或云箋留樂又音岳
E	我貟
C	音云本亦作云韓詩作魂魂神也
E	所爲_
F	于僞反
E	之難_
F	乃旦反
E	闉
C	音因曲城
E	闍
C	鄭郭音都城臺也孫炎云積土如水渚所以望氣祥也徐
F	止奢反
C	又音蛇
E	如荼
C	音徒茅秀
E	茅秀
C	本或作莠音同劉昌宗周禮音莠音酉
E	思且_
C	音徂爾雅云存也舊
F	子徐反
E	與娛
C	本亦作虞
T	野有蔓草
C	音萬蔓延也
E	漙_兮
C	本亦作團
F	徒端反
C	團團然盛多也
E	婉_兮
F	於阮反
E	邂
F	户解反
E	遘
C	本亦作逅
F	胡后反
C	邂逅不期而㑹
E	瀼瀼_
F	如羊反
C	盛貌徐又
F	乃剛反
T	溱_洧
TF	側巾反
C	下
F	于軌反
C	鄭國之二水名説文溱作潧云潧水出鄭溱水出桂陽也
E	渙渙_
F	呼亂反
C	春水盛也韓詩作洹洹音丸説文作汎汎音
F	父弓反
E	蕳_兮
F	古顔反
C	蘭香也字從艸韓詩云蓮也若作竹下是簡䇿之字耳
E	淫佚
C	音逸
E	之行_
F	下孟反
E	士曰旣且
C	音徂_往也徐
CF	子胥反
C	下章放此
E	寛閒
C	音閑
E	之處_
F	昌慮反
E	洵
F	息旬反
C	韓詩作洵
E	訏
F	況于反
C	大也韓詩作盱云恂盱樂貌也
E	且樂
C	音洛注下同
E	相謔_
F	許略反
E	勺
F	時灼反
E	藥
C	芍藥香草也韓詩云離草也言將離别贈此草也
E	瀏
C	音留深也説文流清也
F	力尤反
S	齊雞鳴第八
C	齊者太師吕望所封之國也其地少昊爽鳩氏之墟在禹貢青州岱嶺之隂濰淄之野都營丘之側禮記云太公封於營丘是也
T	雞鳴
E	賢妃_
F	芳非反
E	怠慢_
F	武諫反
E	警_戒
F	居領反
C	本又作敬音同
E	朝_旣
F	直遥反
C	注下皆同
E	蒼蠅_
F	餘仍反
E	纚笄_
F	色蟹反
C	何
F	霜綺反
E	薨薨_
F	呼（弘）反
E	妃其
C	音配本亦作配
E	猶_樂
C	音岳又
F	五教反
E	㑹且_
F	七也反
C	沈
F	子餘反
E	卿大夫朝_㑹
C	此一朝如字音
F	張遥反
E	見惡_
F	烏路反
C	下同
E	於夫人
C	音符或依字讀者非
T	還
C	音旋便捷貌韓詩作嫙嫙好貌
E	好_田
F	呼報反
E	無厭_
F	於豔反
C	又
F	於占反
C	本或作饜音同止也
E	好_焉
F	蒿縞反
E	峱
F	乃刀反
C	山名説文云峱山在齊崔集注本作嶩
E	便捷
C	本亦作便旋
E	並驅_
C	本又作駈
F	曲具反
C	注下同
E	兩肩
C	如字獸三嵗曰肩説文云三嵗豕肩相及者本亦作豜音同又音牽
E	揖_我
F	一入反
E	儇_兮
F	許全反
C	利也韓詩作婘音權好貌
E	併_也
F	步頂反
C	下文同
E	譽
C	音餘下同
E	兩牡_
F	茂后反
E	佼_好
F	古夘反
C	本又作姣
T	著
TF	直居反
C	又
F	直據反
C	又音於詩内協句宜音
F	直據反
E	親迎_
F	魚敬反
C	注同
E	象瑱_
F	吐遍反
E	以縣
C	音（玄）下同
E	爲紞_
F	都覽反
E	瑩
C	音榮又音營
T	東方之日
E	刺衰_
F	色追反
C	本或作刺襄公非也南山已下始是襄公之詩
E	彼姝_
F	赤朱反
E	我闥
C	他達友（？）門内也韓詩云門屛之間曰闥
T	東方未明
E	朝_廷
F	直遥反
C	注皆同
E	挈
F	苦結反
C	又音結
E	壺
C	音胡挈壺氏掌漏刻之官
E	顚倒_
F	都老反
E	促遽_
F	其慮反
E	别色_
F	彼列反
E	未晞
C	音希明之始升
E	令_之
F	力證反
E	折_柳
F	之舌反
C	注同
E	樊圃
C	音布又音補樹菜蔬曰圃
E	瞿瞿_
F	俱具反
C	無守之貌
E	柔脃_
F	七嵗反
E	藩
F	方元反
C	本又作蕃
E	不任
C	音壬下同
E	則莫
C	音暮
T	南山
E	之行_
F	下孟反
E	公讁_
F	直革反
C	責也又
F	張革反
E	彭生乗_
F	繩證反
C	一本作彭生乘公乘則依字讀
E	而搤_
F	於革反
C	説文云捉也公羊傳云拉公幹而殺之沈又
F	烏詣反
C	拉音
F	郎荅反
E	猶復_
F	扶又反
C	下皆同
E	于禚
C	音灼地名
E	行_惡
F	下孟反
C	下之行皆同
E	崔崔_
F	子雖反
C	又音隹髙大貌
E	無别_
F	彼列反
E	淫佚
C	音逸下同
E	可恥惡_
F	烏路反
C	又如字
E	有蕩_
F	徒黨反
C	徐
F	勑黨反
C	平易貌
E	平易_
F	夷豉反
E	屨
F	九具反
E	五兩
C	王肅如字沈音亮
E	冠緌_
F	如誰反
E	傅姆
C	上音付下音茂
E	同處_
F	昌慮反
C	下同
E	人竒_
F	居宜反
E	蓺
F	魚世反
C	樹也本或作藝技藝字耳
E	衡
C	音横注同亦作橫字又一音如字衡即訓爲横韓詩云東西耕曰横
E	從
F	足容反
C	注同韓詩作由云南北耕曰由
E	取_妻
F	七喻反
C	注下皆同
E	鞠_止
F	居六反
C	毛窮也鄭盈也
E	令_至
F	力呈反
C	下同
E	析_薪
F	星歴反
E	其邪_
F	似嗟反
T	甫田
E	無田
C	音佃下同
E	維莠_
F	羊九反
E	致治_(?)
F	直吏反
E	忉忉
C	音刀憂勞也
E	桀桀_
F	居竭反
C	徐又
F	居謁反
E	怛怛_
F	旦末反
E	婉_兮
F	於阮反
E	孌_兮
F	力轉反
E	緫_角
C	本又作㹅
F	子孔反
E	丱_兮
F	古患反
C	幼稺也
E	未㡬_
F	居豈反
C	注同
E	見兮
C	一本作見之
E	突_而
F	吐活反
C	注同方言云凡卒相見謂之突
F	吐訥反
E	弁_兮
F	皮眷反
C	冠也
E	兩髦
C	音毛
E	少_自
F	詩照反
T	盧令
C	音零下同
E	好_田
F	呼報反
E	以風_
F	福鳯反
E	噣_也
F	直角反
C	本亦作濁畢星名何音犢
E	繳射
C	音灼
E	纓_環
F	於盈反
C	又
F	於政反
E	而樂
C	音洛下同
E	而説
C	音恱
E	重_環
F	直龍反
C	下同
E	鬈
C	音權毛好貌鄭勇壯也説文云髮好貌
E	鋂
C	音梅一環貫二也
E	且偲_
F	七才反
C	多材也説文云强
T	敝_笱
TF	婢世反
C	徐
TF	扶滅反
C	本又作弊敗也笱_音
CF	古口反
C	取魚器也
E	人惡_
F	烏路反
E	魴
C	音房
E	鰥_毛
F	古頑反
C	大魚也鄭
F	古魂反
C	魚子也
E	易_制
F	夷豉反
E	其從_
F	才用反
C	注下皆同
E	魴鱮_
F	才吕反
C	毛云大魚也廣雅云鰱也音連
E	唯唯_
F	維癸反
C	沈
F	養水反
C	毛云出入不制也鄭云行相隨順貌韓詩作遺遺言不能制也
T	載驅_
TF	欺具反
C	又如字下皆同本亦作駈
E	淫播_
F	波佐反
E	薄薄_
F	普各反
C	徐
F	扶各反
C	疾駈聲也
E	簟笰
C	音弗車蔽
E	朱鞟_
F	苦郭反
C	革也
E	發夕
C	韓詩云發旦也
E	其乘_車
F	繩證反
C	或音繩
E	魯竟
C	音境本亦作境
E	平易_
F	夷豉反
C	下樂易同
E	四驪_
F	力馳反
E	濟濟_
F	子禮反
C	注同美貌
E	爾爾_
C	本亦作濔同
F	乃禮反
C	注同衆也
E	徒爲
C	一本作從兩通
E	之行_
F	下孟反
E	豈
F	開改反
C	樂也
E	弟
C	如字或音
F	待易反
E	樂易
C	音洛
E	闓
C	音開
E	圛
C	音亦
E	汶水
C	音問水名
E	湯湯_
F	失章反
C	大貌
E	彭彭_
F	必旁反
E	彷
C	音旁
E	徉
C	音羊
E	滔滔_
F	吐刀反
C	流貌
E	儦儦_
F	表驕反
C	衆貌説文云行貌
T	猗_嗟
TF	於宜反
C	字或作欹倚嗟歎辭
E	技_藝(?)
F	其綺反
E	頎而
C	音祈長貌
E	佼
F	古夘反
C	本又作姣
E	抑_若
F	於力反
C	美色貌
E	巧趨_
C	本又作趍
F	七須反
C	又
F	七遇反
E	蹌_兮
F	七羊反
C	巧趨貌
E	射_侯
F	食亦反
C	注所射每射同
E	正兮
C	音征注同畫五采曰正
E	參_分
F	七南反
C	又音三
E	選_兮
F	雪戀反
C	齊也
E	則貫_
C	毛
F	古亂反
C	中也鄭
F	古患反
C	習也
E	中_也
C	張仲反
E	反兮
C	如字復也韓詩作變變易
E	以禦_
F	魚吕反
E	乘_矢
F	繩證反
C	四矢也
E	故處_
F	昌慮反
S	魏葛屨第九
