春秋經傳集解僖公上第五	僖公名申莊公之子閔公之兄母成風謚法小心畏忌曰僖
○晉殺其大夫里克	奚齊者先君所命卓子又以在國嗣位罪未爲無道而里克親爲三怨之主累弑二君故稱召以罪之
○秋七月〇冬大雨雪	無傳平地尺爲大雪雨于付切
傳十年春狄滅温蘇子無信也蘇子叛王即狄又不能於狄狄人伐之王不救故滅蘇子奔衛	蘇子周司宼蘇公之後也國於温故曰温子叛王事在莊十九年
〇夏四月周公忌父王子黨會齊隰朋立晉侯	周公忌父周卿士王子黨周大夫
晉侯殺里克以說	自解說不篡篡初患切
將殺里克公使謂之曰微子則不及此雖然子弑二君與一大夫爲子君者不亦難乎對曰不有廢也君何以興欲加之罪其無辭乎	言欲加已罪不患無辭
臣聞命矣伏劒而死於是㔻鄭聘于秦且謝緩賂故不及	㔻鄭里克黨以在秦故不及里克俱死
晉侯改葬共大子	共大子申生也共音恭本亦作恭大音泰
秋狐突適下國	下國曲沃新城
遇大子大子使登僕	忽如夢而相見狐突本爲申生御故復使登車爲僕復扶又切下及注同
而告之曰夷吾無禮余得請於帝矣	請罰夷吾
將以晉卑秦秦將祀余對曰臣聞之神不歆非類民不祀非族君祀無乃殄乎	歆饗也殄絶也畀必利切下注同歆許金切
且民何罪失刑乏祀君其圖之君曰諾吾將復請七日新城西偏將有巫者而見我焉	新城曲沃也將因巫而見偏匹綿切
許之遂不見	狐突許其言申生之象亦沒見賢遍切又如字
及期而往告之曰帝許我罰有罪矣敝於韓	敝敗也韓晉地獨敝惠公故言罰有罪明不復以晉卑秦夷吾忌克多怨終於失國雖改葬加謚由生猶忿傳言鬼神所馮有時而信馮皮冰切
㔻鄭之如秦也言於秦伯曰吕甥郤稱冀芮實爲不從若重問以召之	三子晉大夫不從不與秦賂問聘問之幣稱尺證切又如字
臣出晉君君納重耳蔑不濟矣	蔑無也
冬秦伯使泠至報問且召三子	汵至秦大夫泠力丁切
郤芮曰幣重而言甘誘我也遂殺平鄭祁舉	祁舉晉大夫
及七輿大夫	侯伯七命副車七乗乗繩證切
左行共華右行賈華叔堅騅歂纍虎特宫山祁皆里㔻之黨也	七子七輿大夫行户剛切下同共音恭騅音隹歂市專切纍力追切祁巨之切又上尸切
㔻豹奔秦	㔻豹㔻鄭之子
言於秦伯曰晉侯背大主而忌小怨民弗與也伐之必出	大主秦也小怨里平背音佩
公曰失衆焉能殺	謂殺里㔻之黨焉於䖍切
違禍誰能出君	爲豹辟禍也爲明年晉殺㔻鄭傳
經十有一年春晉殺其大夫㔻鄭父	以私怨謀亂國書名罪之書春從告
〇夏公及夫人姜氏會齊侯于陽榖	無傳婦人送迎不出門見兄弟不踰閾與公俱會齊侯非禮閾音域門限也一音況域切
〇秋八月大雩	無傳過時故書
〇冬楚人伐黃傳十一年春晉侯使以㔻鄭之亂來告	釋經書在今年
天王使召成公内史過賜晉侯命	天王周襄王召武公周卿士内史過周大夫諸侯即位天子賜之命圭爲瑞過古禾切
受玉惰過歸告王曰晉侯其無後乎王賜之命而惰於受瑞先自弃也巳其何繼之有禮國之幹也敬禮之輿也不敬則禮不行禮不行則上下昏何以長丗	爲惠公不終張本惰徒卧切長直良切又丁丈切
〇夏揚拒泉臯伊雒之戎同伐京師入王城焚東門	揚拒泉臯皆戎邑及諸雜戎居伊水雒水之閒者今伊闕北有泉亭拒俱宇切臯古刀切
王子帶召之也	王子帶甘昭公也召戎欲因以篡位
秦晉伐戎以救周秋晉侯平戎于王	爲二十四年天王出居鄭傳
〇黃人不歸楚貢冬楚人伐黃	黄人恃齊故
經十有二年春王三月庚午日有食之	無傳不書朔官失之
〇夏楚人滅黃〇秋七月〇冬十有二月丁丑陳侯杵臼卒	無傳遣丗子與僖公同盟寗母及洮杵昌吕切臼其九切
傳十二年春諸侯城衛楚丘之郛懼狄難也	楚丘衛國都郛郭也爲明年春狄侵衛傳郛芳夫切難乃旦切下同
○黃人恃諸侯之睦于齊也不共楚職曰自郢及我九百里焉能害我夏楚滅黃	郢楚都共音恭焉於䖍切
○王以戎難故討王子帶	子帶前年召戎伐周
〇秋王子帶奔齊冬齊侯使管夷吾平戎于王使隰朋平戎于晉	平和也前年晉救周伐戎故戎與周晉不和
王以上卿之禮饗管仲管仲辭曰臣賤有司也有天子之二守國髙在	國子髙子天子所命爲齊守臣皆上卿也莊二十二年髙溪始見經僖二十八年國歸父乃見傳歸父之父曰懿仲髙傒之子曰莊子不知今當誰丗守手又切注同見賢遍切下同
若節春秋來承王命何以禮焉	節時也
陪臣敢辭	諸侯之臣曰陪臣陪歩回切
王曰舅氏	伯舅之使故曰舅氏使所吏切
余嘉乃勲應乃懿德謂督不忘往踐乃職無逆朕命	功勲美徳可謂正而不可忘者不言位而言職者管仲位卑而執齊政故欲以職尊之督音篤
管仲受下卿之禮而還	管仲不敢以職自髙卒受本位之禮
君子曰管氏之丗祀也冝哉讓不忘其上詩曰愷悌君子神所勞矣	詩大雅愷樂也悌易也言樂易君子爲神所勞來故丗祀也管仲之後於齊没不復見傳亦舉其無驗愷本亦作凱開在切悌音弟本亦作弟勞力報切注同樂音洛下同易以䜴切下同來力代切復扶又切
經十有三年春狄侵衛	傳在前年春
〇夏四月葬陳宣公	無傳
公會齊侯宋公陳侯衛侯鄭伯許男曹伯于鹹	鹹衛地東郡濮陽縣東南有鹹城濮音卜
秋九月大雩	無傳書過
〇冬公子友如齊	無傳
傳十三年春齊侯使仲孫湫聘于周且言王子帶	前年王子帶奔齊言欲復之
事畢不與王言	不言子帶事
歸復命曰未可王怒未怠其十年乎不十年王弗召也〇夏會于鹹淮夷病杞故且謀王室也○秋爲戎難故諸侯戍周齊仲孫湫致之	戍守也致諸侯戍卒于周爲于僞切下注欲爲同難乃旦切卒子忽切
○冬晉荐饑	麥禾皆不熟荐在薦切重也饑音飢
使乞糴于秦秦伯謂子桑與諸乎對曰重施而報君將何求	言不損秦糴直歷切施式䜴切下同
重施而不報其民必攜攜而討焉無衆必敗	不義故民離
謂百里與諸乎	百里秦大夫
對曰天災流行國家代有救災恤鄰道也行道有福㔻鄭之子豹在秦請伐晉	欲爲父報怨
秦伯曰其君是惡其民何罪秦於是乎輸粟于晉自雍及絳相繼	雍秦國都絳晉國都雍於用切絳古巷切
命之曰汎舟之役	從渭水運入河汾汎芳剱切汾扶云切
經十有四年春諸侯城縁陵	縁陵𣏌邑辟淮夷遷都於縁陵
〇夏六月季姬及鄫子遇于防使鄫子來朝	季姬魯女鄫夫人也鄫子本無朝志爲季姬所召而來故言使鄫子來朝鄫國今琅邪鄫縣鄫似綾切本或作繒
○秋八月辛卯沙鹿崩	沙鹿山名平陽元城縣東有沙鹿土山在晉地災害繫於所災所害故不繫國
〇狄侵鄭	無傳
〇冬蔡侯肸卒	無傳未同盟而赴以名肸許乙切
傳十四年春諸侯城縁陵而遷𣏌焉不書其人有闕也	闕謂器用不具城池未固而去爲惠不終也澶淵之會旣而無歸大夫不書而國别稱人今此揔曰諸侯君臣之辭不言城𣏌𣏌未遷也澶市然切
〇鄫季姬來寧公怒止之以鄫子之不朝也	來寜不書而後年書歸鄫更嫁之文也明公絶鄫昏旣來朝而還還戸關切
夏遇于防而使來朝○秋八月辛卯沙鹿崩晉卜偃曰期年將有大咎幾亡國	國主山川山崩川竭亡國之徴期音基咎其九切幾音祈又音機
〇冬秦饑使乞糴于晉晉人弗與慶鄭曰背施無親	慶鄭晉大夫背音佩後皆同施式豉切注及下除施毛十五年皆同
幸災不仁貪愛不祥怒鄰不義四德皆失何以守國虢射曰皮之不存毛將安傅	虢射惠公舅也皮以喻所許秦城毛以喻糴言旣背秦施爲怨以深雖與之糴猶無皮而施毛傅音附
慶鄭曰弃信背鄰患孰恤之無信患作失援必斃是則然矣虢射曰無損於怨而厚於寇不如勿與	言與秦粟不足解怨適足使秦強
慶鄭曰背施幸災民所弃也近猶讎之況怨敵乎弗聽退曰君其悔是哉經十有五年春王正月公如齊	無傳諸侯五年再相朝䄚也例在文十五年
〇楚人伐徐〇三月公會齊侯宋公陳侯衛侯鄭伯許男曹伯盟于牡丘	牡丘地名闕牡茂后切
遂次于匡	匡衛地在陳留長垣縣西南
公孫敖帥師及諸侯之大夫救徐	公孫敖慶父之子諸侯旣盟次匡皆遣大夫將兵救徐故不復具列國别也復扶又切
〇夏五月日有食之〇秋七月齊師曹師伐厲	厲楚與國義陽隨縣北有厲郷
八月螽	無傳爲災螽音終本亦作􁈰
〇九月公至自會	無傳
〇季姬歸于鄫	無傳來寧不書此書者以明中絶中丁仲切又如字
〇已卯晦震夷伯之廟	夷伯魯大夫展氏之祖父夷謚伯字震者雷電擊之大夫旣卒書字晦音悔
○冬宋人伐曹○楚人敗徐于婁林	婁林徐地下邳僮縣東南有婁亭婁力侯切邳蒲悲切
〇十有一月壬戍晉侯及秦伯戰于韓獲晉侯	例得大夫曰獲晉侯背施無親愎諫違卜故貶絶下從衆臣之例而不言以歸不書敗績晉師不大崩愎皮逼切
傳十五年春楚人伐徐徐即諸夏故也三月盟于牡丘㝷葵丘之盟且救徐也	葵丘盟在九年夏戸雅切下注同
孟穆伯帥師及諸侯之師救徐諸侯次于匡以待之〇夏五月日有食之不書朔與日官失之也〇秋伐厲以救徐也○晉侯之入也秦穆姬屬賈君焉	晉侯入在九年穆姬申生姊秦穆夫人賈君晉獻公次妃賈女也屬音燭
且曰盡納羣公子	羣公子晉武獻之族宣二年傳曰驪姬之亂詛無畜羣公子詛莊據切
晉侯烝於賈君又不納羣公子是以穆姬怨之晉侯許賂中大夫	中大夫國内執政里㔻等烝之承切
旣而皆背之賂秦伯以河外列城五東盡虢略南及華山内及解梁城旣而不與	河外河南也東盡虢略從河南而東盡虢界也解梁城今河東解縣也華山在弘農華隂縣西南解音蟹注及下注同
晉饑秦輸之粟	在十三年
秦饑晉閉之糴	在十四年
故秦伯伐晉卜徒父筮之吉	徒父秦之掌龜卜者卜人而用筮不能通三易之占故據其所見親占而言之
渉河侯車敗詰之	秦伯之軍渉河則晉侯車敗也秦伯不解謂敗在巳故詰之詰起吉切
對曰乃大吉也三敗必獲晉君其卦遇蠱䷃	巽下艮上蠱蠱音古
曰千乗三去三去之餘獲其雄狐夫狐蠱必其君也	於周易利涉大川往有事也亦秦勝晉之卦也今此所言蓋卜筮書雜辭以狐蠱爲君其義欲以喻晉惠公其象未聞乗繩證切去起居切又起據切一音起吕切下同
蠱之貞風也其悔山也	内卦爲貞外卦爲悔巽爲風秦象艮爲山晉象
歳云秋矣我落其實而取其材所以克也	周九月夏之七月孟秋也艮爲山山有木今歳巳秋風吹落山木之實則材爲人所取
實落材亡不敗何待三敗及韓	晉侯車三壞
晉侯謂慶鄭曰寇深矣若之何對曰君實深之可若何公曰不孫卜右慶鄭吉弗使	惡其不孫不以爲車右此夷吾之多忌孫音遜注同惡烏路切
歩揚御戎家僕徒爲右	歩揚郤犫之父
乗小駟鄭入也	鄭所獻馬名小駟駟音四
慶鄭曰古者大事必乗其産生其水土而知其人心安其敎訓而服習其道唯所納之無不如志今乗異産以從戎事及懼而變將與人易	變易人意
亂氣狡憤隂血周作張脉僨興外彊中乾	狡戾也憤動也氣狡憤於外則血脉必周身而作隨氣張動外雖有彊形而内實乾竭狡古卯切憤扶粉切張中亮切注同脉音麥僨方問切
進退不可周旋不能君必悔之弗聽九月晉侯逆秦師使韓簡視師	韓簡晉大夫韓萬之孫
復曰師少於我鬪士倍我公曰何故對曰出因其資	謂奔梁求秦
入用其寵	爲秦所納
饑食其粟三施而無報是以來也今又擊之我怠秦奮倍猶未也公曰一夫不可狃況國乎	狃忲也言辟秦則使忲來施式氏切年末注同狃女九切忲時丗切又時設切
遂使請戰曰寡人不佞能合其衆而不能離也君若不還無所逃命秦伯使公孫枝對曰君之未入寡人懼之入而未定列猶吾憂也	列位也
苟列定矣敢不承命韓簡退曰吾幸而得囚	得囚爲幸言必敗
壬戍戰于韓原	九月十三日
晉戎馬還濘而止	濘泥也還便旋也小駟不調故隋泥中濘乃定切隋大果切
公號慶鄭慶鄭曰愎諫違卜	愎戾也號戸刀切又戸報切
固敗是求又何逃焉遂去之梁由靡衘韓簡虢射爲右輅秦伯將止之	輅迎也止獲也輅五嫁切
鄭以救公誤之遂失秦伯秦獲晉侯以歸	經書十一月壬戍十四日經從赴
晉大夫反首拔舎從之	反首亂頭髪反下垂也抜草舍止壞形毁服拔蒲末切注皆同
秦伯使辭焉曰二三子何其慼也寡人之從君而西也亦晉之妖夢是踐豈敢以至	狐突不寐而與神言故謂之妖夢申生言帝許罰有罪今將晉君而西以厭息此語踐厭也厭於冉切一音於甲切又於輒切下同
晉大夫三拜稽首曰君履后土而戴皇天皇天后土實聞君之言羣臣敢在下風穆姬聞晉侯將至以大子罃弘與女簡璧登臺而履薪焉	罃康公名弘其母弟也簡璧罃弘姊妹古之宫閉者皆居之臺以抗絶之穆姫欲自罪故登臺而荐之以薪左右上下者皆履柴乃得通罃於耕切履如字徐本作屨九具切抗苦浪切荐在薦切上時掌切
使以免服衰絰逆且告	免衰絰遭喪之服令行人服此服迎秦伯且告将以恥辱自殺免音問又作統音同衰七雷切絰大結切令力呈切下同
曰上天降災使我兩君匪以玉帛相見而以興戎若晉君朝以入則婢子夕以死夕以入則朝以死唯君裁之乃舎諸靈臺	在京兆鄠縣周之故臺亦所以抗絶令不得通外内曰上天降災凡此四十七字檢古本皆無㝷杜注亦不得有有是後人加也鄠音戸
大夫請以入公曰獲晉侯以厚歸也旣而喪歸焉用之	若將晉侯入則夫人或自殺焉於䖍切
大夫其何有焉	何有猶何得
且晉人慼憂以重我	謂反首拔舎
天地以要我不圖晉憂重其怒也我食吾言背天地也	食消也要於遙切重直用切下皆同
重怒難任背天不祥必歸晉君	任當也任音壬及注同
公子縶曰不如殺之無聚慝焉	公子縶秦大夫恐夷吾歸復相聚爲惡縶張執切又丁立切慝他得切復扶又切
子桑曰歸之而質其大子必得大成晉未可滅而殺其君祇以成惡	祇適也質音置下注質秦同祇音支
且史佚有言曰無始禍	史佚周武王時大史名佚佚音逸大音泰
無怙亂	恃人亂爲巳利怙音戸
無重怒重怒難任陵人不祥乃許晉平晉侯使郤乞告瑕吕飴甥且召之	卻乞晉大夫也瑕吕飴甥即吕甥也蓋姓瑕吕名飴甥字子金晉侯聞秦將許之平故告吕甥召使迎己飴音怡
子金敎之言曰朝國人而以君命賞	恐國人不從故先賞之於朝
且告之曰孤雖歸辱社稷矣其卜貳圉也	貳代也圉惠公大子懷公
衆皆哭	哀君不還國
晉於是乎作爰田	分公田之稅應入公者爰之於所賞之衆爰于元切
吕甥曰君亡之不恤而羣臣是憂惠之至也將若君何衆曰何爲而可對曰征繕以輔孺子	征賦也繕治也孺子大子圉孺如喻切
諸侯聞之喪君有君羣臣輯睦甲兵益多好我者勸惡我者懼庶有益乎衆說晉於是乎作州兵	五黨爲州州二千五百家也因此又使州長各繕甲兵喪息浪切後同輯音集又七入切好呼報切惡烏路切說音悅長丁丈切下長男同
初晉獻公筮嫁伯姬於秦遇歸妹䷵	兊下震上歸妹
之睽䷥	兊下離上睽歸妹上六變而爲睽睽苦圭切徐音圭
史蘇占之曰不吉	史蘇晉卜筮之史
其繇曰士刲羊亦無􁀱也女承筐亦無貺也	周易歸妹上六爻辭也􁀱血也貺賜也刲羊士之功承筐女之職上六無應所求不獲故下刲無血上承無實不吉之象離爲中女震爲長男故稱士女繇直救切刲苦圭切刺割也􁀱音荒筐曲方切貺音況本亦作況應應對之應下無應同中丁仲切
西鄰責言不可償也	將嫁女於西而遇不吉之卦故知有責讓之言不可報償責側介切又如字償市亮切又音常
歸妹之睽猶無相也	歸妹女嫁之卦睽乖離之象故曰無相相助也相息亮切
震之離亦離之震	二卦變而氣相通
爲雷爲火爲嬴敗姬	嬴秦姓姬晉姓震爲雷離爲火火動熾而害其母女嫁反害其家之象故曰爲嬴敗姫嬴音盈
車說其輹火焚其旗不利行師敗于宗丘	輹車下縛也丘猶邑也震爲車離爲火上六爻在震則無應故車脫輹在離則失位故火焚旗言皆失車火之用也車敗旗焚故不利行師火還害母故敗不出國近在宗邑說吐活切注同輹音福又音服案車旁著畐音福老子所云三十輻共一轂是也車旁著复音服是車下伏莬縛如字又扶卧切
歸妹睽孤寇張之弧	此睽上九爻辭也處睽之極故曰睽孤失位孤絶故遇寇難而有弓矢之警皆不吉之象難乃旦切警音景
姪其從姑	震爲木離爲火火從木生離爲震妹於火爲姑謂我姪者我謂之姑謂子圉質秦姪待結切字林丈一切
六年其逋逃歸其國而弃其家	逋亡也家謂子圉婦懷嬴逋補吾切
明年其死於髙梁之虚	惠公死之明年文公入殺懷公于髙梁髙梁晉地在平陽楊氏縣西南凡筮者用周易則其象可推非此而往則臨時占者或取於象或取於氣或取於時日王相以成其占若盡附會以爻象則􁀌虚而不經故略言其歸趣他皆倣此虛去魚切王于況切相息亮切􁀌本又作講各依字讀
及惠公在秦曰先君若從史蘇之占吾不及此夫韓簡侍曰龜象也筮數也物生而後有象象而後有滋滋而後有數先君之敗德及可數乎史蘇是占勿從何益	言龜以象示筮以數告象數相因而生然後有占占所以知吉凶不能變吉凶故先君敗德非筮數所生雖復不從史蘇不能益禍夫音扶先君之敗德及絶句可數乎一讀及可數乎數色主切復扶又切
詩曰下民之孽匪降自天僔沓背憎職競由人	詩小雅言民之有邪惡非天所降僔沓面語背相憎疾皆人競所主作因以諷諫惠公有以召此禍也孽魚列切僔尊本切沓徒合切邪似嗟切諷方鳯切
〇震夷伯之廟罪之也於是展氏有隱慝焉	隱惡非法所得尊貴罪所不加是以聖人因天地之變自然之妖以感動之知達之主則識先聖之情以自厲中下之主亦信妖祥以不妄神道助敎唯此爲深知音智
〇冬宋人伐曹討舊怨也	莊十四年曹與諸侯伐宋
○楚敗徐于婁林徐恃救也	恃齊救
〇十月晉隂飴甥會秦伯盟于王城	隂飴甥即吕甥也食采於隂故曰隂飴甥王城秦地馮翊臨晉縣東有王城今名武郷
秦伯曰晉國和乎對曰不和小人恥失其君而悼喪其親	痛其親爲秦所殺
不憚征繕以立圉也曰必報讎寧事戎狄君子愛其君而知其罪不憚征繕以待秦命曰必報德有死無二以此不和秦伯曰國謂君何對曰小人慼謂之不免君子恕以爲必歸小人曰我毒秦秦豈歸君	毒謂三施不報憚徒旦切
君子曰我知罪矣秦必歸君貳而執之服而舎之德莫厚焉刑莫威焉服者懷德貳者畏刑此一役也	言還惠公使諸侯威服復可當一事之功舍如字又音捨還音環
秦可以霸納而不定廢而不立以德爲怨秦不其然秦伯曰是吾心也改館晉侯饋七牢焉	牛羊豕各一爲一牢饋其位切
蛾析謂慶鄭曰盍行乎	蛾析晉大夫也蛾魚綺切本或作蟻一音五何切析本或作晳星歷切盍戸臘切
對曰陷君於敗	謂呼不往誤晉師失秦伯
敗而不死又使失刑非人臣也臣而不臣行將焉入十一月晉侯歸丁丑殺慶鄭而後入	丁丑月二十九日焉於䖍切
是歳晉又饑秦伯又餼之粟曰吾怨其君而矜其民且吾聞唐叔之封也箕子曰其後必大晉其庸可冀乎	唐叔晉始封之君武王之子箕子殷王帝乙之子紂之庶兄餼許氣切
姑樹德焉以待能者於是秦始征晉河東置官司焉	征賦也
春	_
秋	_
左	_
傳	_
卷	_
第	_
五	_
