春秋經傳集解成上第十二	陸云成公名黑肱宣公子謚法安民立政曰成
曰習攻華氏宋公殺之	蓋宣十五年宋楚平後華元使圍龜代己爲質故怨而欲攻華氏
〇冬同盟于蟲牢鄭服也諸侯謀復㑹宋公使向爲人辭以子靈之難	子靈圍龜也宋公不欲㑹以新誅子靈爲辭爲明年侵宋傳向舒亮切難乃旦切一本無之難二字子靈爲辭一本無爲辭二字
○十一月己酉定王崩	經在蟲牢盟上傳在下月倒錯衆家傳悉無此八字或衍文倒丁老切
經六年春王正月公至自㑹	無傳
〇二月辛巳立武宫	魯人自鞌之功至今無患故築武軍又作先君武公宫以告成事欲以示後丗
○取鄟	附庸國也鄟徐音專又市臠切
○衛孫良夫帥師侵宋〇夏六月邾子來朝	無傳
〇公孫嬰齊如晉	嬰齊叔肸子
○壬申鄭伯費卒	前年同盟蟲牢費音秘
○秋仲孫蔑叔孫僑如帥師侵宋〇楚公子嬰齊帥師伐鄭〇冬季孫行父如晉〇晉欒書帥師救鄭傳六年春鄭伯如晉拜成	謝前年再盟
子游相	子游公子偃相息亮切下寗相同
授玉于東楹之東	禮授玉兩楹之間鄭伯行疾故東過
士貞伯曰鄭伯其死乎自棄也巳視流而行速不安其位宜不能乆	視流不端諦諦音帝
○二月季文子以鞌之功立武宫非禮也	宣十二年潘黨勸楚子立武軍楚子荅以武有七德非己所堪其爲先君宫告成事而巳今魯倚晉之功又非霸主而立武宫故譏之倚於綺切
聽於人以救其難不可以立武立武由己非由人也	言請人救難勝非己功難乃旦切注同
○取鄟言易也	易以䜴切
○三月晉伯宗夏陽說衛孫良夫寗相鄭人伊雒之戎陸渾蠻氏侵宋	夏陽說晉大夫蠻氏戎别種也河南新城縣東南有蠻城經准書衛孫良夫獨衛告也夏戸雅切說音恱下文注同渾戸門切種章勇切
以其辭㑹也	辭㑹在前年
師于鍼衛人不保	不守備鍼其廉切一音針
說欲襲衛曰雖不可入多俘而歸有罪不及死伯宗曰不可衛唯信晉故師在其郊而不設備若襲之是棄信也雖多衛俘而晉無信何以求諸侯乃止師還衛人登陴	聞說謀故陴毗支切
〇晉人謀去故絳	晉復命新田爲絳故謂此故絳復扶又切
諸大夫皆曰必居郇瑕氏之地	郇瑕古國名河東解縣西北有郇城郇音荀解音蟹
沃饒而近盬	盬鹽也猗氏縣鹽池是近附近之近下及注近寳皆同盬音古猗於冝切
國利君樂不可失也韓獻子將新中軍且爲僕大夫	兼大僕樂音洛下謂樂同將子匠切下注將軍同大音泰
公揖而入獻子從公立於寢庭	路寢之庭
謂獻子曰何如	問諸大夫言是非
對曰不可郇瑕氏土薄水淺	土薄地下
其惡易覯	惡疾疹覯成也易以䜴切下注同覯古豆切疹勑覲切本或作疢同
易覯則民愁民愁則墊隘	墊隘羸困也墊丁念切隘於賣切羸劣僞切
於是乎有沉溺重膇之疾	沉溺濕疾重膇足腫溺刀歷切膇治僞切二音直媿切腫章勇切一音常勇切
不如新田	今平陽絳邑縣是
土厚水深居之不疾	髙燥故
有汾澮以流其惡	汾水出太原經絳北西南入河澮水出平陽絳縣南西入汾惡垢穢汾扶云切澮古外切垢古口切
且民從敎	無災患
十丗之利也夫山澤林盬國之寳也國饒則民驕佚	財易致則民驕侈佚音逸
近寳公室乃貧不可謂樂	近寳則民不務本
公說從之夏四月丁丑晉遷于新田	爲季孫如晉傳說音恱
○六月鄭悼公卒	終士貞伯之言
○子叔聲伯如晉命伐宋	晉人命聲伯
秋孟獻子叔孫宣伯侵宋晉命也〇楚子重伐鄭鄭從晉故也	前年從晉盟
○冬季文子如晉賀遷也○晉欒書救鄭與楚師遇於繞角	繞角鄭地
楚師還晉師遂侵蔡楚公子申公子成以申息之師救蔡	申息楚二縣成音城
禦諸桑隧	汝南朗陵縣東有桑里在上蔡西南禦魚吕切隧音遂
趙同趙括欲戰請於武子武子將許之	武子欒書
知莊子	荀首中軍佐
范文子	士爕上軍佐
韓獻子	韓厥新中軍將
諫曰不可吾來救鄭楚師去我吾遂至於此	此蔡地
是遷戮也戮而不巳又怒楚師戰必不克	遷戮不義怒敵難當故不克
雖克不令成師以出而敗楚之二縣何榮之有焉	六軍悉出故曰成師以大勝小不足爲榮
若不能敗爲辱巳甚不如還也乃遂還於是軍帥之欲戰者衆或謂欒武子曰聖人與衆同欲是以濟事子盍從衆	盍何不也帥所類切下注同盍戸臘切
子爲大政	中軍元帥
將酌於民者也	酌取民心以爲政
子之佐十一人	六軍之卿佐
其不欲戰者三人而巳	知范韓也
欲戰者可謂衆矣商書曰三人占從二人衆故也	商書洪範
武子曰善鈞從衆	鈞等也
夫善衆之主也三卿爲主可謂衆矣	三卿皆晉之賢人
從之不亦可乎	傳善欒書得從衆之義且爲八年晉侵蔡傳
經七年春王正月鼷䑕食郊牛角改卜牛鼷䑕又食其角乃免牛	無傳稱牛未卜日免放也免牛可也不郊非禮也鼷音兮
〇呉伐郯	郯音談
〇夏五月曹伯來朝○不郊猶三望	無傳書不郊間有事三望非禮
〇秋楚公子嬰齊帥師伐鄭〇公㑹晉侯齊侯宋公衛侯曹伯莒子邾子𣏌伯救鄭〇八月戊辰同盟于馬陵	馬陵衛地陽平元城縣東南有地名馬陵
○公至自㑹	無傳
〇呉入州來	州來楚邑淮南下蔡縣是也
〇冬大雩	無傳書過
〇衛孫林父出奔晉傳七年春呉伐郯郯成季文子曰中國不振旅蠻夷入伐而莫之或恤	振整也旅衆也
無弔者也夫	言中國不能相愍恤故夷狄内侵夫音扶
詩曰不弔昊天亂靡有定其此之謂乎	詩小雅刺在上者不能弔愍下民故號天告亂昊戸老切號户刀切
有上不弔其誰不受亂	上謂霸主
吾亡無日矣君子曰知懼如是斯不亡矣○鄭子良相成公以如晉見且拜師	謝前年晉救鄭之師爲楚伐鄭張本相息亮切見賢遍切
夏曹宣公來朝秋楚子重伐鄭師于汜	汜鄭地在襄城縣南氾音凡
諸侯救鄭鄭共仲侯羽軍楚師	二子鄭大夫共音恭
囚鄖公鍾儀獻諸晉○八月同盟于馬陵㝷蟲牢之盟且莒服故也	蟲牢盟在五年莒本屬齊齊服故莒從之鄖本亦作貟音云邑名
〇晉人以鍾儀歸囚諸軍府	軍藏府也爲九年晉侯見鍾儀張本藏才浪切
楚圍宋之役	在宣十四年
師還子重請取於申吕以爲賞田王許之	分申吕之田以自賞
申公巫臣曰不可此申吕所以邑也是以爲賦以御北方若取之是無申吕也	言申吕頼此田成邑耳不得此田則無以出兵賦而二邑壞也所邑也一本作所以邑也御魚吕切
晉鄭必至于漢王乃止子重是以怨巫臣子反欲取夏姬巫臣止之遂取以行子反亦怨之及共王即位	楚共王以魯成公元年即位共音恭
子重子反殺巫臣之族子閻子蕩及清尹弗忌	皆巫臣之族閻音鹽
及襄老之子黒要	以夏姬故井怨黒要要一遥切
而分其室子重取子閻之室使沈尹與王子罷分子蕩之室子反取黒要與清尹之室巫臣自晉遺二子書	子重子反罷音皮下同遺唯季切
曰爾以讒慝貪惏事君而多殺不辜余必使爾罷於奔命以死巫臣請使於呉晉侯許之呉子壽夢說之乃通呉于晉	壽夢季札父慝他得切惏力含切使所吏切夢莫公切說音恱札側八切
以兩之一卒適呉舎偏兩之一焉	司馬法百人爲卒二十五人爲兩車九乗爲小偏十五乗爲大偏蓋留九乗車及一兩二十五人今呉習之卒子忽切注同舎音赦舊音捨乗繩證切下注同令力呈切
與其射御敎呉乗車敎之戰陳敎之叛楚	前是呉常屬楚陳直覲切
寘其子狐庸焉使爲行人於呉呉始伐楚伐巢伐徐	巢徐楚屬國寘之䜴切
子重奔命	救徐巢
馬陵之㑹呉入州來子重自鄭奔命	因伐鄭而行
子重子反於是乎一歳七奔命蠻夷屬於楚者呉盡取之是以始大通呉於上國	上國諸夏夏戸雅切
衛定公惡孫林父冬孫林父出奔晉	林父孫良夫之子惡烏路切
衛侯如晉晉反戚焉	戚林父邑休父出奔戚隨屬晉戚七狄切
經八年春晉侯使韓穿來言汶陽之田歸之于齊	齊服事晉故晉來語魯使還二年所取田語魚據切
〇晉欒書帥師侵蔡〇公孫嬰齊如莒〇宋公使華元來聘○夏宋公使公孫壽來納幣	昏聘不使卿今華元將命故特書之宋公無主昏者自命之故稱使也公孫壽蕩意諸之父
〇晉殺其大夫趙同趙括	傳曰原屏咎之徒也明本不以德義自居冝其見討故從告辭而稱名
〇秋七月天子使召伯來賜公命	諸侯即位天子賜以命圭與之合瑞八年乃來緩也天子天王王者之通稱稱尺證切
〇冬十月癸卯𣏌叔姬卒	前五年來歸者女旣適人雖見出弃猶以成人禮書之終爲𣏌伯所葬故稱杞叔姬
〇晉侯使士爕來聘〇叔孫僑如㑹晉士爕齊人邾人伐郯	先謀而稱㑹盟主之命不同之於列國
〇衛人來媵	古者諸侯取適夫人及左右媵各有姪娣皆同姓之國國三人凡九女所以廣繼嗣也魯將嫁伯姬於宋故衛來媵之媵以證切又繩證切適丁歷切姪大結切字林丈一切娣大計切
傳八年春晉侯使韓穿來言汶陽之田歸之于齊季丈子餞之	餞送行飲酒餞錢淺切說文云送去食也字林子扇切毛詩箋云祖而舎軷飲酒於其側曰餞
私焉	私與之言
曰大國制義以爲盟主是以諸侯懷德畏討無有貳心謂汶陽之田敝邑之舊也而用師於齊使歸諸敝邑	用師鞌之戰
今有二命曰歸諸齊信以行義義以成命小國所望而懷也信不可知義無所立四方諸侯其誰不解體	言不復肅敬於晉復扶又切
詩曰女也不爽士貳其行士也罔極二三其德	爽差也極中也詩衛風婦人怨丈夫不一其行喻魯事晉猶女之不敢過差而晉有罔極之心反二三其德行下孟切及注同差初賣切一音初佳切
七年之中一與一奪二三孰甚焉士之二三猶喪妃耦而況霸主霸主將德是以	以用也喪息浪切妃辛配耦五口切
而二三之其何以長有諸侯乎詩曰猶之未逺是用大簡	猶圖也簡諫也詩大雅言王者圖事不逺故用大道諫之長音如字一音丁丈切
行父懼晉之不逺猶而失諸侯也是以敢私言之〇晉欒書侵蔡	六年未得志故
遂侵楚獲申驪	申驪楚大夫驪力馳切
楚師之還也	謂六年遇於繞角時
晉侵沈獲沈子揖初從知范韓也	繞角之役欒書從知莊子范文子韓獻子之言不與楚戰自是常從其謀師出有功故傳善之沈國今汝南平與縣揖徐音集又於立切與音餘一音預
君子曰從善如流冝哉	冝有功也如流喻速
詩曰愷悌君子遐不作人	遐逺也作用也詩大雅言文王能逺用善人不語助愷開在切樂也悌徒禮切易也
求善也夫作人斯有功績矣是行也鄭伯將㑹晉師	㑹伐蔡之師夫音扶
門于許東門大獲焉	過許見其無備因攻之過古禾切
〇聲伯如莒逆也	自爲逆婦而書者因聘而逆爲于僞切下文爲趙嬰同
宋華元來聘聘共姬也	穆姜之女成公姊妹爲來共公夫人聘不應使卿故傳發其事而巳共音恭
〇夏宋公使公孫壽來納幣禮也	納幣應使卿
〇晉趙莊姬爲趙嬰之亡故譛之于晉侯	趙嬰亡在五年
曰原屏將爲亂欒郤爲徴	欒氏郤氏亦徴其爲亂
六月晉討趙同趙括武從姬氏畜于公宫	趙武莊姬之子莊姬晉成公女畜養也
以其田與祁奚韓厥言於晉侯曰成季之勲宣孟之忠	成季趙衰宣孟趙盾祁巨之切字林上尸切衰初危切盾徒本切
而無後爲善者其懼矣三代之令王皆數百年保天之禄夫豈無辟王頼前哲以免也	言三代亦有邪辟之君但頼其先人以免禍耳數所主切辟匹亦切注及下同哲陟列切邪似嗟切
周書曰不敢侮鰥寡所以明德也	周書康誥言文王不侮鰥寡而德益明欲使晉侯之法文王侮亡甫切鰥古頑切
乃立武而反其田焉〇秋召桓公來賜公命	召桓公周卿士
○晉侯使申公巫臣如呉假道于莒與渠丘公立於池上	渠丘公莒子朱也池城池也渠丘邑名莒縣有蘧里蘧其居切
曰城巳惡莒子曰辟陋在夷其孰以我爲虞	虞度也巳惡如字巳猶太也本或作城巳惡矣度待洛切
對曰夫狡焉	狡猾之人狡交卯切猾于八切
思啓對疆以利社稷者何國蔑有唯然故多大國矣唯或思或縱也	丗有思開封疆者有縱其暴掠者莒人當唯此爲命疆居良切唯然音維本或作雖後人改也掠音亮
勇夫重閉況國乎	爲明年莒潰傳重直龍切又直勇切閉補計切又補結切一音戸旦切
〇冬𣏌叔姬卒來歸自𣏌故書	愍其見出來歸故書卒也若更適大夫則不復書卒復扶又切
〇晉士爕來聘言伐郯也以其事呉故	七年郯與呉成
公賂之請緩師文子不可	文子士爕
曰君命無貳失信不立禮無加貨事無二成	公私不兩成
君後諸侯是寡君不得事君也	欲與魯絶後如字徐音胡豆切
爕將復之季孫懼使宣伯帥師㑹伐郯〇衛人來媵共姬禮也凡諸侯嫁女同姓媵之異姓則否	必以同姓者參骨肉至親所以息隂訟
經九年春王正月𣏌伯來逆叔姬之喪以歸〇公㑹晉侯齊侯宋公衛侯鄭伯曹伯莒子杞伯同盟于蒲	蒲衛地在長垣縣西南
〇公至自㑹	無傳
〇二月伯姬歸于宋	宋不使卿逆非禮
〇夏季孫行父如宋致女	女嫁三月又使大夫隨加聘問謂之致女所以致成婦禮篤昏姻之好好呼報切
〇晉人來媵	媵伯姬也
○秋七月丙子齊侯無野卒	無傳五同盟丙子六月一日書七月從赴
〇晉人執鄭伯	鄭伯旣受盟於蒲又受楚賂㑹於鄧故晉執之稱人者晉以無道於民告諸侯例在十五年
〇晉欒書帥師伐鄭〇冬十有一月葬齊頃公	無傳頃音傾
〇楚公子嬰齊帥師伐莒庚申莒潰	民逃其上曰潰
〇楚人入鄆	鄆莒别邑也楚偏師入鄆故稱人
〇秦人白狄伐晉〇鄭人圍許〇城中城	魯邑也在東海廩丘縣西南此閏月城在十一月之後十二月之前故傳曰書時
傳九年春𣏌桓公來逆叔姬之喪請之也	叔姬巳絶於𣏌魯復強請𣏌使還取葬復扶又切下同強其丈切
𣏌叔姬卒爲𣏌故也	還爲𣏌婦故卒稱𣏌爲于僞切下注爲魯下文爲歸汶陽同
逆叔姬爲我也	旣棄而復逆其喪明爲魯故逆叔姬絶句爲我也本或無爲字
〇爲歸汶陽之田故諸侯貳於晉	歸田在前年
晉人懼㑹於蒲以㝷馬陵之盟	馬陵盟在七年
季文子謂范文子曰德則不競㝷盟何爲	競強也
范文子曰勤以撫之寛以待之堅彊以御之明神以要之柔服而伐貳德之次也是行也將始㑹呉呉人不至	爲十五年㑹鍾離傳御魚吕切要一遥切
〇二月伯姬歸于宋	爲致女復命起
〇楚人以重賂求鄭鄭伯㑹楚公子成于鄧	爲晉人執鄭伯傳
〇夏季文子如宋致女復命公享之賦韓奕之五章	韓奕詩大雅篇名其五章言蹶父嫁女於韓侯爲女相所居莫如韓樂文子喻魯侯有蹶父之德宋公如韓侯宋士如韓樂蹶九衛切爲于僞切相息亮切樂音洛下同
穆姜出于房再拜曰大夫勤辱不忘先君以及嗣君施及未亡人	穆姜伯姬母聞文子言宋樂喜而出謝其行勞婦人夫死自稱未亡人施以䜴切
先君猶有望也	言先君亦望文子之若此
敢拜大夫之重勤又賦緑衣之卒章而入	緑衣詩邶風也取其我思古人實獲我心喻文子言得己意重直勇切又直用切緑如字本又作禒吐亂切注同邶音佩又作鄁
〇晉人來媵禮也	同姓故
〇秋鄭伯如晉晉人討其貳於楚也執諸銅鞮	銅鞮晉别縣在上黨鞮丁兮切
〇欒書伐鄭鄭人使伯蠲行成晉人殺之非禮也兵交使在其間可也	明殺行人例蠲古玄切又音圭使音所吏切
楚子重侵陳以救鄭	陳與晉故
〇晉侯觀于軍府見鍾儀問之曰南冠而縶者誰也	南冠楚冠縶拘執縶中立切拘九于切
有司對曰鄭人所獻楚囚也使稅之	鄭獻鍾儀在七年稅解也稅吐活切徐始銳切注同
召而弔之再拜稽首問其族對曰泠人也	泠人樂官泠力丁切依字作伶
公曰能樂乎對曰先人之職官也敢有二事	言不敢學他事
使與之琴操南音	南音楚聲操七刀切下同
公曰君王何如對曰非小人之所得知也固問之對曰其爲大子也師保奉之以朝于嬰齊而夕于側也	嬰齊令尹子重側司馬子反言其尊卿敬老
不知其他公語范文子文子曰楚囚君子也言稱先職不背本也樂操土風不忘舊也稱大子抑無私也	舎其近事而逺稱少小以示性所自然明至誠語魚據切背音佩下同舎音捨少詩照切
名其二卿尊君也	尊晉君也
不背本仁也不忘舊信也無私忠也尊君敏也	敏達也
仁以接事信以守之忠以成之敏以行之事雖大必濟	言有此四德必能成大事
君盍歸之使合晉楚之成公從之重爲之禮使歸求成	爲下十二月晉楚結成張本盍戸臘切
○冬十一月楚子重自陳伐莒圍渠丘渠丘城惡衆潰奔莒戊申楚入渠丘	月六日
莒人囚楚公子平楚人曰勿殺吾歸而俘莒人殺之楚師圍莒莒城亦惡庚申莒潰	月十八日
楚遂入鄆莒無備故也	終巫臣之言
君子曰恃陋而不備罪之大者也備豫不虞善之大者也莒恃其陋而不脩城郭浹辰之間而楚克其三都無備也夫	浹辰十二日也浹子協切徐又音子荅切夫音扶
詩曰雖有絲麻無棄菅蒯雖有姬姜無棄蕉萃凡百君子莫不代匱言備之不可以巳也	逸詩也姬姜大國之女蕉萃陋賤之人菅古顔切蒯苦怪切蕉在遥切萃在醉切匱其位切
〇秦人白狄伐晉諸侯貳故也〇鄭人圍許示晉不急君也	此秋晉執鄭伯
是則公孫申謀之曰我出師以圍許	示不畏晉
爲將改立君者而紓晉使	紓緩也勿亟遺使詣晉示欲更立君爲將並如字或于僞切非也本或作僞將紓音舒使所吏切亟紀力切急也或欺冀切數也
晉必歸君	爲明年晉侯歸鄭伯張本
○城中城書時也〇十二月楚子使公子辰如晉報鍾儀之使請脩好結成	鍾儀奉晉命歸故楚報之好呼報切
經十年春衛侯之弟黒背帥師侵鄭〇夏四月五卜郊不從乃不郊	無傳卜常祀不郊皆非禮故書
〇五月公㑹晉侯齊侯宋公衛侯曹伯伐鄭	晉侯大子州蒲也稱爵見其生代父居位失人子之禮見賢遍切
〇齊人来媵	無傳媵伯姬也異姓來媵非禮也
〇丙午晉侯獳卒	六同盟據傳丙午六月七日有日無月獳乃侯切
〇秋七月公如晉〇冬十月傳十年春晉侯使糴茷如楚	糴茷晉大夫糴徐徒弔切一音杜敖切又土弔切茷扶廢切一音蒲發切又蒲女切
報大宰子商之使也	子商楚公子辰使在前年大音泰使所吏切下使在同
〇衛子叔黒背侵鄭晉命也	晉命衛使侵鄭
〇鄭公子班聞叔申之謀	改立君之謀
三月子如立公子繻	子如公子班繻音須
夏四月鄭人殺繻立髠頑子如奔許	髠頑鄭成公大子髠苦門切頑如字徐音五班切
欒武子曰鄭人立君我執一人焉何益不如伐鄭而歸其君以求成焉晉侯有疾五月晉立大子州蒲以爲君而㑹諸侯伐鄭	生立子爲君此父不父子不子經因書晉侯其惡明州蒲本或作州滿
鄭子罕賂以襄鐘	子罕穆公子襄鐘鄭襄公之廟鐘
子然盟于脩澤子駟爲質	子然子駟皆穆公子榮陽卷縣東有脩武亭質音致卷音權字林丘權切如淳漢書音同
辛巳鄭伯歸	鄭伯歸不書鄭不告入
〇晉侯夢大厲被髮及地搏膺而踊曰殺余孫不義	厲鬼也趙氏之先祖也八年晉侯殺趙同趙括故怒被皮寄切博音博踊音勇
余得請於帝矣壞大門及寢門而入公懼入于室又壞戸公覺召桑田巫	桑田晉邑壞音怪下同及寢門一本無及字覺古孝切
巫言如夢	巫云鬼怒如公所夢
公曰何如曰不食新矣	言公不得及食新麥
公疾病求醫于秦秦伯使醫緩爲之	緩醫名爲猶治也醫於其切
未至公夢疾爲二豎子曰彼良醫也懼傷我焉逃之其一曰居肓之上膏之下若我何	肓鬲也心下爲膏傷我絶句焉徐於䖍切一讀如字屬上句逃之絶句肓徐音荒說文云心下鬲上也鬲音革
醫至曰疾不可爲也在肓之上膏之下攻之不可達之不及藥不至焉不可爲也	達針攻音工
公曰良醫也厚爲之禮而歸之六月丙午晉侯欲麥	周六月今四月麥始熟
使甸人獻麥	甸人主爲公田者甸徒練切
饋人爲之召桑田巫示而殺之將食張如廁陷而卒	張腹蒲也饋其媿切爲如字張中亮切注同
小臣有晨夢負公以登天及日中負晉侯出諸厠遂以爲殉	傳言巫以明術見殺小臣以言夢自禍
〇鄭伯討立君者戊申殺叔申叔禽	叔禽叔申弟
君子曰忠爲今德非其人猶不可況不令乎	言叔申爲忠不得其人還害身
○秋公如晉	親弔非禮
晉人止公使送葬於是糴茷未反	是春晉使糴茷至楚結成晉謂魯二於楚故留公須糴茷還驗其虚實
冬葬晉景公公送葬諸侯莫在魯人辱之故不書諱之也	諱不書晉葬也
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
十	_
二	_
