春秋經傳集解成下第十三杜氏盡十八年經十有一年春王三月公至自晉	正月公在晉不書諱見止
乃皆左右相違於淖	違辟也
歩毅御晉厲公欒鍼爲右	歩毅即郤毅
彭名御楚共王潘黨爲右石首御鄭成公唐苟爲右欒范以其族夾公行	二族強敌在公左右共音恭夾古洽切
䧟於淖欒書將載晉侯鍼曰書退國有大任焉得專之	在君前故子名其父大任謂元帥之職焉於䖍切
且侵官冒也	載公爲侵官冒莫報切徐莫北切
失官慢也	去將而御失官也
離局姦也	逺其部曲爲離局離力志切注同逺于萬切
有三罪焉不可犯也乃掀公以出於淖	掀舉也城徐許言切云捧轂舉之則公軒起也一曰掀引也胡根切一音虚斤切字林云舉出也火氣也又丘近切
癸巳潘尫之黨與養由基蹲甲而射之徹七札焉	黨潘尫之子蹲聚也一發達七札言其能陷堅尫烏黃切之黨一本作潘尫之子黨案注云黨潘尫之子也則傳文不得有子字古本此及襄二十三年申觧虞之傳摯皆無子字蹲在尊切徐又在損切一音才官切札側八切徐側乙切
以示王曰君有二臣如此何憂於戰	二子以射夸王夸苦瓜切
王怒曰大辱國	賤其不尚知謀知音智
詰朝爾射死藝	言女以射自多必當以藝死也詰朝猶明朝是戰日朝如字注同女音汝
吕錡夢射月中之退入於泥	吕錡魏錡射食亦切下至使射同中丁仲切下及注同
占之曰姬姓日也	周也姬姓尊
異姓月也	異姓卑
必楚王也射而中之退入於泥亦必死矣	錡自入泥亦死象
及戰射共王中目王召養由基與之兩矢使射吕錡中項伏弢	弢弓衣項戸講切弢他刀切
以一矢復命	言一發而中
郤至三遇楚子之卒見楚子必下免胄而趨風	疾如風
楚子使工尹襄問之以弓	問遺也
曰方事之殷也	殷盛也
有韎韋之跗注君子也	韎赤色跗注戎服若袴而屬於跗與袴連韎莫拜切又音妹徐莫蓋切跗方午切注之樹切袴苦故切屬章玉切
識見不榖而趨無乃傷乎	恐其傷
郤至見客免胄承命曰君之外臣至從寡君之戎事以君之靈間蒙甲胄	間猶近也近如字一本或作與音預
不敢拜命	介者不拜介音界
敢告不寧君命之辱	以君辱賜命故不敢自安
爲事之故敢肅使者	言君辱命來問以有軍事不得荅故肅使者肅手至地若今撎爲于僞切使所吏切注及下同擡伊志切揖也字林云舉首下手也
三肅使者而退晉韓厥從鄭伯	從逐也
其御杜溷羅曰速從之其御屢顧不在馬可及也韓厥曰不可以再辱國君乃止	二年鞌戰韓厥巳辱齊侯溷戸昏切又戸本切
郤至從鄭伯其右茀翰胡曰諜輅之余從之乗而俘以下	欲遣輕兵軍進以距鄭伯車前而自後登其車以執之茀府勿切翰徐音韓諜音牒輅五嫁切乘䋲證切輕遣政切又如字
郤至曰傷國君有刑亦止石首曰衛懿公唯不去其旗是以敗於熒乃内旌於弢中	熒戰在閔二年去起吕切熒戸扄切旌音精
唐苟謂石首曰子在君側敗者壹大我不如子子以君免我請止乃死	敗者壹大謂軍大崩也言石首亦君之親臣而執御與車右不同故首當御君以退巳當死戰
楚師薄於險	薄迫也
叔山冉謂養由基曰雖君有命爲國故子必射	王有死藝命冉如琰切爲于僞切射食亦切
乃射再發盡殪叔山冉搏人以投中車折軾晉師乃止	言二子皆有過人之能發如字徐音廢㱴於計切搏音愽中丁仲切折之設切又市列切軾音式
囚楚公子茷	爲郤至見譖張本茷扶廢切
欒鍼見子重之旌請曰楚人請夫旌子重之麾也彼其子重也日臣之使於楚也子重問晉國之勇臣對曰好以衆整曰又何如	又問其餘夫音扶麾許危切日人實切使所吏切下免使者同好呼報切下及注皆同
臣對曰好以暇	暇間暇間音閑
今兩國治戎行人不使不可謂整臨事而食言不可謂暇	食好整之言使所吏切又如字
請攝飲焉	攝持也持飲往飲子重飲於䲴切
公許之使行人執榼承飲造于子重	承奉也榼苦臘切造七報切
曰寡君乏使使鍼御持矛	御侍也
是以不得犒從者使某攝飲子重曰夫子甞與吾言於楚必是故也不亦識乎	知其以往言好暇故致飲犒苦報切從才用切
受而飲之免使者而復鼓	免脫也復扶又切注及下同
旦而戰見星未巳子反命軍吏察夷傷	夷亦傷也
補卒乗	補死亡乗繩證切下同
繕甲兵	繕治也
展車馬	展陳也陳如字
雞鳴而食唯命是聽	復欲戰
晉人患之苗賁皇徇曰蒐乗補卒	蒐閱也徇似俊切蒐所留切
秣馬利兵	秣榖馬也秣音末
脩陳固列	固堅也陳直覲切又如字
蓐食申禱	申重也蓐音辱重直用切
明日復戰乃逸楚囚	逸縱也縱子用切
王聞之召子反謀榖陽豎獻飲於子反子反醉而不能見	榖陽子反内豎見賢遍切
王曰天敗楚也夫余不可以待乃宵遁晉入楚軍三日榖	食楚粟三日也夫音扶三日榖本或作三日館榖誤也
范文子立於戎馬之前曰君幼諸臣不佞	佞才也君幼本或作君幼弱
何以及此君其戒之	戒勿驕
周書曰惟命不于常有德之謂	周書康誥言勝無常命惟德是與
楚師還及瑕	瑕楚地
王使謂子反曰先大夫之覆師徒者君不在	謂子玉敗城僕時王不在軍覆芳服切
子無以爲過不榖之罪也子反再拜稽首曰君賜臣死死且不朽	王引過亦所以責子反
臣之卒實奔臣之罪也子重使謂子反曰初隕師徒者而亦聞之矣盍圖之	聞子玉自殺終二卿相惡卒從此已前皆子忽切隕于敏切盍戸臘切
對曰雖微先大夫有之大夫命側側敢不義	言以義命已不敢不受
側亡君師敢忘其死王使止之弗及而卒〇戰之日齊國佐髙無咎至于師	無咎髙固子
衛侯出于衛公出于壞隤	壞隤魯邑齊衛皆後非獨魯明晉以僑如故不見公壞戸怪切徐音懷隤徒回切
宣伯通於穆姜	穆姜成公母
欲去季孟而取其室	季文子孟獻子去起吕切
將行穆姜送公而使逐二子公以晉難告	會晉伐鄭難乃旦切
曰請反而聽命姜怒公子偃公子鉏趨過	二子公庶弟鉏仕居切
指之曰女不可是皆君也	言欲廢公更立君女音汝
公待於壞隤申宫儆備	申勑宮備儆京領切
設守而後行是以後	後晉楚戰期守乎又切
使孟獻子守于公宫○秋㑹于沙隨謀伐鄭也	鄭猶未服
〇宣伯使告郤犫曰魯侯待于壞隤以待勝者	觀晉楚之勝負
郤犫將新軍且爲公族大夫以主東諸侯	主齊魯之屬
取貨于宣伯而訴公于晉侯	訴譖也
晉侯不見公〇曹人請于晉曰自我先君宣公即丗	在十三年
國人曰若之何憂猶未弭	弭息也旣葬國人皆將從子臧所謂憂未息弭亡氏切
而又討我寡君	前年晉侯執曹伯
以亡曹國社稷之鎭公子	謂子臧逃奔宋
且大汦曹也	汦滅也
先君無乃有罪乎	言今君無罪而見討得無以先君故
若有罪則君列諸㑹矣	諸侯雖有篡弑之罪侯伯已與之㑹則不復討前年㑹干戚曹伯在列盟畢乃執之故曹人以爲無罪篡𥘉患切弑音試復扶又切下及下文復請同
君唯不遺德刑	遺失也
以伯諸侯豈獨遺諸敝邑敢私布之	爲曹伯歸不以名告傳伯如字又音霸
〇七月公㑹尹武公及諸侯伐鄭將行姜又命公如初	復欲使公逐季孟
公又申守而行諸侯之師次于鄭西我師次于督揚不敢過鄭	督揚鄭東地守手又切下注同過古卧切又古禾切
子叔聲伯使叔孫豹請逆于晉師	豹叔孫僑如弟也僑如於是遂作亂豹因奔齊
爲食於鄭郊師逆以至	聲伯戒叔孫以必須所逆晉師至乃食
聲伯四日不食以待之食使者	使者豹之介食音嗣使所吏切介音界及下文敢介同
而後食	言其忠也而後食一本作聲伯而後食
諸侯遷于制田	熒陽宛陵縣東有制澤
知武子佐下軍	武子荀罃
以諸侯之師侵陳至于鳴鹿	陳國武平縣西南有鹿邑
遂侵蔡未反	侵陳蔡不書公不與與音預
諸侯遷干潁上戊午鄭子罕宵軍之宋齊衛皆失軍	將主與軍相失宋衛不書後也將子匠切
〇曹人復請于晉晉侯謂子臧反吾歸而君	以曹人童子臧故
子臧反曹伯歸	子臧自宋還
子臧盡致其邑與卿而不出	不出仕
〇宣伯使告郤犫曰魯之有季孟猶晉之有欒范也政令於是乎成今其謀曰晉政多門不可從也	政不由君
寧事齊楚有亡而巳蔑從晉矣	蔑無也
若欲得志於魯請止行父而殺之	行父季文子也
我斃蔑也	蔑孟獻子時留守公官斃婢丗切
而事晉蔑有貳矣魯不貳小國必睦不然歸必叛矣九月晉人執季文子于苕丘公還待于鄆	鄆魯西邑東郡廪丘縣東有鄆城廪力甚切
使子叔聲伯請季孫于晉郤犫曰苟去仲孫蔑而止季孫行父吾與子國親於公室	親魯甚於晉公室去起吕反下同
對曰僑如之情子必聞之矣	聞其淫慝情慝吐得切下同
若去蔑與行父是大棄魯國而罪寡君也若猶不棄而惠徼周公之福使寡君得事晉君則夫二人者魯國社稷之臣也若朝亡之魯必夕亡以魯之密邇仇讎	仇讎謂齊楚夫音扶朝知字
亡而爲讎治之何及	言魯屬齊楚則還爲晉讎
郤犫曰吾爲子請邑對曰嬰齊魯之常隷也	隷賤官爲于僞切
敢介大國以求厚焉	介因也
承寡君之命以請	承奉也
若得所請吾子之賜多矣又何求范文子謂欒武子曰季孫於魯相二君矣	二君宣成相息亮切
妾不衣帛馬不食粟可不謂忠乎信讒慝而棄忠良若諸侯何子叔嬰齊奉君命無私	不受郤犫請邑衣於旣切食舊如字對上句應作嗣音
謀國家不貳	謂四日不食以堅事晉
圖其身不忘其君	辭邑不食皆先君而後身
若虚其請是棄善人也子其圖之乃許魯平赦季孫冬十月出叔孫僑如而盟之僑如奔齊	諸大夫共盟以僑如爲戒
〇十二月季孫及郤犫盟于扈歸刺公子偃	偃與鉏俱爲姜所指而獨殺偃偃與謀與音預
召叔孫豹于齊而立之	近此七月聲伯使豹請逆於晉聞魯人將討僑如豹乃辟其難先奔齊生二子而魯乃召之故襄二年豹始見經傳於此因言其終難乃旦切見賢遍切
〇齊聲孟子通僑如	聲孟子齊靈公母宋女
使立於髙國之間	位此二卿
僑如曰不可以再罪奔衛亦間於卿	傳亦終言僑如之佞間徐音間厠之間讀者或如字
○晉侯使郤至獻楚捷于周與單襄公語驟稱其伐	伐功也
單子語諸大夫曰温季其亡乎	温季郤至語魚據切
位於七人之下	佐新軍位在入
而求掩其上	稱己之伐掩上功
怨之所聚亂之本也多怨而階亂何以在位	怨爲亂階
夏書曰怨豈在明不見是圖	逸書也不見細微也見賢遍切又如字
將愼其細也今而明之其可乎	言郤至顯稱已功所以明怨咎
經十有七年春衛北宫括帥師侵鄭	括成公曾孫括古活切
〇夏公㑹尹子單子晉侯齊侯宋公衛侯曹伯邾人伐鄭	晉未能服鄭故假天子烕周使二卿㑹之晉爲兵主而猶先尹單尊王命也單伯稱子蓋降爵
○六月乙酉同盟于柯陵	柯陵鄭西地柯古河切
○秋公至自㑹	無傳
〇齊髙無咎出奔莒〇九月辛丑用郊	無傳九月郊祭非禮明矣書用郊從史文
〇晉侯使荀罃來乞師	無傳將伐鄭
〇冬公㑹單子晉侯宋公衛侯曹伯齊人邾人伐鄭	鄭猶未服故
○十有一月公至自伐鄭	無傳
〇壬申公孫嬰齊卒于貍脤	十一月無壬申日誤也貍脤闕貍力之切服市軫切
〇十有二月丁巳朔日有食之	無傳
○邾子貜且卒	無傳五同盟貜俱縳切徐居碧切且子餘切
〇晉殺其大夫郤錡郤犫郤至○楚人滅舒庸傳十七年春王正月鄭子駟侵晉虚滑	虚滑晉二邑滑故滑國爲秦所滅時屬晉後屬周虚起居切
衛北宫括救晉侵鄭至于髙氏	不書救以侵告髙氏在陽翟縣西南
夏五月鄭大子髠頑侯獳爲質於楚	侯獳鄭大夫髠苦門切獳乃侯切質音致
楚公子成公子寅戍鄭公㑹尹武公單襄公及諸侯伐鄭自戲童至于曲洧	今新汲縣治曲洧城臨洧水戲許冝切洧于軌切治直吏切
〇晉范文子反自鄢陵	前年鄢陵戰還
使其祝宗祈死	祝宗主祭祀祈禱者
曰君驕侈而克敵是天益其疾也難將作矣愛我者惟祝我使我速死無及於難范氏之福也六月戊辰士爕卒	傳言厲公無道故賢臣憂懼因禱自裁侈尺氏切又尸氏切難乃且切祝之又切
〇乙酉同盟于柯陵㝷戚之盟也	戚盟在十五年
〇楚子重救鄭師于首止諸侯還	畏楚強
〇齊慶克通于聲孟子與婦人蒙衣乗輦而入于閎	慶克慶封父蒙衣亦爲婦人服與婦人相冒閎巷門與如字徐音預閎音宏冒亡報切
鮑牽見之以告國武子	鮑牽鮑叔牙曽孫
武子召慶克而謂之慶克乆不岀	慙卧於家夫人所以怪之
而告夫人曰國子謫我	謫譴責也謫直軰切譴遣戰切
夫人怒國子相靈公以㑹	會伐鄭相息亮切下相施氏同
髙鮑處守	髙無咎鮑牽守手又切
及還將至閉門而索客	蒐索備姦人索所白切
孟子訴之曰髙鮑將不納君而立公子角國子知之	角頃公子頃音傾
秋七月壬寅刖鮑牽而逐髙無咎無咎奔莒髙弱以盧叛	弱無咎子盧髙氏邑刖音月又五刮切
齊人來召鮑國而立之	國牽之弟文子
初鮑國去鮑氏而來爲施孝叔臣施氏卜宰厈句須吉	卜立冡宰句其俱切
施氏之宰有百室之邑與厈句須邑使爲宰以讓鮑國而致邑焉施孝叔曰子實吉對曰能與忠良吉孰大焉鮑國相施氏忠故齊人取以爲鮑氏後仲尼曰鮑莊子之知不如葵葵猶能衛其足	葵傾葉向日以蔽其棍言鮑牽居亂不能危行言孫知音智向許亮切本又作嚮行下孟切
〇冬諸侯伐鄭	前夏未得志故
十月庚午圍鄭楚公子申救鄭師于汝上十一月諸侯還	不書圍畏楚救不成圍而還
○𥘉聲伯夢渉洹	洹水岀汲郡林慮縣東北至魏郡長樂縣入清水洹音桓一音恒今土俗音袁慮力於切樂音洛下平樂縣同
或與巳瓊瑰食之	瓊玉瑰珠也食珠玉含象瓊求營切瑰古回切含戸暗切本亦作唅
泣而爲瓊瑰盈其懷	淚下化爲珠玉滿其懷
從而歌之曰濟洹之水贈我以瓊瑰歸乎歸乎瓊瑰盈吾懷乎	從就也夢中爲此歌
懼不敢占也還自鄭壬申至于貍脤而占之曰余恐死故不敢占也今衆繁而從余三年矣無傷也言之之莫而卒	繁猶多也傳戒數占夢莫音暮數所角切
〇齊侯使崔杼爲大夫使慶克佐之帥師圍盧	討髙弱杼直吕切
國佐從諸侯圍鄭以難請而歸	請於諸侯難乃旦切下同
遂如盧師殺慶克以榖叛	疾克淫亂故殺之
齊侯與之盟于徐關而復之十二月盧降使國勝告難于晉待命于清	勝國佐子使以髙氏難告晉齊欲討國佐故留其子於外清陽平樂縣是爲明年殺國佐傳降下江切
〇晉厲公侈多外嬖	外嬖愛幸大去嬖必計切
反自鄢陵欲盡去羣大夫而立其左右	終如士爕言反自鄢一本作自鄢陵去起吕切
胥童以胥克之廢也怨郤氏	童胥克之子宣八年郤缺廢胥克
而嬖於厲公郤錡奪夷陽五田五亦嬖於厲公郤犫與長魚矯爭田執而梏之	梏械也矯居表切梏古毒切械戸戒切
與其父母妻子同一轅	繫之車轅
既矯亦嬖於厲公欒書怨郤至以其不從巳而敗楚師也欲廢之	鄢陵戰欒書欲固壘郤至言楚有六間以取勝也
使楚公子茷告公曰此戰也郤至實召寡君	鄢陵戰晉囚公子茷以歸
以東師之未至也	齊魯衛之師
與軍帥之不具也曰此必敗	荀罃佐下軍居守郤犫將新軍乞師故言不具帥所類切守手又切
吾因奉孫周以事君	孫周晉襄公曽孫悼公君楚王也
公告欒書書曰其有焉不然豈其死之不恤而受敵使乎	謂鄢陵戰時楚子問郤至以弓使所吏切
君盍甞使諸周而察之	甞試也盍戸臘切使所吏切又如字
郤至聘于周欒書使孫周見之公使覘之信	覘伺也覘勑廉切伺音司又絲嗣切
遂怨郤至厲公田與婦人先殺而飲酒後使大夫殺	傳言厲公無道先婦人而後卿佐
郤至奉豕	進之於公
寺人孟張奪之	寺人奄士
郤至射而殺之公曰季子欺余	季子郤至公反以爲郤至奪孟張豕射食亦切
厲公將作難胥童曰必先三郤族大多怨去大族不偪	不偪公室偪彼力切
敵多怨有庸	討多怨者易有功易以䜴切
公曰然郤氏聞之郤錡欲攻公曰雖死君必危郤至曰人所以立信知勇也信不叛君知不害民勇不作亂失兹三者其誰與我死而多怨將安用之	言俱死無用多其怨咎知音智
君實有臣而殺之其謂君何我之有罪吾死後矣若殺不辜將失其民欲安得乎	言不得安君位
待命而巳受君之禄是以聚黨有黨而爭命	爭死命
罪孰大焉	傳言郤至無反心
壬午胥童夷羊五帥甲八百將攻郤氏	八百人
長魚矯請無用衆公使清沸魋助之	佛魋亦嬖人沸甫味切魋徒回切
抽戈結祍	祍裳際祍而甚切徐音而鴆切
而僞訟者	僞與清沸魋訟
三郤將謀於榭	榭講武堂
矯以戈殺駒伯苦成叔於其位	位所坐處也駒伯郤錡苦成叔郤犫處昌慮切
温季曰逃威也遂趨	郤至本意欲禀君命而死今矯等不以君命而來故欲逃凶賊爲害故曰威言可畏也或曰威當爲藏
矯及諸其車以戈殺之皆尸諸朝	陳其尸於朝
胥童以甲劫欒書中行偃於朝矯曰不殺二子憂必及君公曰一朝而尸三卿余不忍益也對曰人將忍君	人謂書與偃一朝如字
臣聞亂在外爲姦在内爲軌御姦以德	德綏逺軌本又作宄音同御魚吕切下同
御軌以刑	刑治近
不施而殺不可謂德臣偪而不討不可謂刑德刑不立姦軌並至臣請行遂出奔狄	行去也施如字或式䜴切
公使辭於二子	辭謝書與偃
曰寡人有討於郤氏郤氏旣伏其辜矣大夫無辱其復職位	胥童劫而執之故云辱
皆再拜稽首曰君討有罪而免臣於死君之惠也二臣雖死敢忘君德乃皆歸公使胥童爲卿公遊于匠麗氏	匠麗嬖大夫家
欒書中行偃遂執公焉召士匄士匄辭	辭不往
召韓厥韓厥辭曰昔吾畜於趙氏孟姬之讒吾能違兵	畜養也違去也韓厥少爲趙盾所待養及孟姬之亂晉將討趙氏而厥去其兵示不與黨言此者明巳無所偏助孟姬亂在八年去起吕切少詩照切
古人有言曰殺老牛莫之敢尸而況君乎二三子不能事君焉用厥也	尸主也焉於䖍切
〇舒庸人以楚師之敗也	敗於鄢陵舒庸東夷國
道呉人圍巢伐駕圍釐虺	巢駕釐虺楚四邑道音導下及注同駕如字一音加釐力之切虺許鬼切
遂恃呉而不設備楚公子橐師襲舒庸滅之〇閏月乙卯晦欒書中行偃殺胥童	以其劫已故橐他洛切
民不與郤氏胥童道君爲亂故皆書曰晉殺其大夫	厲公以私欲殺三郤而三郤死不以無罪書書偃以家怨害胥童而胥童受國討文明郤氏失民胥童道亂冝其爲國戮
經十有八年春王正月晉殺其大夫胥童	傳在前年經在今春從告
〇庚申晉弑其君州蒲	不稱臣君無道
〇齊殺其大夫國佐	國武子
〇公如晉〇夏楚子鄭伯伐宋〇宋魚石復入于彭城	傳例曰以惡入也彭城宋邑今彭城縣復扶又切
〇公至自晉〇晉侯使士匄來聘〇秋𣏌伯來朝〇八月邾子來朝○築鹿囿	築牆爲鹿苑囿音又
○己丑公薨于路寢〇冬楚人鄭人侵宋	子重先遣輕軍侵宋故稱人而不言伐輕遣政切
〇晉侯使士魴來乞師	魴音房
○十有二月仲孫蔑㑹晉侯宋公衛侯邾子齊崔杼同盟于虚朾	虚朾地闕虚起居切朾他丁切
〇丁未葬我君成公傳十八年春王正月庚申晉欒書中行偃使程滑弑厲公	程滑晉大夫
葬之于翼東門之外以車一乗	言不以君禮葬諸侯葬車七乗乗繩證切
使荀罃士魴逆周子于京師而立之	悼公周
生十四年矣大夫逆于清原周子曰孤始願不及此雖及此豈非天乎	言有命
抑人之求君使岀命也立而不從將安用君二三子用我今日否亦今日共而從君神之所福也	傳言其少有才所以能自固少詩照切
對曰羣臣之願也敢不唯命是聽庚午盟而入	與諸大夫盟
館于伯子同氏	晉大夫家館舎也
辛巳朝于武宫	武公曲沃始命君
逐不臣者七人	夷羊五之屬
周子有兄而無慧不能辨菽麥故不可立	菽大豆也豆麥殊形易别故以爲癡者之候不慧蓋丗所謂白癡菽音叔易以豉切别彼列切癡勑疑切
〇齊爲慶氏之難	前年國佐殺慶克爲于僞切難乃旦切
故甲申晦齊侯使士華免以戈殺國佐于内宫之朝	華免齊大夫内宫夫人宫
師逃于夫人之宫	伏兵内宫恐不勝
書曰齊殺其大夫國佐棄命專殺以榖叛故也	國佐本疾淫亂殺慶克齊以是討之嫌其罪不及死故傳明言其三罪
使清人殺國勝	勝國佐子前年待命于清者
國弱來奔	弱勝之弟
王湫奔萊	湫國佐黨湫子小切徐子鳥切萊音來
慶封爲大夫慶佐爲司寇	封佐皆慶克子
旣齊侯反國弱使嗣國氏禮也	佐之罪不及不祀
○二月乙酉朔晉悼公即位于朝	朝廟五日而即位也厲公殺絶故悼公不以嗣子居喪殺音試
始命百官	始爲政
施舎巳責	施恩惠舎勞役止逋責施如字一音始䜴切逋布吳切
逮鰥寡	惠及微鰥古頑切
振廢滯	起舊德
厈乏困救災患	厈亦救也
禁淫慝薄賦斂宥罪戾	宥寛也慝他得切斂力驗切宥音又戾力計切
節器用	節省也省所景切下同
時用民	使民以時
欲無犯時	不縱私欲縦本亦作從子用切
使魏相士魴魏頡趙武爲卿	相魏錡子魴士㑹子頡魏顆子武趙朔子此四人其父祖皆有勞於晉國相息亮切頡戸結切顆苦果切
荀家荀㑹欒黶韓無忌爲公族大夫使訓卿之子弟共儉孝弟	無忌韓厥子弟音悌本亦作悌
使士渥濁爲大傅使脩范武子之法	渥濁士貞子武子爲景公大傅渥於角切
右行辛爲司空使脩士蔿之法	辛將右行因以爲氏士蔿獻公司空也行戸郎切蔿于委切將子匠切
弁糾御戎校正屬焉	弁糾欒糾也校正主馬官弁皮彦切本又作卞同糾居黝切校戸孝切
使訓諸御知義	戎士尚節義
荀賔爲右司士屬焉	司士車右之官
使訓勇力之士時使	勇力皆車右也勇力多不順命故訓之以共時之使共音恭本亦作供下文同
卿無共御立軍尉以攝之	省卿戎御令軍尉攝御而巳省所景切令力呈切
祁奚爲中軍尉羊舌職佐之魏絳爲司馬	魏犫子也
張老爲候奄鐸遏寇爲上軍尉籍偃爲之司馬	偃籍談父爲上軍司馬鐸待洛切遏於葛切徐音謁
使訓卒乗親以聽命	相親以聽上命卒子忽切乗繩證切下及注同
程鄭爲乗馬御六騶屬焉使訓羣騶知禮	程鄭荀氏别族乘焉御乘車之僕也六騶六閑之騶周禮諸侯有六閑馬乗車尚禮客故訓羣騶使知禮騶側留切
凡六官之長皆民譽也	大國三卿晉時置六卿爲軍帥故揔舉六官則知羣官無非其人長丁丈切帥所類切
舉不失職官不易方	官守其業無相踰易
爵不踰德	量德授爵
師不陵正旅不偪師	正軍將命卿也師二千五百人之帥也旅五百人之帥也言上下有禮不相陵偪
民無謗言所以復霸也	此以上通言悼公所行未必皆在即位之年復扶又切下及注復入皆同上時掌切
〇公如晉朝嗣君也○夏六月鄭伯侵宋及曹門外	曹門宋城門
遂㑹楚子伐宋取朝郟楚子辛鄭皇辰侵城郜取幽丘同伐彭城	朝郟城郜幽丘皆宋邑取朝如字郟古洽切郜古報切
納宋魚石向爲人鱗朱向帶魚府焉	五子以十五年出奔楚獨書魚石爲帥告
以三百乗戍之而還書曰復入	惡其衣阻大國以兵威還故書復入乗繩證切惡烏路切
凡去其國國逆而立之曰入	謂本無位紹繼而立
復其位曰復歸	亦國逆復音服又扶又切
諸侯納之曰歸	謂諸侯以言語告請而納之有位無位皆曰歸
以惡曰復入	謂身爲戎首稱兵入伐害國殄民者也此四條所以明外内之援辯逆順之辭通君臣取國有家之大例以惡曰復入或作以惡入曰復入
宋人患之西鉏吾曰何也	西鉏吾宋大夫鉏仕居切徐在居切吾音魚
若楚人與吾同惡以德於我吾固事之也不敢貳矣	惡謂魚石
大國無厭鄙我猶憾	言已事之則以我爲鄙邑猶恨不足此吾患也厭於鹽切憾戸暗切
不然而收吾憎使替其政	謂不同惡魚石而用之使佐政
以間吾釁亦吾患也今將崇諸侯之姦而披其地	崇長也謂楚今取彭城以封魚石披猶分也間如字又間厠之間釁許靳切披普彼切長丁丈切
以塞夷庚	夷庚呉晉往來之要道楚封魚石於彭城欲以絶呉晉之道
逞姦而攜服毒諸侯而懼呉晉	隔呉晉之道故懼攜離也
吾庸多矣非吾憂也且事晉何爲晉必恤之	言宋常事晉何爲顧有此患難難乃旦切
○公至自晉晉范宣子來聘且拜朝也	拜謝公朝
君子謂晉於是乎有禮	有卑讓之禮
○秋𣏌桓公來朝勞公且問晉故公以晉君語之	語其德政勞力報切語魚據切
𣏌伯於是驟朝于晉而請爲昏	爲平公不徹樂張本
○七月宋老佐華喜圍彭城老佐卒馬	言所以不克彭城
〇八月邾宣公來朝即位而來見也	見賢遍切
○築鹿囿書不時也	非土功時
〇已丑公薨于路寢言道也	在路寢得君薨之道
○冬十一月楚子重救彭城伐宋	使偏師與鄭人侵宋子重爲後鎭
宋華元如晉告急韓獻子爲政	於是欒書卒韓厥代將中軍
曰欲求得人必先勤之	勤恤其急
成霸安疆自宋始矣晉侯師于台谷以救宋	台谷地闕台勑才切一音臺
遇楚師于靡角之谷楚師還	畏晉強也龍角宋地
○晉士魴來乞師	將救宋
季文子問師數於臧武仲	武仲宜叔之子
對曰伐鄭之伇知伯實來下軍之佐也	知伯荀罃
今彘季亦佐下軍	彘季士魴彘直例切
如伐鄭可也	伐鄭在十七年
事大國無失班爵而加敬焉禮也從之	從武仲言
○十二月孟獻子㑹于虚朾謀救宋也宋人辭諸侯而請師以圍彭城	不敢煩諸侯故但請其師爲襄元年圍彭城傳
〇孟獻子請于諸侯而先歸㑹葬丁未葬我君成公書順也	薨于路寢五月而葬國家安靜丗適承嗣故曰書順也適丁歷切
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
十	_
三	_
