春秋公羊經傳解詁桓公第二何休學元年春王正月公即位繼弑君不言即位此其言即位何	据莊公不言即位〇繼弑申志反注皆同二年放此
曰猶甞乎	難曰四時之祭不可廢則無猶甞乎〇難乃旦反
御廩災不如勿甞而巳矣	當廢一時祭自責以奉天災也知不以不時者書本不當甞也
○冬十有二月丁巳齊侯禄父卒〇宋人以齊人衛人蔡人陳人伐鄭以者何行其意也	以己從人曰行言四國行宋意也宋前納突求賂突背恩伐宋故宋結四國伐之四國本不起兵當分别之故加以也宋恃四國乃伐鄭四國當與宋同罪非爲四國見輕重〇背音佩别彼列反見賢偏反
十有五年春二月天王使家父來求車何以書譏何譏爾王者無求求車非禮也	王者千里畿内租稅足以共費四方各以其職來貢足以尊榮當以至廉無爲率先天下不當求求則諸侯貪大夫鄙士庶盗竊求例時此月者桓行惡不能誅反從求之故獨月〇共費音恭下芳味反行下孟反下行惡同
○三月乙未天王崩	桓王也
〇夏四月巳巳葬齊僖公	當時而日者背殯伐鄭危之
○五月鄭伯突出奔蔡突何以名	据衛侯出奔楚不名不連爵問之者井問上巳名今復名故使文相顧○復扶又反下注故復及傳文復入井注下不復皆同
奪正也	明祭仲得出之故復於此名者其奪正不以失衆録也月者大國奔例月重乖離之禍小國例時
〇鄭丗子忽復歸于鄭其稱丗子何	据上出奔不稱丗子
復正也	欲言鄭忽則嫌其出奔還入與當國同文反更成上鄭忽爲當國故使稱丗子明復正以效祭仲之權亦所以解上非當國也
曷爲或言歸或言復歸復歸者出惡歸無惡復入者出無惡入有惡入者出入惡歸者出入無惡	皆於還入乃别之者入國犯命禍重也忽未成君出奔不應絶出惡者不如死之榮也入無惡者出不應絶則還入不應盗國○别彼列反
○許叔入于許	稱叔者春秋前失爵在字例也入者出入惡明當誅也不書出時者略小國
〇公㑹齊侯于鄗	〇鄗户老反又火各反左傳作艾榖梁作蒿
〇邾婁人牟人葛人來朝皆何以稱人	据言朝也
夷狄之也	桓公行惡而三人俱朝事之三人爲衆衆足責故夷狄之
〇秋九月鄭伯突入于櫟櫟者何鄭之邑曷爲不言入于鄭	据齊陽生立陳乞家言入于齊○櫟力狄反一音匹沃反
末言爾	末者淺也解不言入國意
曷爲末言爾	据俱篡也
祭仲亡矣	亡死亡也祭仲亡則鄭國易得故明入邑則忽危矣不須乃入國也所以效君必死國必亡矣〇易以䜴反
然則曷爲不言忽之出奔	据上言出奔也
言忽爲君之微也祭仲存則存矣祭仲亡則亡矣	言忽微弱甚於鴻毛僅若匹夫之出耳故不復録皆所以終祭仲之言解不虚設危險之嫌
〇冬十有一月公㑹齊侯宋公衛侯陳侯于侈伐鄭	月者善諸侯征突善録義兵也不舉伐爲重者用兵重於㑹嫌月爲桓伐有危舉不爲義兵録故復録㑹〇侈昌氏反二傳作袲爲桓于僞反下同
十有六年春正月公㑹宋公蔡侯衛侯于曹○夏四月公㑹宋公衛侯陳侯蔡侯伐鄭○秋七月公至自伐鄭	致者善桓公能疾惡同類比與諸侯行義兵伐鄭致例時此月者善其比與善行義故以致復加月也〇復扶又反
○冬城向	○向式亮反
〇十有一月衛侯朔出奔齊衛侯朔何以名	据衛侯出奔楚不名
絶曷爲絶之	据俱奔也
得罪于天子也其得罪于天子奈何見使守衛朔	朔十二月朔政事也月所以朝廟告朔是也
而不能使衛小衆	時天子使發小衆不能使行
越在岱隂齊	越猶走也岱岱宗泰山也山北曰隂先言岱隂後言齊者明名山大澤不以封諸侯以爲天地自然之利非人力所能加故當與百姓共之傳著朔在岱隂者明天子當及是時未能交連五國之兵早誅之
屬負兹舎不即罪爾	屬託也天子有疾稱不豫諸侯稱負兹大夫稱犬馬士稱負薪舎止也託疾止不就罪〇屬負兹音燭注同屬託也諸侯有疾稱負兹言朔託有疾
十有七年春正月丙辰公㑹齊侯紀侯盟于黃○二月丙午公及邾婁儀父盟于趡	本失爵在名例中朝相公稱人今此不名者蓋以爲儀父最先與隱公盟明元功之臣有誅而無絶〇趡翠癸反
〇五月丙午及齊師戰于奚	夏者陽也月者隂也去夏者明夫人不繫於公也此戰蓋由桓公曰同非吾子云爾〇去起吕反下同
○六月丁丑蔡侯封人卒〇秋八月蔡季自陳歸于蔡	稱字者蔡侯封人無子季次當立封人欲立獻舞而疾害季季辟之陳封人死歸反奔喪思慕三年卒無怨心故賢而字之出奔不書者方以起季奔喪歸故使若非出奔歸不稱弟者見季不受父兄之尊起宜爲天子大夫天子大夫不得與諸侯親通故魯季子紀季皆去其氏唯卒以恩録親季友叔肸卒是也
〇癸巳葬蔡桓侯	稱侯者亦奪臣子辭也有賢弟而不能任用反疾害之而立獻舞國幾井於蠻荆故賢季抑桓稱侯所以起其事〇幾音祁并必政反又如字
〇及宋人衛人伐邾婁〇冬十月朔日有食之	是後夫人譖公爲齊侯所誘殺去日者著桓行惡故深爲内懼其將見殺無日〇行下孟反爲于僞反
十有八年春王正月公㑹齊侯于濼	〇濼郎沃反又音洛說文云匹沃反
公夫人姜氏遂如齊公何以不言及夫人	据公及夫人㑹齊侯于陽榖
夫人外也	若言夫人巳爲公所絶外也
夫人外者何内辭也	内爲公諱辭〇爲于僞反
其實夫人外公也	時夫人淫於齊侯而譛公故太爾言遂者起夫人本與公出㑹齊侯于濼故得井言遂如齊不書夫人㑹書夫人遂者明遂在夫人齊侯誘公使遂如齊以夫人譖公故〇譖公側鴆反下同
〇夏四月丙子公薨于齊	不書齊誘殺公者深諱恥也地者在外爲大國所殺於國尤危國重故不暇隱也
丁酉公之喪至自齊	凡公薨外致日者危痛之外多窮厄伐喪内多乗便而起不可不戒愼加之者喪者死之通辭也本以別生死不以明貴賤非配公之稱故加之以絶〇便婢面反别彼列反稱尺證反
〇秋七月〇冬十有二月己丑葬我君桓公賊未討何以書葬	据隱公也
讎在外也讎在外則何以書葬	据俱讎也
君子辭也	時齊強魯弱不可立得報故君子量力且假使書葬於可復讎而不復乃責之諱與齊狩是也桓者謚禮生有爵死有謚所以勸善懲惡也禮諸侯薨天子謚之卿大夫受謚於君唯天子稱天以誄之蓋以爲祖祭乃謚丁酉公之喪至自齊丁巳葬我君定公雨不克葬戊午日下呉乃克葬是也以公配謚者終有臣子之辭上葬日者起生者之事也且明王者當遣使者與諸侯共㑹之加我君者録内也猶君薨地也〇懲直升反使所吏反
