大射儀第七儀禮鄭氏注大射之儀君有命戒射	將有祭祀之事當射宰告於君君乃命之言君有命政教冝由尊者
僕人師洗升實觶以授賔諸公卿大夫受觶于席以降適西階上北面立飮卒觶授執爵者反就席	雖尊亦西階上立飲不可以已尊枉正罰也授爵而不奠豐尊大夫也
若飮公則侍射者降洗角觶升酌散降拜	侍射賔也飲君則不敢以爲罰從致爵之禮也
公降一等小臣正辭賔升再拜稽首公荅再拜賔坐祭卒爵再拜稽首公荅再拜賔降洗象觶升酌膳以致下拜小臣正辭升再拜稽首公荅再拜公卒觶賔進受觶降洗散觶升實散下拜小臣正辭升再拜稽首公荅再拜	賔復酌自飲者夾爵也但如致爵則無以異於燕也夾爵亦所以耻公也所謂若飲君燕則夾爵
賔坐不祭卒觶降奠于篚階西東面立	不祭象射爵
擯者以命升賔賔升就席	擯者司正也今文席爲筵
若諸公卿大夫之耦不勝則亦執弛弓特升飮	此耦亦謂士也特猶獨也以尊與卑爲耦而又不勝使之獨飲若無倫匹孤賤也
衆皆繼飮射爵如三耦射爵辯乃徹豐與觶	徹除也
司宫尊侯于服不之東北兩獻酒東面南上皆加勺設洗于尊西北篚在南東肆實一散于篚	爲大侯獲者設尊也言尊侯者獲者之功由侯也不於初設之者不敢必君射也君不射則不獻大侯之獲者散爵名容五升
司馬正洗散遂實爵獻服不	言服不者著其官尊大侯也服不司馬之屬掌養猛獸而教擾之者洗酌皆西面
服不侯西北三歩北面拜受爵	近其所爲獻
司馬正西面拜送爵反位	不俟卒爵略賤也此終言之獻服不之徒乃反位
宰夫有司薦庶子設折俎	宰夫有司宰夫之吏也郷射記曰獲者之俎折脊脅肺
卒錯獲者適右个薦俎從之	不言服不言獲者國君大侯服不負侯其徒居之待獲變其文容二人也司馬正皆獻之薦俎巳錯乃適右个明此獻已已歸功於侯也適右个由侯内鄕射記曰東方謂之右个
獲者左執爵右祭薦俎二手祭酒	祭俎不奠爵不備禮也二手祭酒者獲者南面於俎北當爲侯祭於不也隷僕人巾車於服不之位受之功成於大侯也不言量人者此自後以及先可知
卒司馬師受虚爵奠于篚	獲者之篚
獲者皆執其薦庶子執俎從之設于乏少南	少南爲復射妨旌也隷僕人巾車量人自服不而南
服不復負侯而俟司射適階西去扑適堂西釋弓說決拾襲適洗洗觚升實之降獻釋獲者于其位少南	獻釋獲者與獲者異文武不同也去扑者扑不升堂也少南辟中
薦脯醢折俎皆有祭	俎與服不同唯祭一爲異
釋獲者薦右東面拜受爵司射北面拜送爵釋獲者就其薦坐左執爵右祭脯醢興取肺坐祭遂祭酒	祭俎不奠爵亦賤不備禮
興司射之西北面立卒爵不拜旣爵司射受虚爵奠于篚釋獲者少西辟薦反位	辟薦少西之者爲復射妨司射視筭亦辟俎也
司射適堂西袒決遂取弓挾一个適階西搢扑以反位	爲將復射
司射倚扑于階西適阼階下北面請射于公如初	不升堂賔諸公卿大夫旣射矣聞之可知
反搢扑適次命三耦皆袒決遂執弓序出取矢	曏言拾是言序互言耳
司射先反位	言先先三耦也司射旣命三耦以入次之事即反位三耦入次袒決遂執弓挾矢乃出反次外西面位曏不言司射先反位三耦未有次位無所先也
三耦拾取矢如初小射正作取矢如初	小射正司射之佐作取矢禮殺代之
三耦旣拾取矢諸公卿大夫皆降如初位與耦入於次皆袒決遂執弓皆進當楅進坐說矢束上射東面下射西面拾取矢如三耦	皆進當楅進三耦揖之位也凡継射命耦而巳不作射不作取矢從𥘉
若士與大夫爲耦士東面大夫西面大夫進坐說矢束退反位	說矢束自同於三耦謙也
耦揖進坐兼取乗矢興順羽且左還毋周反面揖	兼取乗矢不敢與大夫拾
大夫進坐亦兼取乗矢如其耦北面搢三挾一个揖進大夫與其耦皆適次釋弓說決拾襲反位諸公卿升就席	大夫反位諸公卿乃升就席大夫與已上下位
衆射者繼拾取矢皆如三耦遂入于次釋弓矢說決拾襲反位司射猶挾一个以作射如初一耦揖升如初司馬升命去侯負侯許諾司馬降釋弓反位司射與司馬交于階前倚扑于階西適阼階下北面請以樂于公公許	請奏樂以爲節也始射獲而未釋獲復釋獲復用樂行之君子之於事也始取苟能中課有功終用成法教化之漸也射用應樂爲難孔子曰射者何以聽循聲而發發而不失正鵠者其唯賢者乎
司射反搢扑東面命樂正曰命用樂	言君有命用樂射也樂正在工南北面
樂正曰諾司射遂適堂下北面視上射命曰不鼓不釋	不與鼓節相應不釋筭也鼓亦樂之節學記曰鼓無當於五聲五聲不得不和凡射之鼓節投壷其存者也周禮射節天子九諸侯七卿大夫以下五
上射揖司射退反位樂正命大師曰奏貍首間若一	樂正西面受命左還東面命大師以大射之樂章使奏之也貍首逸詩曾孫也貍之言不來也其詩有射詩侯首不朝者之言因以名篇後世失之謂之曾孫曽孫者其章頭也射義所載詩曰曾孫侯氏是也以爲諸侯射節者采其旣有弧矢之威又言小大莫處御於君所以燕以射則燕則譽有樂以時㑹君事之志也間若一者調其聲之䟽數重節
大師不興許諾樂正反位奏貍首以射三耦卒射賔待于物如初公樂作而后就物稍屬不以樂志其他如初儀	不以樂志君之射儀遲速從心其發不必應樂辟不敏也志意所儗度也春秋傳曰吾志其目
卒射如初賔就席諸公卿大夫衆射者皆繼射釋獲如初卒射降反位釋獲者執餘獲進告左右卒射如初司馬升命取矢負侯許諾司馬降釋弓反位小臣委矢司馬師乗之皆如初司射釋弓視筭如初釋獲者以賢獲與鈞告如初復位司射命設豐實觶如初遂命勝者執張弓不勝者執弛弓升飮如初卒退豐與觶如初司射猶袒決遂左執弓右執一个兼諸弦面鏃適次命拾取矢如初	側持弦矢曰執面猶尚也兼矢於弦尚鏃將止變於射也
司射反位三耦及諸公卿大夫衆射者皆袒決遂以拾取矢如初矢不挾兼諸弦面鏃退適次皆授有司弓矢襲反位	不挾亦謂執之如司射
卿大夫升就席司射適次釋弓說決拾去扑襲反位司馬正命退楅解綱小臣師退楅巾車量人解左下綱司馬師命獲者以旌與薦俎退	解猶釋也今文司馬師無司馬
司射命釋獲者退中與筭而俟	諸所退射器皆俟備君復射釋獲者亦退其薦俎
公又舉奠觶唯公所賜若賔若長以旅于西階上如初大夫卒受者以虚觶降奠于篚反位司馬正升自西階東楹之東北面告于公請徹俎公許	射事旣畢禮殺人倦冝徹俎燕坐
遂適西階上北面告于賔賔北面取俎以出諸公卿取俎如賔禮遂出授從者于門外	自其從者
大夫降復位	門東北面位
庻子正徹公俎降自阼階以東	降自阼階若親徹也以東去藏
賔諸公卿皆人門東面北上	諸公卿不入門而右以將燕亦因從賔
司正升賔賔諸公卿大夫皆說屨升就席公以賔及卿大夫皆坐乃安	曏命以我安臣於君尚猶踧踖至此乃敢安
羞庻羞	羞進也庻衆也所進衆羞謂􁌄肝膋狗胾醢也或有炮鼈膾鯉雉兎鶉鴽
大夫祭薦	燕乃祭薦不敢於盛成禮
司正升受命皆命公曰衆無不醉賔及諸公卿大夫皆興對曰諾敢不醉皆反位坐	皆命者命賔命諸公命卿大夫皆郷其位也興對必降席敬也司正退立西序端
主人洗酌獻士于西階上士長升拜受觶主人拜送	獻士用觶士賤也今文觶作觚
士坐祭立飮不拜旣爵其他不拜坐祭立飮	其他謂衆士也升不拜受爵
乃薦司正與射人于觶南北面東上司正爲上	司正射人士也以齒受獻旣乃薦之也司正大射正也射人小射正略其佐
辯獻士士旣獻者立于東方西面北上乃薦士	士旣獻易位者以卿大夫在堂臣位尊東也畢獻薦之略賤
祝史小臣師亦就其位而薦之	亦者亦士也辯獻乃薦也祝史門東北面東上
主人就士旅食之尊而獻之旅食不拜受爵坐祭立飮	主人旣酌西面士旅食北面受之不洗者於賤略之
主人執虚爵奠于篚復位賔降洗升媵觶于公酌散下拜公降一等小臣正辭賔升再拜稽首公荅再拜	賔受公賜多矣禮將終冝勸公序厚意也今文觶爲觚公荅拜無再拜
賔坐祭卒爵再拜稽首公荅再拜賔降洗象觚升酌膳坐奠于薦南降拜小臣正辭賔升成拜公荅拜賔反位	反位反席也此觚當爲觶
公坐取賔所媵觚興唯公所賜受者如初受酬之禮降更爵洗升酌膳下再拜稽首小臣正辭升成拜公荅拜乃就席坐行之	坐行之若今坐相勸酒
有執爵者	士有盥升主酌授之
唯受于公者拜	公所賜者拜其餘則否
司正命執爵者爵辯卒受者興以酬士	欲令惠均
大夫卒受者以爵興西階上酬士士升大夫奠爵拜士荅拜	興酬士者立堂下與上坐者異也
大夫立卒爵不拜實之士拜受大夫拜送士旅于西階上辯	祝史小臣師旅食皆及焉
士旅酌	旅序也士以次自酌相酬無執爵者
若命曰復射則不獻庶子	獻庻子則正禮畢後無事
司射命射唯欲	司射命賔及諸公卿大夫射欲者則射不欲者則止可否之事從人心也
卿大夫皆降再拜稽首公荅拜	拜君樂與臣下執事無巳不言賔賔從羣臣禮在上
壹發中三侯皆獲	其功一也而和者益多尚歡樂也矢揚觸或有參中者
主人洗升自西階獻庶子于阼階上如獻士之禮辯獻降洗遂獻左右正與内小臣皆於阼階上如獻庶子之禮	庶子旣掌正六牲之體又正舞位授舞器與膳宰樂正聯事又掌國子戒令敎治世子之官也左右正謂樂正僕人正也位在中庭之左右小樂正在頌磬之北右也工在西即北面工遷於東則東面大樂正在笙磬之北左也工在西則西面工遷於東則北面僕人正相大師工升堂與其師士降立於小樂正之北北上工遷於東則陪其工後國君無故不釋縣二正君之近官也内小臣奄人掌君隂事隂令后夫人之官也獻三官於阼階别内外臣也同獻更洗以時事不聮也獻正下及内小臣則磬人鍾人鑮人鼓人僕人師僕人士盡獻可知也庶子内小臣位在小臣師之東少退西上
無筭爵	筭數也爵行無次數唯意所勸醉而止
士也有執膳爵者有執散爵者執膳爵者酌以進公公不拜受執散爵者酌以之公命所賜所賜者興受爵降席下奠爵再拜稽首公荅再拜	席下席西
受賜爵者以爵就席坐公卒爵然後飮	酬之禮爵代舉今爵並行嫌不代也並行猶代者明勸惠從尊者來
執膳爵者受公爵酌反奠之	燕之歡在飲酒成其意也
受賜者興授執散爵者執散爵者乃酌行之	與其所勸者
唯受于公者拜卒爵者興以酬士于西階上士升大夫不拜乃飮實爵	乃猶而也
士不拜受爵大夫就席士旅酌亦如之公有命徹幂則賔及諸公卿大夫皆降西階下北面東上再拜稽首	命徹幂者公意殷勤欲盡酒
公命小臣正辭公荅拜大夫皆辟升反位	升不成拜於將醉正臣禮
士終旅於上如初	卿大夫降而爵止於其反席卒之
無筭樂	升歌間合無次數唯意所樂
宵則庶子執燭於阼階上司宫執獨於西階上甸人執大燭於庭閽人爲獨於門外	宵夜也燭燋也甸人掌共薪蒸者庭大燭爲其位廣也爲作也作燭俟賔出
賔醉北面坐取其薦脯以降	取脯重得君之賜
奏陔	陔夏樂章也其歌頌類也以鍾鼓奏之其篇今亡
賔所執脯以賜鍾人于門内􁆤遂出	必賜鍾人鍾人以鍾鼔奏陔夏賜之脯明雖醉志禮不忘樂
卿大夫皆出	從賔出
公不送	臣也與之安燕交歡嫌元禮也
公入驁	驁夏亦樂章也以鍾鼓奏之其詩今亡此公出而言入者射宫在郊以將還爲入燕不驁者於路寢無出入也
