莊子內篇齊物論第二	夫自是而非彼美巳而惡人物莫不皆然然故是非雖異而彼我均也○論力頓反李如字惡烏路反
夫子以爲孟浪之言而我以爲妙道之行也吾子以爲奚若長梧子曰是黃帝之所聽熒也而丘也何足以知之且女亦大早計見⬤而求時夜見彈而求鴞炙	夫物有自然理有至極循而直往則⬤然自合非所言也故言之者孟浪而聞之者聽熒雖復黃帝猶不能使萬物無懷而聽熒至竟故聖人付當於塵垢之外而玄合乎視聽之表照之以天而不逆計放之自爾而不推明也今瞿鵲子方聞孟浪之言而便以爲妙道之行斯亦無異見⬤而責司晨之功見彈而求鴞炙之實也夫不能安時處順而探變求化當生而慮死執是以辯非皆逆計之徒也○孟如字徐武黨反或武葬反浪如字徐力蕩反向云孟浪音漫瀾無所趣舎之謂李云猶較畧也崔云不精要之貌行如字又下孟反黃帝本又作黃帝聽勑定反熒音瑩磨之瑩本亦作瑩於拘反向司馬云聽熒疑惑也李云不光明貌崔云小明不大了也向崔本作榮女音汝下同大音太徐李勑佐反注同時夜崔云時夜司夜謂雞也彈徒旦反鴞于驕反司馬云小鳩可炙毛詩草木䟽云大如班鳩緑色其肉甚美復扶又反下皆同下章注亦凖此
予嘗爲女妄言之	言之則孟浪也故試妄言之○爲于僞反
女以妄聽之奚	若正聽妄言復爲大早計也故亦妄聽之何
旁日月挾宇宙	以死生爲晝夜旁日月之喻也以萬物爲一體挾宇宙之譬也○旁薄葬反徐扶葬反司馬云依也崔本作謗挾戸牒反崔本作扶宇宙治救反尸子云天地四方曰宇往古來今曰宙⬤文云舟輿所極覆曰宙
爲其䐇合置其滑涽以⬤相尊	以有所賤故尊卑生焉而滑涽紛亂莫之能正各自是於一方矣故爲䐇然自合之道莫若置之勿言委之自爾也䐇然無⬤際之謂也○䐇本或作郭音泯徐武軫反李載枌反無波際之貌司馬云合也向音脣云若⬤脣之相合也滑徐古没反亂也向本作汨音同崔戸八反云栝口木也涽徐音昏向云泪昏未定之謂崔本作緍武巾反云繩也
衆人役役	馳騖於是非之境也
聖人愚芚	芚然無知而直往之貌○芚徐徒奔反郭治本反司馬云渾屯不分察也崔云厚貌也或云束也李丑倫反
參萬歲而一成純	純者不雜者也夫舉萬歲而參其變而衆人謂之雜矣故役役然勞形⬤心而去彼就此唯大聖無執故芚然直往而與變化爲一一變化而常遊於獨者也故雖參糅億載千殊萬異道行之而成則古今一成也物謂之而然則萬物一然也
#SB1_0534-096.png#pagemissing之⬤艾封人之子也晉國之始得之也涕泣沾⬤及其至於王所與王同筐牀食芻豢而後悔其泣也	一生之內情變若此當此之日則不知彼况夫死生之變惡能相知哉○至於王所崔云六國時諸侯僣稱王因此謂獻公爲王也筐本亦作匡徐起狂反牀徐音床司馬云筐牀安牀也崔云筐方也一云正牀也
予惡乎知夫死者不悔其始之蘄生乎	蘄求也○蘄音祈
夢飮酒者旦而哭泣夢哭泣者旦而田獵	此寤寐之事變也事苟變情亦異則死生之願不得同矣故生時樂生則死時樂死矣死生雖異其於各得所
#SB1_0534-098.png#pagemissing	惡烏路反
丘也與女皆夢也	未能忘言而神解故非大覺也○解音蟹下同
予謂女夢亦夢也	即復夢中之占夢也夫是以爲夢猶未寤也況竊竊然自以爲覺哉
是其言也其名爲弔詭	夫非常之談故非常人之所知故謂之弔當卓詭而不識其懸解○弔如字音的至也詭九委反異也
萬世之後而一遇大聖知其解者是旦暮遇之也	言能蛻然無係而玄同死生者至希也○解音蟹徐戶解反蛻音帨又始銳反
旣使我與若辯矣若勝我我不若勝若果是也我果非也邪我勝若若不吾勝我果是也而果非也邪	若而皆汝也
其或是也其或非也邪其倶是也其倶非也邪我與若不能相知也則人固受其黮闇吾誰使正之	不知而後推不見而後辯辯之而不足以自信以其與物對也辯對終日黮闇至竟莫能正之故當付之自正耳○黮闇貪闇反李云黮闇不明貌
使同乎若者正之旣與若同矣惡能正之使同乎我者正之旣同乎我矣惡能正之	同故是之未足信也○惡音烏下皆同
使異乎我與若者正之旣異乎我與若矣惡能正之	異故相非耳亦不足據
使同乎我與若者正之旣同乎我與若矣惡能正之	是若果是則天下不得復有非之者也非若信非則亦無缘復有是之者也今是其所同而非其所異異同旣具而是非無主故夫是非者生於好辯而休乎天均付之兩行而息乎自正也
然則我與若與人俱不能相知也而待彼也邪	各自正耳待彼不足以正此則天下莫能相正也故付之自正而至矣
何謂和之以天倪	天倪者自然之分也○和如字崔胡臥反天倪李音崔徐音詣郭音五底反李云分也崔云或作霓音同際也班固曰天研
曰是不是然不然是若果是也則是之異乎不是也亦無辯然若果然也則然之異乎不然也亦無辯	是非然否彼我更對故無辨無辨故和之以天倪安其自然之分而巳不待彼以正此
化聲之相待若其不相待	是非之辯爲化聲夫化聲之相待俱不足以相正故若不相待也
和之以天倪因之以曼⬤所以窮年也	和之以自然之分任其無極之化尋斯以往則是非之境自泯而性命之致自窮也○曼徐音萬郭武半反⬤徐以戰反司馬云曼⬤無極也
忘年忘義振於無竟故寓諸無竟	夫忘年故玄同死生忘義故彌貫是非是非死生蕩而爲一斯至理也至理暢於無極故⬤之者不得有窮也○振如字崔云止也又之忍反竟如字極也崔作境
罔兩問景曰曩子行今子止曩子坐今子起何其無特操與	罔兩景外之微隂也○罔兩向云景之景也崔本作罔浪云有無之狀景映永反又如字本或作影俗也⬤徐乃蕩反李云曏者也無特本或作持崔云特辭也向云無特者行止無常也與音餘
景曰吾有待而然者邪	言天機自爾坐起無待無待而獨得者孰知其故而貴其所以哉
吾所待又有待而然者邪	若責其所待而尋其所由則尋責無極卒至於無待而獨化之理明矣
吾待蛇蚹蜩翼邪	若待蛇蚹蜩翼則無持操之所由未爲難識也今所以不識正由不待斯⬤而獨化故耳○蛇蚹音附徐又音敷司馬云謂蛇腹下齟齬可以行者也齟音士女反齬音魚女反蜩音條
惡識所以然惡識所以不然	世或謂罔兩待景景待形形待造物者請問夫造物者有邪無邪無也則胡能造物哉有也則不足以物衆形故明乎衆形之自物而後始可與言造物耳是以渉有物之域雖復罔兩未有不獨化於玄冥者也故造化者無主而物各自造物各自造而無所待焉此天地之正也故彼我相因形景俱生雖復玄合而非待也明斯理也將使萬物各反所宗於體中而不待乎外外無所謝而內無所矜是以誘然皆生而不知所以生同焉皆得而不知所以得也今罔兩之因景猶云俱生而非待也則萬物雖聚而共成乎天而皆歷然莫不獨見矣故罔兩非景之所制而景非形之所使形非無之所化也則化與不化然與不然從人之與由已莫不自爾吾安識其所以哉故任而不⬤則本末內外暢然俱得泯然無迹若乃責此近因而忘其自爾宗物於外䘮主於內而愛尚生矣雖欲推而齊之然其所尚巳存乎胷中何夷之得有哉○䘮息浪反
昔者莊周夢爲胡蝶栩栩然胡蝶也自喻適志與	自快得意恱豫而行○胡蝶徐徒協反司馬崔云蛺蝶也栩栩徐况羽反喜貌崔本作師喻李云喻快也與音餘下同崔云與哉
不知周也	方其夢爲胡蝶而不知周則與殊死不異也然所在無不適志則當生而係生者必當死而戀死矣由此觀之知夫在生而哀死者誤也
俄然覺則蘧蘧然周也	自周而言故稱覺耳未必非夢也○覺古孝反蘧蘧徐音渠又其慮反李云有形貌崔作據據引大宗師云據然覺
不知周之夢爲胡蝶與胡蝶之夢爲周與	今之不知胡蝶無異於夢之不知周也而各適一時之忘則無以明胡蝶之不夢爲周矣世有假寐而夢經百年者則無以明今之百年非假寐之夢者也
周與胡蝶則必有分矣	夫覺夢之分無異於死生之辯也今所以自喻適志由其分定非由無分也
此之謂物化	夫時不暫棹而今不遂存故昨日之夢於今化矣死生之變豈異於此而勞心於其間哉方爲此則不知彼夢爲胡蝶是也取之於人則一生之中今不
#SB1_0534-107.png#pagemissing#SB1_0538-184.png莊子札記辛壬間滬市出宋刻莊子卷末有二行云安仁趙諌議宅一樣口子	様字下一字為人挖去續墨客揮犀七木饅頭大中祥符年一樣造五十隻以此例之挖去者必為數目字矣趙氏所刻蓋不止莊子
⬤⬤殷敬竟鏡匡徵讓完構遘等字皆為字不成知是南宋重開北宋本所見莊子要以此為古矣引陸氏釋文頗略大抵錄音不錄義如逍遥遊祗云逍音消遥音摇北宋人刻古書音義輒附卷後不應莊子音義散入注下疑南宋人所為趙氏原刻不爾也趙本每葉十八行行十五字注倍之予既借校於世德堂本上又手摹一葉與繆藝風先生今刻入書影者是也後見雍正中沈寳硯校本一樣下亦闕一字蓋所見即此本矣叢刋中以世徳堂本影印復錄趙本異同如左壬戌十月留菴居士孫毓修南華真經序河南郭象字子⬤撰	一葉四行
無	无下同十六行
芒	茫二葉二行
源流深長	源深流長七行
士	壬八行
彷彿	仿佛
南華真經卷第一莊子内篇逍遥遊第一郭象注	下接注文一葉四行注
各	名二葉八行注
足自	自足十三行注
天地	池亦訛地
槍	搶亦作槍三葉四行注
而圖南矣	無矣字五行注
逝	近四葉三行
學	鷽六葉十六行
泰山	大山八葉二行
竟	境九葉九行注
王	至十葉三行注
出乎無為也	無也字五行注
由之	之由十二行注
汎	訛況十一葉八行注
天	之十四葉三行注
辟	避五行糠十五葉六行
瓠	瓠下同
莊子内篇齊物論第二郭象注	十八葉四行注
而嗒焉解體	無解字九行注
寂寞	寂漠十行注
一也	無也字
其于無心而自得	無心自得十一行注
二也	無也字五行
女	汝下同十九葉一行注
音	有二十葉三行注
衆	異二十一葉六行注
明	服二十二葉十五行注
自	其二十三葉五行
注百	自六行注
有若	若有十五行注
自	目
說	恱下同二十四葉十六行注
逐	遂二十五葉一行
薾	⬤二十九葉十三行注
各可	無各字三十葉十二行
莫	暮三十一葉十一行注
我	此三十三葉九行注
遣	俱作遺十一行注
寄	嘗十二行注
池	訛地三十五葉六行注
忘	亡八行注
自辯辨已	二字互異三十八葉九行注
言之耳無	耳字十五行注
故試問女	無故字三十九葉四行
且	蛆注
略舉四者以明美惡之无主	無略舉以之四字四十葉八行
沍	冱四十一葉七行
熒	⬤十二行注
夫不能	無夫字四十二葉七行
䐇	脗注同九行注
⬤	波十五行注
去	失四十三葉七行注
不知	下有所謂二字八行注
而惡	下無之字十六行注
其於各得	無於字四十四葉五行注
大患	夫患四十七葉五行注
主	至四十八葉七行
棹	停
