春秋經傳集解昭四第二十三杜氏盡十七年經十有三年春叔弓帥師圍費	不書南蒯以費叛不以告廟費音秘
女司典之後也何故忘之籍談不能對賔出王曰籍父其無後乎數典而忘其祖	忘祖業女音汝數色主切
籍談歸以告叔向叔向曰王其不終乎吾聞之所樂必卒焉今王樂憂若卒以憂不可謂終王一歳而有三年之喪二焉	天子絶期唯服三年故后雖期通謂之三年喪樂音洛期居其切
於是乎以喪賔宴又求彝器樂憂甚矣且非禮也彞器之來嘉功之由非由喪也三年之喪雖貴遂服禮也	天子諸侯除喪當在卒哭今王旣葬而除故譏其不遂
王雖弗遂宴樂以早亦非禮也	言今雖不能遂服猶當静嘿而便宴樂又失禮也嘿亡北切本或作黙同
禮王之大經也一動而失二禮無大經矣	失二禮謂旣不遂服又設宴樂
言以考典	考成也
典以志經忘經而多言舉典將焉用之	爲二十二年王室亂傳
經十有六年春齊侯伐徐〇楚子誘戎蠻子殺之	誘音酉
〇夏公至自晉○秋八月已亥晉侯夷卒	未同盟
〇九月大雩	雩音于
〇季孫意如如晉〇冬十月葬晉昭公	三月而葬速
傳十六年春王正月公在晉晉人止公不書諱之也	猶以取郠故也公爲晉人所執止故諱不書
○齊侯伐徐楚子聞蠻氏之亂也與蠻子之無質也	質信也質之實切或音致
使然丹誘戎蠻子嘉殺之遂取蠻氏旣而復立其子焉禮也	詐之非也立其子禮也河南新城縣東南有蠻城復扶又切
〇二月丙申齊師至于蒲隧	蒲隧徐地下邳取慮縣東有蒲如陂取音秋慮力居切如淳取音陬訾之陬慮音邾婁之婁
徐人行成徐子及郯人莒人會齊侯盟于蒲隧賂以甲父之鼎	甲父古國名髙平昌邑縣東南有甲父亭徐人得甲父鼎以賂齊父音甫郯音談
叔孫昭子曰諸侯之無伯害哉	爲小國害
齊君之無道也興師而伐逺方會之有成而還莫之亢也	無亢禦亢苦浪切
無伯也夫詩曰宗周旣滅靡所止戾正大夫離居莫之我肄	詩小雅戾定也肄勞也言周舊爲天下宗今乃衰滅亂無息定執政大夫離居異心無有念民勞者
其是之謂乎	傳言晉之衰
○三月晉韓起聘于鄭鄭伯享之子産戒之曰苟有位於朝無有不共恪孔張後至立於客間	孔張子孔之孫
執政禦之	執政掌位列者禦止也
適客後又禦之適縣間	縣樂肆縣音玄
客從而笑之事畢富子諫	富子鄭大夫諫子産也
曰夫大國之人不可不愼也幾爲之笑而不陵我	言數見笑則心陵侮我幾居豈切服音機數音朔
我皆有禮夫猶鄙我	鄙賤也夫音扶
國而無禮何以求榮孔張失位吾子之恥也子産怒曰發命之不衷	衷當也衷丁仲切又音忠當丁浪切或如字
出令之不信刑之頗類	縁事類以成偏頗頗普何切類如字又力對切徐又力猥切
獄之放紛	放縱也紛亂也紛芳云切縱子用切
會朝之不敬	謂國無禮敬之心
使命之不聽	下不從上命
取陵於大國罷民而無功罪及而弗知僑之恥也孔張君之昆孫子孔之後也	昆兄也子孔鄭襄公兄孔張之祖父罷音皮
執政之嗣也	子孔甞執鄭國之政
爲嗣大夫承命以使周於諸侯國人所尊諸侯所知立於朝而祀於家	卿得自立廟於家使所吏切下以使同
有禄於國	受禄邑
有賦於軍	軍出卿賦百乗乗繩證切
喪祭有職	有所主
受服歸服	受脤謂君祭以肉賜大夫歸脤謂大夫祭歸肉於公皆社之戎祭也脤市軫切
其祭在廟已有著位在位數丗丗守其業而忘其所僑焉得恥之	其祭在廟謂助君祭數色主切焉於䖍切下焉用同
辟邪之人而皆及執政是先王無刑罰也	言爲過謬者自應用刑罰辟匹亦切邪似嗟切
子寧以他規我	規正也
宣子有環其一在鄭商	玉環同工共朴自共爲雙朴普角切
宣子謁諸鄭伯	謁請也
子産弗與曰非官府之守器也寡君不知子大叔子羽謂子産曰韓子亦無幾求	言所求少守手又切幾居豈切
晉國亦未可以貳晉國韓子不可偷也	偷薄也偷他侯切
若屬有䜛人交鬪其間鬼神而助之以興其凶怒悔之何及吾子何愛於一環其以取憎於大國也盍求而與之子産曰吾非偷晉而有二心將終事之是以弗與忠信故也僑聞君子非無賄之難立而無令名之患僑聞爲國非不能事大字小之難無禮以定其位之患夫大國之人令於小國而皆獲其求將何以給之一共一否爲罪滋大	滋益也屬音燭盍戸臘切難乃旦切又如字共音恭下共無同
大國之求無禮以斥之何饜之有吾且爲鄙邑則失位矣	不復成國饜於鹽切復扶又切下敢復同
若韓子奉命以使而求玉焉貪淫甚矣獨非罪乎出一玉以起二罪吾又失位韓子成貪將焉用之且吾以玉賈罪不亦銳乎	銳細小也賈音古下彊賈同銳恱歳切
韓子買諸賈人旣成賈矣商人曰必告君大夫韓子請諸子産曰日起請夫環執政弗義弗敢復也	復重求也賈音嫁本或作價夫音扶重直用切
今買請商人商人曰必以聞敢以爲請子産對曰昔我先君桓公與商人皆出自周	鄭本在周畿内桓公東遷并與商人俱
庸次比耦	庸用也用次更相從耦耕比毗志切更音庚
以艾殺此地斬之蓬蒿藜藋而共處之世有盟誓以相信也曰爾無我叛我無彊賈	無彊市其物艾魚廢切蓬蒲東切蒿呼髙切藜力兮切藋徒弔切彊其丈切下彊奪同又其良切注倣此
母或匄奪爾有利市寳賄我勿與知恃此質誓故能相保以至于今吾子以好來辱而謂敝邑彊奪商人是敎敝邑背盟誓也母乃不可乎吾子得玉而失諸侯必不爲也若大國令而共無藝	藝法也毋音無匄古害切又姑末切乞也賄呼罪切或作貨與音預好呼報切背音佩
鄭鄙邑也亦弗爲也	不欲爲鄙邑之事
僑若獻玉不知所成敢私布之	布陳也
韓子辭玉曰起不敏敢求玉以徼二罪敢辭之	傳言子産知禮宣子能改過徼古堯切
夏四月鄭六卿餞宣子於郊	餞送行飲酒餞賤淺切字林子扇切
宣子曰二三君子請皆賦起亦以知鄭志	詩言志也
子齹賦野有蔓草	子齹子皮之子嬰齊也野有蔓草詩鄭風取其邂逅相遇道我願兮齹才何切字林才可切又士知切說文作云齒差跌也在河千多二切蔓音萬邂戸賣切逅戸豆切
宣子曰孺子善哉吾有望矣	君子相願已所望也孺如住切
子産賦鄭之羔裘	言鄭别於唐羔裘也取其彼已之子舎命不渝邦之彦兮以美韓子别彼列切巳音記舎音赦又音捨渝羊朱切
宣子曰起不堪也	不堪國之司直
子大叔賦褰裳	褰裳詩曰子惠思我褰裳渉溱子不我思豈無他人言宣子思己將有褰裳之志如不我思亦豈無他人褰起䖍切溱側巾切
宣子曰起在此敢勤子至於他人乎	言己今崇好在此不復令子適他人復扶又切今力呈切
子大叔拜	謝宣子之有鄭
宣子曰善哉子之言是	是褰裳
不有是事其能終乎	韓起不欲令鄭求他人子大叔拜以荅之所以晉鄭終菩
子游賦風雨	子游駟帶之子駟偃也風雨詩取其旣見君子云胡不夷
子旗賦有女同車	子旗公孫叚之子豐施也有女同車取其詢美且都愛樂宣子之志樂音洛又五孝切
子柳賦蘀兮	子柳印叚之子印癸也蘀兮詩取其倡子和女言宣子倡己將和從之蘀他洛切印一刄切倡昌亮切本或作唱同和戸卧切女音汝
宣子喜曰鄭其庶乎	庶幾於興盛
二三君子以君命貺起賦不出鄭志	六詩皆鄭風故曰不出鄭志貺音况
皆昵燕好也	昵親也賦不出其國以示親好昵女乙切
二三君子數丗之主也可以無懼矣宣子皆獻馬焉而賦我將	我將詩頌取其日靖四方我其夙夜畏天之威言志在靖亂畏懼天威數色主切
子産拜使五卿皆拜曰吾子靖亂敢不拜德宣子私覲於子産以玉與馬曰子命起舎夫玉是賜我玉而免吾死也敢不藉手以拜	以玉馬藉手拜謝子産覲其靳切舎音捨夫音扶藉在夜切
〇公至自晉	晉人聽公得歸
子服昭伯語季平子	昭伯惠伯之子子服回也隨公從晉還語魚據切
曰晉之公室其將遂卑矣君幼弱六卿彊而奢傲將因是以習習實爲常能無卑乎平子曰爾幼惡識國	昭伯尚少平子不信其言傲五報切惡烏路切少詩照切
〇秋八月晉昭公卒	爲下平子如晉葬起
〇九月大雩旱也〇鄭大旱使屠擊祝款竪柎有事於桑山	三子鄭大夫有事祭也屠音徒柎音附又方于切
斬其木不雨子産曰有事於山蓺山林也	蓺養護令繁殖蓺音藝令力呈切
而斬其木其罪大矣奪之官邑〇冬十月季平子如晉葬昭公平子曰子服囬之言猶信	自往見之乃信囬言
子服氏有子哉	有賢子也
經十有七年春小邾子來朝〇夏六月甲成朔日有食之〇秋郯子來朝〇八月晉荀呉帥師滅陸渾之戎	渾戸門切
〇冬有星孛于大辰	大辰房心尾也妖變非常故書孛音佩一音勃
〇楚人及呉戰于長岸	呉楚兩敗莫肯告負故但書戰而不書敗也長岸楚地岸五旦切
傳十七年春小邾穆公來朝公與之燕季平子賊采叔	采叔詩小雅取其君子來朝何錫與之以穆公喻君子
穆公賦菁菁者莪	菁菁者義亦詩小雅取其旣見君子樂且有儀以荅采叔菁子丁切莪五何切樂音洛
昭子曰不有以國其能乆乎	嘉其能荅賦言其賢故能乆有國
〇夏六月甲戎朔日有食之祝史請所用幣	禮正陽之月日食當用幣於社故請之
昭子曰日有食之天子不舉	不舉盛饌饌仕飬切
伐鼓於社	貴羣隂
諸侯用幣於社	請上公
伐鼓於朝	退自責
禮也平子禦之	禦禁也
曰止也唯正月朔慝未作日有食之於是乎有伐鼔用幣禮也其餘則否太史曰在此月也	正月謂建巳正陽之月也於周爲六月於夏爲四月慝隂氣也四月純陽用事隂氣未動而侵陽災重故有伐鼔用幣之禮也平子以爲六月非正月故大史荅言在此月也正音政慝他得切夏戸雅切下當夏同
日過分而未至	過春分而未夏至
三辰有災	三辰日月星也日月相侵又犯是宿故三辰皆爲災宿音秀
於是乎百官降物	降物素服
君不舉辟移時	辟正寢過日食時
樂奏鼔	伐鼔
祝用幣	用幣於社
史用辭	用辭以自責
故夏書曰辰不集干房	逸書也集安也房舎也日月不安其舎則食
瞽奏鼔	瞽樂師瞽音古
嗇夫馳庶人走	車馬曰馳歩曰走爲救日食備也嗇音色
此月朔之謂也當夏四月是謂孟夏	言此六月當夏家之四月
平子弗從昭子退曰夫子將有異志不君君矣	安君之災故曰有異志
〇秋郯子來朝公與之宴昭子問焉曰少皥氏鳥名官何故也	少皡金天氏黃帝之子巳姓之祖也問何故以鳥名官少詩照切皡胡老切己音紀又音祀
郯子曰吾祖也我知之昔者黄帝氏以雲紀故爲雲師而雲名	黃帝軒轅氏姬姓之在也黃帝受命有雲瑞故以雲紀事百官師長皆以雲爲名號縉雲氏蓋其一官也長丁丈切縉音進
炎帝氏以火紀故爲火師而火名	炎帝神農氏姜姓之祖也亦有火瑞以火紀事名百官
共工氏以水紀故爲水師而水名	共工以諸侯霸有九州者在神農前大皥後亦受水瑞以水名官共音恭大音泰下大皡同
大皥氏以龍紀故爲龍師而龍名	大皡伏犧氏風姓之祖也有龍瑞故以龍命官
我髙祖少皥摯之立也鳯鳥適至故紀於鳥爲鳥師而鳥名鳯鳥氏歷正也	鳯鳥知天時故以名歷正之官摯音至
玄鳥氏司分者也	玄鳥燕也以春分來秋分去燕於見切
伯趙氏司至者也	伯趙伯勞也以夏至鳴冬至止
青鳥氏司啓者也	青鳥鶬鷃也以立春鳴立夏止鶬音倉鷃亦作鴳於諫切
丹鳥氏司閉者也	舟鳥鷩雉也以立秋來立冬去入大水爲蜃上四鳥皆歷正之屬官鷩必滅切蜃市軫切
祝鳩氏司徒也	祝鳩鷦鳩也鷦鳩孝故爲司徒主敎民鷦音焦本又作焦子遙切又子堯切
鴡鳩氏司馬也	鴡鳩王鴡也鷙而有别故爲司馬主法制鴡本又作睢七徐切鷙音至本亦作摯下同别彼别切
鳲鳩氏司空也	鳴鳩鴶鵴也鳴鳩平均故爲司空平水土鴶本亦作秸簡八切又音吉鵴本亦作鞠居六切
爽鳩氏司宼也	爽鳩鷹也鷙故爲司寇主盗賊爽所丈切
鶻鳩氏司事也	鶻鳩鶻鵰也春來冬去故爲司事鵰陟交切又陟留切又音彫
五鳩鳩民者也	鳩聚也治民上聚故以鳩爲名
五雉爲五工正	五雉雉有五種西方曰鷷雉東方曰鶅雉南方曰翟雉北方曰鵗雉伊洛之南曰翬雉種章勇切鷷音存又音遵本或作蹲鶅側其切翟音狄又音濁鵗本又作希如字又丁里切翬許韋切
利器用正度量夷民者也	夷平也量音亮
九扈爲九農正	扈有九種也春扈鳻鶞夏扈竊玄秋扈竊藍冬扈竊黃棘扈竊丹行扈唶唶宵扈嘖嘖桑扈竊脂老扈鷃鷃以九扈爲九農之號各隨其宜以敎民事扈音戸鳻扶云切又如字鶞勑倫切唶側百切又子夜切又助額切嘖音責又音賾
扈民無淫者也	扈止也止民使不淫放
自顓頊以來不能紀逺乃紀於近爲民師而命以民事則不能故也	顓頊氏代少皡者德不能致逺瑞而以民事命官顓音專頊許玉切
仲尼聞之見於郯子而學之	於是仲尼年二十八
旣而告人曰吾聞之天子失官學在四夷猶信	失官官不脩其職也傳言聖人無常師
〇晉侯使屠蒯如周請有事於雒與三塗	屠蒯晉侯之膳宰也以忠諌見進雒雒水也三塗山名在陸渾南蒯苦怪切雒音洛
萇弘謂劉子曰客容猛非祭也其伐戎乎陸渾氏甚睦於楚必是故也君其備之乃警戎備	警戒以備戎也欲因晉以合勢警音景
九月丁卯晉荀呉帥師涉自棘津	河津名
使祭史先用牲于雒陸渾人弗知師從之庚午遂滅陸渾數之以其貳於楚也陸渾子奔楚其衆奔甘鹿	甘鹿周地
周大獲	先警戎備故獲
宣子夢文公攜荀呉而授之陸渾故使穆子帥師獻俘于文宫	欲以應夢俘芳夫切應應對之應
〇冬有星孛于大辰西及漢	夏之八月辰星見在天漢西今孛星岀辰西光芒東及天漢夏戸雅切見賢遍切
申須日彗所以除舊布新也	申須魯大夫彗似銳切又息遂切
天事恒象	天道恒以象類告示人
今除於火火出必布焉諸侯其有火災乎	今火向伏故如當須火出乃布散爲災向許亮切又作嚮
梓愼曰往年吾見之是其徴也	徵始有形象而微也
火出而見	前年火出時見賢遍切下同
今兹火出而章必火入而伏	隨火没也
其居火也乆矣	歷三年
其與不然乎	言必然也與如字又音預
火岀於夏爲三月	謂昏見
於商爲四月於周爲五月夏數得天	得天正
若火作其四國當之在宋衛陳鄭乎宋大辰之虚也	大辰大火宋分野虚起居切分扶問切
陳大皥之虚也	大皥居陳木火所自岀
鄭祝融之虚也	祝融髙辛氏之火正居鄭
皆火房也	房舎也
星孛及漢漢水祥也	天漢水也
衛顓頊之虚也故爲帝丘	衛今濮陽縣昔帝顓頊居之其城内有顓頊冢濮音卜
其星爲大水	衛星營室營室水也
水火之牡也	牡雄也牡茂后切
其以丙子若壬午作乎水火所以合也	丙午火壬子水水火合而相薄水少而火多故水不勝火薄本又作搏音博
若火入而伏必以壬午	尙未知今孛星當復隨火星俱伏不故言若復扶又切
不過其見之月	火見周之五月
鄭禆竈言於子産曰宋衛陳鄭將同日火若我用瓘斝玉瓉鄭必不火	瓘珪也斝玉爵也瓉勺也欲以禳火禆婢支切瓘古亂切斝古雅切瓉才旦切勺上若切禳本亦作攘如字
子産弗與	以爲天災流行非禳所息故也爲明年宋衛陳鄭災傳
○呉伐楚陽匄爲令尹卜戰不吉	陽匄穆王曾孫令尹子瑕匄古害切
司馬子魚曰我得上流何故不吉	子魚公子魴也順江而下易用勝敵舫音房易以䜴切
且楚故司馬令龜我請改卜令曰魴也以其屬死之楚師繼之尚大克之吉	得吉兆
戰于長岸子魚先死楚師繼之大敗呉師獲其乘舟餘皇	餘皇舟名乗如字又繩證切下同
使隨人與後至者守之環而塹之及泉	環周也環如字又音患塹七豔切
盈其隧炭陳以待命	隧出入道隧音遂炭吐旦切
呉公子光	光諸樊子闔廬闔户臘切廬力居切
請於其衆曰喪先王之乗舟豈唯光之罪衆亦有焉請藉取之以救死	藉衆之力以取舟喪息浪切
衆許之使長鬣者三人	長鬣多髭鬚與呉人異形狀詐爲楚人鬣力輒切髭子斯切鬚音須
潜伏於舟側曰我呼餘皇則對師夜從之	師呉師也呼呼路切又如字
三呼皆迭對	迭更也迭待結切又音弟更音庚
楚人從而殺之楚師亂呉人大敗之取餘皇以歸	傳言呉光有謀
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
二	_
十	_
三	_
