春秋經傳集解定上第二十七	定公名宋襄公之子昭公之弟謚法安民大慮曰定
○夏季桓子如晉獻鄭俘也	獻此春取匡之俘俘芳夫切
陽虎彊使孟懿子往報夫人之幣	虎欲困辱三桓并求媚於晉故彊使正卿報晉夫人之聘彊其丈切下同
晉人兼享之	賤魯故不復兩設禮明經所以不備書復扶又切
孟孫立于房外謂范獻子曰陽虎若不能居魯而息肩於晉所不以爲中軍司馬者有如先君	稱先君以徴其言若欲使晉必厚待之
獻子曰寡君有官將使其人	擇得其人
鞅何知焉獻子謂簡子曰魯人患陽虎矣孟孫知其釁以爲必適晉故彊爲之請以取入焉	欲令晉人聞虎當逃走故彊設請託之辭因此言以入晉令晉素知之釁許靳切爲于僞切令力呈切
○四月已丑呉大子終纍敗楚舟師	終纍闔廬子夫差兄舟師水戰纍力追切又力軌切夫音扶差初佳切
獲潘子臣小惟子	二子楚舟師之帥惟位悲切本又作惟亦如字
及大夫七人楚國大惕懼亡子期又以陵師敗于繁揚	陵師陸軍惕他歷切
令尹子西喜曰乃今可爲矣	言知懼而後可治
於是乎遷郢於鄀而改紀其政以定楚國	傳言楚賴子西以安鄀音若
○周儋翩率王子朝之徒因鄭人將以作亂于周	儋翩子朝餘黨
鄭於是乎伐馮滑胥靡負黍狐人闕外	鄭伐周六邑在魯伐鄭取厈前於此見者爲戍周起也陽起縣西南有負黍亭見賢遍切下見濕同爲于僞切下同
六月晉閻没戍周且城胥靡	爲下天王出居姑蕕起
○秋八月宋樂祁言於景公曰諸侯唯我事晉今使不往晉其憾矣樂祁告其宰陳寅	以與公言告之使所之切憾戸暗切
陳寅曰必使子往他日公謂樂祁曰唯寡人說子之言子必往陳寅曰子立後而行吾室亦不亡	寅知晉政多門往必有難故使樂祁立後而行說音恱難乃旦切下同
唯君亦以我爲知難而行也見溷而行	溷樂祁子也見於君立以爲後溷侯温切又侯困切
趙簡子逆而飲之酒於緜上獻楊楯六十於簡子	楊木名楯食允切又音允
陳寅曰昔吾王范氏今子主趙氏又有納焉以楊楯賈禍弗可爲也巳	知范氏必怨將得禍賈音古
然子死晉國子孫必得志於宋	以其爲國死爲于僞切下同
范獻子言於晉侯曰以君命越疆而使未致使而私飲酒不敬二君不可不討也乃執樂祁	獻子怒祁比趙氏經所以稱行人疆居良切使所吏切比毗志切
○陽虎又盟公及三桓於周社盟國人于亳社詛于五父之衢	傳言三桓微陪臣專政爲八年陽虎作亂起亳歩各切詛側慮切父音甫衢其俱切
○冬十二月天王處于姑蕕	姑蕕周地蕕音由又由舊切
辟儋翩之亂也	爲明年單劉逆王起單音善
經七年春王正月○夏四月○秋齊侯鄭伯盟于鹹	衛地鹹音咸
○齊人執衛行人北宫結以侵衛	稱行人非使人之罪使所吏切
○齊侯衛侯盟于沙	結叛晉也陽平元城縣東南有沙亭沙如字又星和切
○大雩	無傳過也
○齊國夏帥師伐我西鄙	夏國佐孫
○九月大雩	無傳過也
○冬十月傳七年春二月周儋翩入于儀栗以叛	儀栗周邑
○齊人歸鄆陽關陽虎居之以爲政	鄆陽關皆魯邑中貳於齊齊今歸之不書虎專之中丁仲切
○夏四月單武公	穆公子
劉桓公	文公子
敗尹氏于窮谷	尹氏復黨儋翩共爲亂也復扶又切
○秋齊侯鄭伯盟于鹹徴㑹于衛	徴召也
衛侯欲叛晉	屬齊鄭也
諸大夫不可使北宫結如齊而私於齊侯曰執結以侵我	欲以齊師懼諸大夫
齊侯從之乃盟于瑣	瑣即沙也爲明年渉沱捘衛侯手起瑣素果切佗徒河切捘子對切
○齊國夏伐我	齊叛晉故
陽虎御季桓子公斂處父御孟懿子	處父孟氏家臣成宰公斂陽斂力檢切又音廉或音慮點切
將宵軍齊師齊師聞之墮伏而待之	墮毀其軍以誘敵而設伏兵墮許規切
處父曰虎不圖禍而必死	而女也女音汝下同
苫夷曰虎陷二子於難	苫夷季氏家臣二子季孟苫始占切難乃旦切
不待有司余必殺女虎懼乃還不敗	傳言陪臣彊能自相制季孟不敢有心
○冬十一月戊午單子劉子逆王于慶氏	慶氏守姑蕕大夫
晉籍秦送王巳巳王入于王城	己巳十二月五日有日無月
館于公族黨氏	黨氏周大夫黨音掌
而後朝于莊宫	莊王廟也
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
二	_
十	_
七	_
