春秋經傳集解襄元第十四	陸云襄公名午成公子母定以謚法因事有功曰襄辟土有德曰襄
衡而委蛇必折	衡橫也橫不順道必毁折爲十四年林父逐君起本
〇楚子囊圍陳㑹于鄬以救之	晉會諸侯
○鄭僖公之爲大子也於成之十六年	魯成公
與子罕適晉不禮焉又與子豐適楚亦不禮焉	子豐穆公子
及其元年朝于晉	鄭僖元年魯襄三年
子豐欲愬諸晉而廢之子罕止之及將㑹于鄬子駟相又不禮焉侍者諫不聽又諫殺之及鄵子駟使賊夜弑僖公而以瘧疾赴于諸侯	傳言經所以不書弑
簡公生五年奉而立之	僖公子
○陳人患楚	楚圍陳故
慶虎慶寅謂楚人曰吾使公子黃往而執之	二慶陳執政大夫公子黄哀公弟
楚人從之	爲執黃爲于僞切
二慶使告陳侯于㑹	鄬之㑹
曰楚人執公子黃矣君若不來羣臣不忍社稷宗廟懼有二圖	背君屬楚背音佩
陳侯逃歸	鄬㑹所以不書救
經八年春王正月公如晉○夏葬鄭僖公	無傳
○鄭人侵蔡獲蔡公子爕	鄭子國稱人刺其無故侵蔡以生國患爕蔡莊公子爕悉恊切
○季孫宿㑹晉侯鄭伯齊人宋人衛人邾人于邢丘	時公在晉晉悼難勞諸侯唯使大夫聽命故季孫在㑹而公先歸邢音刑難乃旦切
〇公至自晉	無傳
○莒人伐我東鄙〇秋九月大雩〇冬楚公子貞帥師伐鄭○晉侯使士匄來聘傳八年春公如晉朝且聽朝聘之數	晉悼復脩霸業故朝而禀其多少復扶又切霸本亦作伯音霸又如字
○鄭羣公子以僖公之死也謀子駟子駟先之夏四月庚辰殺子狐子熈子侯子丁	辟罪也加罪以戮之先悉簏切又如字辟婢亦切熙許其切徐音怡
孫擊孫惡出奔衛	二孫子狐之子
〇庚寅鄭子國子耳侵蔡獲蔡司馬公子爕	鄭侵蔡欲以求媚於晉子耳子良之子不言敗唯以獲告
鄭人皆喜唯子産不順	子産子國子不順衆而喜
曰小國無文德而有武功禍莫大焉楚人來討能勿從乎從之晉師必至晉楚伐鄭自今鄭國不四五年弗得寧矣子國怒之曰爾何知國有大命而有正卿童子言焉將爲戮矣	大命起師行軍之命
○五月日辰㑹于邢丘以命朝聘之數使諸侯之大夫聽命季孫宿齊髙厚宋向戍衛寗殖邾大夫㑹之	晉難重煩諸侯故使犬夫聽命
鄭伯獻捷于㑹故親聽命	獻蔡捷也
大夫不書尊晉侯也	晉悼復文襄之業制朝聘之節儉而有禮德義可尊故退諸侯大夫以崇之
〇莒人伐我東鄙以疆鄫田	莒旣滅鄫魯侵其西界故伐魯東鄙以正其封疆疆居良切
〇秋九月大雩旱也〇冬楚子囊伐鄭討其侵蔡也子駟子國子耳欲從楚子孔子蟜子展欲待晉	待晉來救子孔穆公子子蟜子游子子展子罕子蟜居表切
子駟曰周詩有之曰俟河之清人壽幾何	逸詩也言人壽促而河清遲喻晉之不可待夀音授或如字幾居豈切
兆云詢多職競作羅	兆卜詢謀也職主也言旣卜且謀多則競作羅綱之難無成功難乃旦切
謀之多族民之多違	族家也
事滋無成	滋益也
民急矣姑從楚以紓吾民晉師至吾又從之敬共幣帛以待來者小國之道也犧牲玉帛待於二竟	二竟晉楚界上紓音舒共音恭竟音境注同
以待疆者而庇民焉寇不爲害民不罷病不亦可乎子展曰小所以事大信也小國無信兵亂日至亡無日矣五㑹之信	謂三年㑹雞澤五年㑹戚又㑹城棣七年㑹鄬八年㑹邢丘庇必利切又音秘罷音皮
今將背之雖楚救我將安用之	言失信得楚不足貴背音佩
親我無成	晉親鄭
鄙我是欲	楚欲以鄭爲鄙邑而反欲與成
不可從也	言子駟不可從
不如待晉晉君方明四軍無闕八卿和睦必不棄鄭	四軍謂上中下新軍也軍有二卿
楚師遼逺糧食將盡必將速歸何患焉舎之聞之	舎之子展名
杖莫如信完守以老楚杖信以待晉不亦可乎子駟曰詩云謀夫孔多是用不集	詩小雅孔甚也集就也言人欲爲政是非相亂而不成杖直亮切守手又切或如字下守官同
發言盈庭誰敢執其咎	言謀者多若有下善無適受其咎咎其九切適丁歷切
如匪行邁謀是用不得于道	匪彼也行邁謀謀於路人也不得于道衆無適從
請從楚騑也受其咎	騑子駟名騑芳非切
乃及楚平使王子伯騑告于晉	伯騑晉大夫騑扶賢切又扶經切
曰君命敝邑脩而車賦儆而師徒以討亂略蔡人不從敝邑之人不敢寧處悉索敝賦	索盡也儆居領切索悉各切又所百切
以討于蔡獲司馬爕獻于邢丘今楚來討曰女何故稱兵于蔡	稱舉也女音汝
焚我郊保	郭外曰郊保守也
馮陵我城郭	馮迫也馮皮冰切
敝邑之衆夫婦男女不皇啓處以相救也	皇暇也啓跪也跪其委切
翦焉傾覆無所控告	翦盡也控引也覆芳服切控苦貢切
民死亡者非其父兄即其子弟夫人愁痛	夫人猶人人也夫音扶
不知所庇民知窮困而受盟于楚孤也與其二三臣不能禁止	孤鄭伯
不敢不告知武子使行人子貟對之曰君有楚命	見討之命
亦不使一个行李告于寡君	一个獨使也行李行人也个古賀切使所吏切
而即安于楚君之所欲也誰敢違君寡君將帥諸侯以見于城下唯君圖之	爲明年晉伐鄭傳見賢遍切或如字
○晉范宣子來聘且拜公之辱	謝公此春朝
告將用師子鄭公享之宣子賦摽有梅	摽有梅詩召南摽落也梅盛極則落詩人以興女色盛則有衰衆士求之冝及其時宣子欲魯及時共討鄭取其汲汲相赴摽徐扶妙切又扶表切興許譍切
季武子曰誰敢哉	言誰敢不從命
今譬於草木寡君在君君之臭味也	言同類譬本亦作辟音譬後放此
歡以承命何時之有	遟速無時
武子賦角弓	角弓詩小雅取其兄弟婚姻無相逺矣
賔將出武子賦彤弓	彤弓天子賜有功諸侯之詩欲使晉君繼文之業復受彤弓於王彤徒冬切復扶又切
宣子曰城濮之役	在僖二十八年濮音卜
我先君文公獻功于衡雍受彤弓于襄王以爲子孫藏	藏之以示子孫雍於用切藏如字徐才浪切
匄也先君守官之嗣也敢不承命	言巳嗣其父祖爲先君守官不敢廢命欲厈晉君
君子以爲知禮	彤弓之義義在晉君故范匄受之所謂知禮
經九年春宋災	天火曰災來告故書
〇夏季孫宿如晉〇五月辛酉夫人姜氏薨	成公母
○秋八月癸未葬我小君穆姜	無傳四月而葬速
〇冬公㑹晉侯宋公衛侯曹伯莒子邾子滕子薛伯𣏌伯小邾子齊丗子光伐鄭○十有二月已亥同盟于戲	伐鄭而書同盟則鄭受盟可知傳言十一月已亥以長曆推之十二月無已亥經誤戲鄭地戲許冝切
〇楚子伐鄭傳九年春宋災樂喜爲司城以爲政	樂喜子罕也爲政卿知將有火災素戒爲備火之政
使伯氏司里	伯氏宋大夫司里司宰
火所未至徹小屋塗大屋	大屋難徹就塗之
陳畚挶具綆缶	畚簣籠挶土轝綆汲索缶汲器畚音本草器也挶几録切綆古杏切缶方九切簣其位切籠力東切轝音預汲音急索悉各切
備水器	盆􁐤之屬􁐤户暫切
量輕重	計人力所任任音壬
蓄水潦積土塗巡文城繕守備	巡行也文度也繕治也行度守備之處恐因災作亂蓄本又作畜勑六切潦音老守手又切行下孟切度待洛切處昌慮切
表火道	火起則從其所趣摽表之摽必遥切
使華臣具正徒	華臣華元子爲司徒正徒役徒也司徒之所主也
令隧正納郊保奔火所	隧正官名也五縣爲隧納聚郊野保守之民使隨火所起往救之隧音遂
使華閱討右官官庀其司	亦華元子代元爲右師討治也庀具也使具其官屬閱音恱庀芳婢切
向戍討左亦如之	向戍左師
使樂遄庀刑器亦如之	樂遄司寇刑器刑書遄市專切
使皇鄖命校正出馬工正出車備甲兵庀武守	皇鄖皇父充石之後校正主馬工正主車使各備其官鄖音云本亦作貟音同校戸敎切岀如字徐尺遂切守手又切
使西鉏吾庀府守	鉏吾大宰也府六官之典吾音魚
令司宫卷伯儆宫	司宫奄臣巷伯寺人皆掌宫内之事儆音景
二師令四郷正敬享	二師左右師也郷正郷大夫享祀也
祝宗用馬于四墉祀盤庚于西門之外	祝大祝宗宗人墉城也用馬祭于四城以禳火盤庚殷王宋之逺祖城積隂之氣故祀之凡天災有幣無牲用馬祀盤庚皆非禮墉本又作庸音同盤字亦作般歩干切禳如羊切
晉侯問於士弱	弱士渥濁之子莊子渥於角切
曰吾聞之宋災於是乎知有天道何故	問宋何故自知天道將災
對曰古之火正或食於心或食於咮以出内火是故咮爲鶉火心爲大火	謂火正之官配食於火星建辰之月鶉火星昏在南方則令民放火建戊之月大火星伏在日下夜不得見則令民内火禁放火咮竹又切徐丁遘切岀如字徐尺遂切内如字徐音納鶉音純見如字又賢遍切
陶唐氏之火正閼伯居商丘	陶唐堯有天下號閼伯髙辛氏之子傳曰遷閼伯於商丘主辰辰大火也今爲宋星然則商丘在宋地閼於葛切
祀大火而火紀時焉	謂出内火時
相土因之故商主大火	相土契孫商之祖也始代閱伯之後居商丘祀大火相息亮切契息列切
商人閱其禍敗之釁必始於火是以日知其有天道也	閱猶數也商人數所更歷恒多火災宋是殷商之後故知天道之災必火釁許靳切數所主切更音庚
公曰可必乎對曰在道國亂無象不可知也	言國無道則災變亦殊故不可必知
〇夏季武子如晉報宣子之聘也	宣子聘在八年
○穆姜薨於東宫	太子宫也穆姜淫僑如欲廢成公故徙居東宫事在成十六年
始往而筮之遇艮之八䷳	艮下艮上周禮大小掌三易然則雜用連山歸藏周易二易皆以七八爲占故言遇艮之八艮古恨切
史曰是謂艮之隨䷬	震下兊上隨史疑古易遇八爲不利故更以周易占變爻得隨卦而論之
隨其出也	史謂隨非閉固之卦
君必速出姜曰亡	亡猶無也亡如字讀者或音無
是於周易曰隨元亨利貞無咎	易筮皆以變者占遇一爻變義異則論彖故姜亦以彖爲占也史據周易故指言周易以折之亨許庚切彖吐亂切折之設切
元體之長也亨嘉之㑹也利義之和也貞事之幹也體仁足以長人嘉德足以合禮利物足以和義貞固足以幹事然故不可誣也是以雖隨無咎	言不誣四德乃遇隨無咎明無四德者則爲淫而相隨非吉事長丁丈切嘉德易作嘉㑹
今我婦人而與於亂固在下位	婦人卑於大夫與音預
而有不仁不可謂元不靖國家不可謂亨作而害身不可謂利棄位而姣	姣淫之别名姣戸交切徐音如字服氏同嵇叔夜音效
不可謂貞有四德者隨而無咎我皆無之豈隨也哉我則取惡能無咎乎必死於此弗得出矣	傳言穆姜辯而不德
○秦景公使士雃乞師于楚將以伐晉楚子許之子囊曰不可當今吾不能與晉爭晉君類能而使之	隨所能雃苦田切
舉不失選	得所選選息戀切
官不易方	方猶冝也
其卿讓於善	讓勝巳者
其大夫不失守	各任其職
其士競於敎	奉上命
其庶人力於農穡	種曰農收曰穡
商工皂隷不知遷業	四民不雜
韓厥老矣知罃禀焉以爲政	代將中軍
范匄少於中行偃而上之使佐中軍	使匄佐中軍偃將上軍少詩照切行戸郎切
韓起少於欒黶而欒黶士魴上之使佐上軍	黶魴讓起起佐上軍黶將下軍魴佐之黶於斬切
魏絳多功以趙武爲賢而爲之佐	武新軍將將子匠切
君明臣忠上讓下競	尊官相讓勞職力競
當是時也晉不可敵事之而後可君其圖之王曰吾旣許之矣雖不及晉必將出師秋楚子師于武城以爲秦援秦人侵晉晉饑弗能報也	爲十年晉伐秦傳饑音飢又音機
〇冬十月諸侯伐鄭	鄭從楚也
庚午季武子齊崔杼宋皇鄖從荀罃士匄門于鄟門	鄭城門也三國從中軍鄟音專本亦作專
衛北宫括曹人邾人從荀偃韓起門于師之梁	師之梁亦鄭城門三國從上軍
滕人薛人從欒黶士魴門于北門	二軍從下軍
𣏌人郳人從趙武魏絳斬行栗	二國從新軍行栗表道樹行栗如字
甲戍師于汜	衆軍還聚氾氾鄭地東汜汜音凡
令於諸侯曰脩器備	兵器戰備
盛餱糧	餱乾食盛音成餱音侯
歸老幼	示將乆師
居疾于虎牢	諸侯巳取鄭虎牢故使諸軍疾病息其中
肆眚圍鄭	肆緩也眚過也不書圍鄭逆服不成圍眚生領切徐所幸切
鄭人恐乃行成	與晉成也恐丘勇切
中行獻子曰遂圍之以待楚人之救也而與之戰不然無成	獻子荀偃也恐楚救鄭鄭復屬之復扶又切
知武子曰許之盟而還師以敝楚人	敝罷也罷音皮
吾三分四軍	分四軍爲三部
與諸侯之銳以逆來者	來者楚也
於我未病楚不能矣	晉各一動而楚三來故曰不能
猶愈於戰	勝聚戰
暴骨以逞不可以爭	言爭當以謀不可以暴骨暴蒲卜切徐扶沃切爭爭鬪之爭又如字
大勞未艾君子勞心小人勞力先王之制也	女息也言當從勞心之勞艾魚廢切又五蓋切
諸侯皆不欲戰乃許鄭成十一月已亥同盟于戲鄭服也	鄭服故言同盟
將盟鄭六卿公子騑	子駟
公子發	子國
公子嘉	子孔
公子輒	子耳
公孫蠆	子蟜蠆勑邁切
公孫舎之	子展
及其大夫門子皆從鄭伯	門子卿之適子從才用切適丁歷切
晉士莊子爲載書	莊子士弱載書盟書
曰自今日旣盟之後鄭國而不唯晉命是聽而或有異志者有如此盟	如違盟之罰
公子騑趨進曰天禍鄭國使介居二大國之間	介猶間也介音界間間厠之間又如字
大國不加德音而亂以要之	謂以兵亂之力強要鄭要一遥切強其丈切
使其鬼神不獲歆其禋祀其民人不獲享其土利夫婦辛苦墊隘無所厎告	墊隘猶委頓厎至也歆許今切墊丁念切隘於懈切厎音旨
自今日旣盟之後鄭國而不唯有禮與彊可以庇民者是從而敢有異志者亦如之	亦如此盟庇必利切
荀偃曰改載書	子駟亦以所言載於䇿故欲改之
公孫舎之曰昭大神要言焉	要誓以告神
若可改也大國亦可叛也知武子謂獻子曰我實不德而要人以盟豈禮也哉非禮何以主盟姑盟而退脩德息師而來終必獲鄭何必今日我之不德民將棄我豈唯鄭若能休和逺人將至何恃於鄭乃盟而還	遂兩用載書休許蚪切
晉人不得志於鄭以諸侯復伐之十二月癸亥門其三門	三門鄟門師之梁北門也癸亥月五日晉果三分其軍各攻一門復扶又切
閏月戊寅濟于隂阪侵鄭	以長歷參校上下此年不得有閏月戊寅戊寅是十二月二十日疑閏月當爲門五日五字上與門合爲閏則後學者自然轉日爲月晉人三番四軍更攻鄭門門各五日晉各一攻鄭三受敵欲以苦之癸亥去戊寅十六日以癸亥始攻攻輒五日凡十五日鄭故不服而去明日戊寅濟于隂阪復侵鄭外邑隂阪有津閏月依注讀爲門五日阪音反又扶板反畨芳元反更音庚復扶又反洧于軌反
次于陰口而還	陰口鄭地名
子孔曰晉師可擊也師老而勞且有歸志必大克之子展曰不可	傳言子展能守信
公送晉侯晉侯以公宴于河上上問公年季武子對曰㑹于沙隨之歲寡君以生	沙隨在成十六年
晉侯曰十二年矣是謂一終一星終也	歲星十二歲而一周天
國君十五而生子冠而生子礼也	冠成人之服故必冠而後生子冠古乱反注下皆同重句礼也詳見隱公元年
君可以冠矣大夫盍爲冠具武子曰君冠必以祼享之礼行之	祼謂灌鬯酒也享祭先君也盍户臘反祼古乱反灌古亂反鬯勑亮反
以金石之樂節之	以鐘磬爲舉動之節
以先君之祧處之	諸侯以始祖之廟爲祧祧他彫反
今寡君在行未可具也請及兄弟之國而假備焉晉侯曰諾公還及衛冠于成公之廟	成公今衛獻公之曽祖從衛所處
假鐘磬焉礼也〇楚人伐鄭	與晋成故
子駟將及楚平子孔子蟜曰與大國盟口血未乾而背之可乎子駟子展曰吾盟固云唯彊是從今楚師至晉不我救則楚彊矣盟誓之言豈敢背之且要盟无質神弗臨也	質主也
所臨唯信信者言之瑞也	瑞符也
善之主也是故臨之	神臨之
明神不蠲要盟	蠲絜也
背之可也乃及楚平公子罷戎入盟同盟于中分	中分鄭城中里名罷戎楚大夫罷音皮徐音彼中分並如字徐丁仲反重言乃及楚平三文公九年襄公九年
楚莊夫人卒	共王母
王未能定鄭而歸〇晉侯歸謀所以息民魏絳請施舎	施恩惠舎勞役
輸積聚以貸	輸盡也積子賜反下同聚才住反貸他代反
自公以下茍有積者盡出之國無滯積	散在民
亦無困人	不匱乏
公無禁利	与民共
亦無貪民	礼譲行
所以幣更	不用牲
賔以特牲	務崇省省所景反
器用不作	因仍舊
車服從給	足給事也
行之期年國乃有節三駕而楚不能與爭	三駕三興師謂十年師于牛首十一年師於向其秋觀兵於鄭東門自是鄭遂服期音基本亦作朞向舒亮反
纂	_
圖	_
互	_
注	_
春	_
秋	_
經	_
傳	_
集	_
觧	_
襄	_
元	_
第	_
十	_
四	_
