春秋經傳集解襄三第十六杜氏盡二十二年經十有六年春王正月葬晉悼公	踰月而葬速也
聞之乗馹而見宣子曰詩曰惠我無疆子孫保之	詩周頌也言文武有惠訓之德加於百姓故子孫保頼之馹人實切傳也疆居良切
書曰聖有謩勲明徴定保	逸書謩謀也勳功也言聖哲有謀功者當門信定安之謩莫胡切勳如字書作訓
夫謀而鮮過惠訓不倦者叔向有焉	謀鮮過有謩勲也惠訓不倦惠我無疆也
社稷之固也猶將十丗宥之以勸能者今壹不免其身	壹以弟故宥音又
以棄社稷不亦惑乎鯀殛而禹興	言不以父罪廢其子鯀古本切殛紀力切
伊尹放大甲而相之卒無怨色	大甲湯孫也荒淫失度伊尹放之相宫二年改悔而復之而無恨心言不以一怨妨大徳大音泰相息亮切
管蔡爲戮周公右王	言兄弟罪不相及右音又
若之何其以虎也棄社稷子爲善誰敢不勉多殺何爲宣子說與之乗以言諸公而免之	共載入見公説音恱乗䋲證切見賢遍切下始見井注同
不見叔向而歸	言爲國非私叔向也爲于僞切下不爲已及爲子皆同
叔向亦不告免焉而朝	不告謝之明不爲已
初叔向之母妬叔虎之母美而不使	不使見叔向父妬丁故切
其子皆諌其母其母曰深山大澤實生龍蛇	言非常之地多生非常之物
彼美余懼其生龍蛇以禍女女敝族也	敝衰壞也龍蛇喻竒怪女音汝下同
國多大寵	六卿專權
不仁人間之不亦難乎余何愛焉使往視寢生叔虎美而有勇力欒懷子嬖之故羊舌氏之族及於難欒盈過於周周西鄙掠之	劫掠財物間間厠之間難乃旦切掠音亮
辭於行人	王行人也
曰天子陪臣盈	諸侯之臣稱於天子曰陪臣
得罪於王之守臣	范宣子爲王所命故臼守臣守手又切
將逃罪罪重於郊甸	重得罪於郊甸謂爲郊甸所侵掠也郭外曰郊郊外曰甸重直用切注同甸徒練切
無所伏竄敢布其死	布陳也竄七亂切
昔陪臣書能輸力於王室王施惠焉	輸力謂輔相晉國以翼戴天子相息亮切
其子黶不能保任其父之勞大君若不棄書之力亡臣猶有所逃	大君謂天王任音壬
若棄書之力而思黶之罪臣戮餘也	罪戮之餘
將歸死於尉氏	尉氏討姦之官
不敢還矣敢布四體唯大君命焉	布四體言無所隱
王曰尤而效之其又甚焉	尤晉逐盈而自掠之是效尤效或作傚户敎切
使司徒禁掠欒氏者歸所取焉使候出諸轘轅	候迭迎賔客之官也轘轅關在緱氏縣東南轅音袁
〇冬曹武公來朝始見也	即位三年始來見公
〇㑹於商任錮欒氏也	禁錮欒盈使諸侯不得受錮音固
齊侯衛侯不敬叔向曰二君者必不免㑹朝禮之經也禮政之輿也	政須禮而行
政身之守也	政存則身安
怠禮失政失政不立是以亂也	爲二十五年齊弑光二十六年衛弑剽傳弑申志切下同剽匹妙切
知起中行喜州綽邢蒯出奔齊	四子晉大夫知音智行戸郎切蒯苦怪切
皆欒氏之黨也樂王鮒謂范宣子曰盍反州綽邢蒯勇士也宣子曰彼欒氏之勇也余何獲焉	言不爲已用
王鮒曰子爲彼欒氏乃亦子之勇也	言子待之如欒氏亦爲子用也
齊莊公朝指殖綽郭最曰是寡人之雄也州綽曰君以爲雄誰敢不雄然臣不敏平隂之役先二子鳴	十八年晉伐齊及平隂州綽獲殖綽郭最故自比於雞鬪勝而先鳴先悉薦切
莊公爲勇爵	設爵位以命勇士
殖綽郭最欲與焉	自以爲勇與音預下同
州綽曰東閭之役臣左驂迫還於門中識其枚數	識門版數亦在十八年枚夲亦作版
其可以與於此乎公曰子爲晉君也對曰臣爲隷新	言但爲僕隷尚新耳爲于僞切
然二子者譬於禽獸臣食其肉而寢處其皮矣	言甞射得之射食亦切
經二十有二年春王正月公至自㑹	無傳
〇夏四月〇秋七月辛酉叔老卒	無傳子叔齊子
〇冬公㑹晉侯齊侯宋公衛侯鄭伯曹伯莒子邾子薛伯𣏌伯小邾子于沙隨〇公至自㑹	無傳
○楚殺其大夫公子追舒	書名者寵近小人貪而多馬爲國所患近附近之近
傳二十二年春臧武仲如晉	公頻與晉侯外㑹今各將罷還魯之守卿遣武仲爲公謝不敏故不書守手又切爲于僞切
雨過御叔御叔在其邑將飲酒	御叔魯御邑大夫過古禾切御魚吕切又魚據切
曰焉用聖人	武仲多知時人謂之聖焉於䖍切知音智又如字
我將飲酒而巳雨行何以聖爲穆叔聞之曰不可使也而傲使人	言御叔不任使四方傲五報切使所吏切任音壬
國之蠧也令倍其賦	古者家有國邑故以重賦爲罰傳言穆叔能用敎蠧丁故切
〇夏晉人徴朝于鄭	召鄭使朝
鄭人使少正公孫僑對	少正鄭卿官也公孫切又如字酎直又切
與執燔焉	助祭與音預燔本作音煩祭肉也
間二年聞君將靖東夏	謂二十年澶淵盟間間厠之間又如字
四月又朝以聽事期	先澶淵二月往朝以聽㑹期先悉薦切
不朝之間無歳不聘無役不從以大國政令之無常國家罷病不虞荐至	荐仍也罷音皮荐在薦切
無日不惕豈敢忘職	惕懼也惕他歷切
大國若安定之其朝夕在庭何辱命焉	言自將往不須來召朝夕如字
若不恤其患而以爲口實	口實但有其言而巳
其無乃不堪任命而翦爲仇讎	翦削也謂見剥削不堪命則成仇讎任音壬
敝邑是懼其敢忘君命委諸執事執事實重圖之	傳言子産有辭所以免大國之討
〇秋欒盈自楚適齊晏平仲言於齊侯曰商任之㑹受命於晉	受錮欒氏之命
今納欒氏將安用之小所以事大信也失信不立君其圖之弗聽退告陳文子曰君人執信臣人執共忠信篤敬上下同之天之道也君自棄也弗能乆矣	爲二十五年齊弑其君光傳
〇九月鄭公孫黒肱有疾歸邑于公	黒肱子張肱古弘切
召室老宗人立叚	叚子石黒肱子
而使黜官薄祭	黜官無多受職
祭以特羊殷以少牢	四時祀以一羊三年盛祭以羊豕殷盛也
足以共祀盡歸其餘邑曰吾聞之生於亂丗貴而能貧民無求焉可以後亡敬共事君與二三子生在敬戒不在富也已巳伯張卒君子曰善戒詩曰愼爾侯度用戒不虞鄭子張其有焉	詩大雅侯維也義取慎法度戒未然盡津忍切凡此例可求故特音之
〇冬㑹于沙隨復錮欒氏也	晉知欒盈在齊故復錮也復扶又切下復使下注復生不復行皆同
欒盈猶在齊晏子曰禍將作矣齊將伐晉不可以不懼	爲明年齊伐晉傳
〇楚觀起有寵於令尹子南未益禄而有馬數十乗	言子南偏寵觀起令富數所主切乘繩證切令力呈切
楚人患之王將討焉子南之子棄疾爲王御士	御王車者
王每見之必泣棄疾曰君三泣臣矣敢問誰之罪也王曰令尹之不能爾所知也國將討焉爾其居乎	問能止事我否
對曰父戮子居君焉用之洩命重刑臣亦不爲	漏泄君命罪之重焉於䖍切下焉入同泄息列切又以制切
王遂殺子南於朝轘觀起於四竟	轘車裂以徇轘音患竟音境下同
子南之臣謂棄疾請徙子尸於朝	欲犯命取殯殯必刃切
曰君臣有禮唯二三子	不欲犯命移尸
三日棄疾請尸王許之旣葬其徒曰行乎	行去也
曰吾與殺吾父行將焉入曰然則臣王乎曰棄父事讎吾弗忍也	於事是讎於實是君故雖謂讎而不敢報與音預殺如字一音試
遂縊而死	傳譏康王與人子謀其父失君臣之義縊一賜切
復使薳子馮爲令尹公子齮爲司馬屈建爲莫敖	屈建子木也齮五綺切屈居勿切
有寵於薳子者八人皆無禄而多馬他日朝與申叔豫言弗應而退從之入於人中	申叔辟薳子不欲與語應應對之應
又從之遂歸退朝見之	薳子就申叔家見之
曰子三困我於朝吾懼不敢不見吾過子姑告我何疾我也對曰吾不免是懼何敢告子	言恐與子并罪故不敢與子語見賢遍切
曰何故對曰昔觀起有寵於子南子南得罪觀起車裂何故不懼自御而歸不能當道	薳子惶懼意不在御
至謂八人者曰吾見申叔夫子所謂生死而肉骨也	巳死復生白骨更肉
知我者如夫子則可	夫子謂申叔也如夫子謂以義匡已
不然請止	止不相知
辭八人者而後王安之	辭遣之
〇十二月鄭游眅將歸晉	游眅公孫蠆子眅普板切
未出竟遭逆妻者奪之以館于邑	舎止其邑不復行
丁巳其夫攻子明殺之以其妻行	十二月無丁巳丁巳十一月十四日也
子展廢良而立大叔	良游眅子大叔眅弟大音泰
曰國卿君之貳也民之主也不可以苟請舎子明之類	子明有罪而良又不賢故舎音捨
求亡妻者使復其所使游氏勿怨	鄭國不討專殺之人所以抑彊扶弱臨時之冝
曰無昭惡也	交怨則父之不修益明也
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
十	_
六	_
