春秋經傳集解莊公第三	莊公名同桓公子母姜謚法勝敵克亂曰壯
蘇子奉子頽以奔衛衛師燕師伐周	燕南燕
冬立子頽經二十年春王二月夫人姜氏如莒	無傳
〇夏齊大災	無傳來告以火故書天火曰災例在宣十六年
〇秋七月〇冬齊人伐戎	無傳
傳二十年春鄭伯和王室不克	克能也
執燕仲父	燕仲父南燕伯爲伐周故爲于僞切
夏鄭伯遂以王歸王處于櫟秋王及鄭伯入于鄔	鄔王所取鄭也鄔烏苦切
遂入成周取其寳器而還冬王子頽享五大夫樂及徧舞	皆舞六代之樂徧音遍
鄭伯聞之見虢叔	叔虢公字
曰寡人聞之哀樂失時殃咎必至今王子頽歌舞不倦樂禍也夫司寇行戮	司寇刑官樂音洛殃於良切咎其九切
君爲之不舉	去盛饌去起吕切饌仕眷切
而況敢樂禍乎奸王之位禍孰大焉臨禍忘憂憂必及之盍納王乎虢公曰寡人之願也	奸音干盍胡臘切何不也
經二十有一年春王正月〇夏五月辛酉鄭伯突卒	十六年與魯大夫盟于幽
〇秋七月戊戌夫人姜氏薨	無傳薨寝祔姑赴於諸侯故具小君禮書之祔音附
〇冬十有二月葬鄭厲公	無傳八月乃葬緩慢也
傳二十一年春胥命于弭夏同伐王城	鄭虢相命弭鄭地弭面爾切
鄭伯將王自圉門入虢叔自北門入殺王子頽及五大夫鄭伯享王于闕西辟樂備	闕象魏也樂備備六代之樂圉魚吕切辟蒲歷切
王與之武公之略自虎牢以東	略界也鄭武公傳平王平王賜之自虎牢以東後失其地故惠王今復與之虎牢河南城臯縣復扶又切
原伯曰鄭伯效尤其亦將有咎	原伯原莊公也言效子頽舞徧梁效戸教切徧音遍
五月鄭厲公卒王巡虢守	巡守於􁄹國也天子省方謂之巡守守音狩本或作狩後放此
虢公爲王宫于玤	玤虢地玤蒲項切
王與之酒泉	酒泉周邑
鄭伯之享王也王以后之鞶鑑予之	后王后也鞶帶而以鏡爲飾也今西方羌胡猶然古之遺服鞶歩丹切又蒲官切紳帶也鑑工暫切鏡也
虢公請器王予之爵	爵飲酒器
鄭伯由是始惡於王	爲僖二十四年鄭執王使張本惡烏路切又如字使所吏切
冬王歸自虢	傳言王之偏也
經二十有二年春王正月肆大眚	無傳赦有罪也易稱赦過宥罪書稱眚災肆赦傳稱肆眚圍鄭皆放赦罪人蕩滌衆故以新其心有時而用之非制所常故書眚所景切盪音蕩本又作蕩滌徒歷切
〇癸丑葬我小君文姜	無傳反哭成喪故稱小君
〇陳人殺其公子御寇	宣公大子也陳人惡其殺大子之名故不稱君父以國討公子告御音禦本亦作禦惡烏路切注同
〇夏五月〇秋七月丙申及齊髙傒盟于防	無傳高傒齊之貴卿而與魯之微者盟齊桓謙接諸侯以崇霸業
○冬公如齊納幣	無傳公不使卿而親納幣非禮也母喪未再期而圖昏二傳不見所譏左氏又無傳失禮明故見賢遍切
傳二十二年春陳人殺其大子御㓂	傳稱大子以實言
陳公子完與顓孫奔齊	公子完顓孫皆御冠之黨顓音專
顓孫自齊來奔	不書非卿
齊侯使敬仲爲卿	敬仲陳公子完
辭曰羇旅之臣	羇寄也旅客也
幸若獲宥及於寛政	宥赦也
赦其不閑於敎訓而免於罪戾弛於負擔	弛去離也弛失氏切擔丁暫切離力智切
君之惠也所獲多矣敢辱髙位以速官謗	敢不敢也謗布浪切
請以死告	以死自誓
詩云翹翹車乗招我以弓豈不欲往畏我友朋	逸詩也翹翹逺貌古者聘士以弓言雖貪顯命懼爲朋友所譏責翹祁堯切乗繩證切
使爲工正	掌百工之官
飮桓公酒樂	齊桓賢之故就其家會據主人之辭故言飲桓公酒飲於鴆切樂音洛
公曰以火繼之辭曰臣卜其晝未卜其夜不敢君子曰酒以成禮不繼以淫義也	夜飲爲淫樂
以君成禮弗納於淫仁也初懿氏卜妻敬仲	懿氏陳大夫龜曰卜妻七計切
其妻占之曰吉	懿氏妻
是謂鳯皇于飛和鳴鏘鏘	雄曰鳯䧳曰皇雄雌俱飛相和而鳴鏘鏘然猶敬仲夫妻相隨適齊有聲譽和如字又戸卧切鏘七羊切本又作將將
有嬀之後將育于姜	嬀陳姓姜齊姓
五丗其昌並于正卿八丗之後莫之與京	京大也並于本或作並爲誤
陳厲公蔡出也	姊妹之子曰出
故蔡人殺五父而立之	五父陳佗也殺陳佗在桓六年佗徒多切
生敬仲其少也周史有以周易見陳侯者	周大史也少詩照切見賢遍切又如大音泰
陳侯使筮之	蓍曰筮筮上制切蓍音尸
遇觀	觀古亂切
䷓	坤下巽上觀
之否䷋	坤下乾上否觀六四變而爲否否備矣切注同
曰是謂觀國之光利用賔于王	此周易觀卦六四爻辭易之爲書六爻皆有變象又有互體聖人隨其義而論之爻戸交切
此其代陳有國乎不在此其在異國非此其身在其子孫光逺而自他有耀者也坤土也巽風也乾天也風爲天於土上山也	巽變爲乾故曰風爲天自二至四有艮象艮爲山乾其然切
有山之材而照之以天光於是乎居土上	山則材之所生上有乾下有坤故言居土上照之以天光
故曰觀國之光利用賔于王	四爲諸侯變而之乾有國朝王之象
庭實旅百奉之以玉帛天地之美具焉故曰利用賔于王	艮爲門庭乾爲金玉坤爲布帛諸侯朝王陳摯幣之象旅陳也百言物備摯音至本又作贄同
猶有觀焉故曰其在後乎	因觀文以博占故言猶有觀非在巳之言故知在子孫觀古亂切
風行而著於土故曰其在異國乎若在異國必姜姓也姜大嶽之後也	姜姓之先爲堯四嶽著直略切大音泰嶽音岳
山嶽則配天物莫能兩大陳衰此其昌乎	變而象艮故知當興於大嶽之後得大嶽之權則有配天之大功故知陳必衰
及陳之初亡也	昭八年楚滅陳
陳桓子始大於齊	桓子敬仲五丗孫陳無宇
其後亡也	哀十七年楚復滅陳復扶又切
成子得政	成子陳常也敬仲八丗孫陳完有禮於齊子孫丗不忘德德協於卜故傳備言其終始卜筮者聖人所以定猶豫决疑似因生義敎者也尚書洪範通龜筮以同卿士之數南蒯卜亂而過元吉惠伯荅以忠信則可臧會卜僭遂獲其應丘明故舉諸縣驗於行事者以示來丗而君子志其善者遠者他皆放此豫音預本亦作預蒯苦怪切僭子念切應應對之應縣音玄
經二十有三年春公至自齊	無傳
〇祭叔來聘	無傳榖梁以祭叔爲祭公來聘魯天子内臣不得外交故不言使不與其得使聘祭側界切爲于僞切
○夏公如齊觀社	齊因祭社蒐軍實故公往觀之
○公至自齊	無傳
〇荆人來聘	無傳不書荆子使某來聘君臣同辭者蓋楚之始通未成其禮
〇公及齊侯遇于榖	無傳榖音谷
○蕭叔朝公	無傳蕭附庸國叔名就穀朝公故不言來凡在外朝則禮不得具嘉禮不野合
○秋丹桓宫楹	桓公廟也楹柱也楹音盈
○冬十有一月曹伯射姑卒	無傳未同盟而赴以名射示亦切又音亦
〇十有二月甲寅公會齊侯盟干扈	無傳扈鄭地在滎陽卷縣西北扈音戸卷音權字林丘權切韋昭丘云切說文丘粉切
傳二十三年夏公如齊觀社非禮也曹劌諫曰不可夫禮所以整民也故會以訓上下之則制財用之節	貢賦多少
朝以正班爵之義帥長幼之序征伐以討其不然	不然不用命長丁丈切
諸侯有王	從王事
王有廵守	省四方
以大習之	大習會朝之禮
非是君不舉矣君舉必書	書於䇿
書而不法後嗣何觀〇晉桓莊之族偪	桓叔莊伯之子孫彊盛偪迫公室偪彼力切
獻公患之士蔿曰去富子則羣公子可謀也巳	士蔿晉大夫富子二族之富彊者蔿于委切去起吕切
公曰爾試其事士蔿與羣公子謀譖富子而去之	以罪狀誣之同族惡其富彊故士蔿得因而間之用其所親爲譖則似信離其骨肉則黨弱羣公子終所以見滅惡烏路切間間隙之間
○秋丹桓宫之楹經二十有四年春王三月刻桓宫桷	刻鏤也桷椽也將逆夫人故爲盛飾刻音克桷音角字林云齊魯謂榱爲桷椽直專切
○葬曹莊公	無傳
〇夏公如齊逆女	無傳親逆禮也
〇秋公至自齊	無傳
〇八月丁丑夫人姜氏入	哀姜也公羊傳以爲姜氏要公不與公俱入蓋以孟任故丁丑入而明日乃朝廟要於遙切任音壬後孟任皆同
○戊寅大夫宗婦覿用幣	宗婦同姓大夫之婦禮小君至大夫執贄以見明臣子之道莊公欲奢夸夫人故使大夫宗婦同贄俱見覿徒歷切見也見賢遍切夸苦瓜切
〇大水	無傳
〇冬戎侵曹	無傳
○曹羈出奔陳	無傳羈蓋曹丗子也先君旣葬而不稱爵者微弱不能自定曹人以名赴
〇赤歸于曹	無傳赤曹僖公也蓋爲戎所納故曰歸
〇郭公	無傳蓋經闕誤也自曹羈以下公羊榖梁之說旣不了又不可通之於左氏故不采用
傳二十四年春刻其桷皆非禮也	并非丹楹故言皆
御孫諫曰臣聞之儉德之共也侈惡之大也	御孫魯大夫御魚吕切本亦作禦侈昌𥿄切又尸氏切
先君有共德而君納諸大惡無乃不可乎	以不丹楹刻桷爲共
〇秋哀姜至公使宗婦覿用幣非禮也	傳不言大夫唯舉非常
御孫曰男贄大者玉帛	公侯伯子男執玉諸侯丗子附庸孤卿執帛贄眞二切
小者禽鳥	卿執羔大夫執鴈士執雉
以章物也	章所執之物别貴賤别彼列切
女贄不過榛栗棗脩以告䖍也	榛小栗脩脯􁌎敬也皆取其名以示敬榛側巾切鍜脯加薑桂曰脩䖍音乾
今男女同贄是無別也男女之别國之大節也而由夫人亂之無乃不可乎○晉士蔿又與羣公子謀使殺游氏之二子	游氏二子亦桓莊之族
士蔿告晉侯曰可矣不過二年君必無患經二十有五年春陳侯使女叔來聘	女叔陳卿女氏叔字女音汝陳大夫氏
〇夏五月癸丑衛侯朔卒	無傳惠公也書名十六年與内大夫盟干幽
〇六月辛未朔日有食之鼔用牲于社	鼓伐鼔也用牲以祭社傳例曰非常也
〇伯姬歸干𣏌	無傳不書逆女逆者微
秋大水鼔用牲于社于門	門國門也傳例曰亦非常也
〇冬公子友如陳	無傳報女叔之聘諸魯出朝聘皆書如不果彼國必成其禮故不稱朝聘春秋之常也公子友莊公之母弟稱公子者史䇿之通言母弟至親異於他臣其相殺害則稱弟以示義至於嘉好之事兄弟篤睦非例所興或稱弟或稱公子仍舊史之文也母弟例在宣十七年好呼報切下同
經二十五年春陳女叔來聘始結陳好也嘉之故不名	季友相魯原仲相陳二人有舊故女叔來聘季友冬亦報聘嘉好接備卿以字爲嘉則稱名其常也相息亮切下同
○夏六月辛未朔日有食之鼔用牲于社非常也	非常鼓之月長歷推之辛未實七月朔置閏失所故致月錯
唯正月之朔慝未作	正月夏之四月周之六月謂正陽之月今書六月而傳云唯者明此月非正陽月也慝隂氣正音政正月建巳之月慝他得切夏戸雅切
日有食之於是乎用幣于社伐鼓于朝	日食歷之常也然食於正陽之月則諸侯用幣干社請救於上公伐鼓于朝退而自責以明隂不冝侵陽臣不冝掩君以示大義
〇秋大水鼔用牲于社于門亦非常也	失常禮
凡天災有幣無牲	天災日月食大水也祈請而巳不用牲也
非日月之眚不鼔	眚猶災也月侵日爲眚隂陽逆順之事賢聖所重故特鼓之眚所景切
〇晉士蔿使羣公子盡殺游氏之族乃城聚而處之	聚晉邑聚才喻切
〇冬晉侯圍聚盡殺羣公子	卒如士蔿之計
經二十有六年春公伐戎	無傳
〇夏公至自伐戎	無傳
〇曹殺其大夫	無傳不稱名非其罪例在文七年
〇秋公會宋人齊人伐徐	無傳宋序齊上主兵
〇冬十有二月癸亥朔日有食之	無傳
傳二十六年春晉士蔿爲大司空	大司空卿官
〇夏士蔿城絳以深其宫	絳晉所都也今平陽絳邑縣
〇秋虢人侵晉冬虢人又侵晉	爲傳明年晉將伐虢張本此年經傳各自言其事者或經是直文或䇿書雖存而簡牘散落不究其本末故傳不復申解但言傳事而巳牘徒木切究音救復扶又切解居蟹切
經二十有七年春公會𣏌伯姬于洮	伯姬莊公女洮魯地洮他刀切
〇夏六月公會齊俟宋公陳俟鄭伯同盟于幽○秋公子友如陳葬原仲	原仲陳大夫原氏仲字也禮臣旣卒不名故稱字季友違禮會外大夫葬具見其事亦所以知譏見賢遍切
〇冬𣏌伯姬來	傳例曰歸寧
○莒慶來逆叔姬	無傳慶莒大夫叔姬莊公女卿自爲逆則稱字例在宣五年
〇𣏌伯來朝	無傳𣏌稱伯者蓋爲時王所黜黜勅律切濮音卜
○公會齊侯于城濮	無傳城濮衛地將討衛也
傳二十七年春公會杞伯姬于洮非事也	非諸侯之事
天子非展義不廵守	天子廵守所以宣布德義
諸侯非民事不舉卿非君命不越竟〇夏同盟于幽陳鄭服也	二十二年陳亂而齊納敬仲二十五年鄭文公之四年獲成於楚皆有二心於齊今始服也
○秋公子友如陳葬原仲非禮也原仲季友之舊也〇冬杞伯姫來歸寧也	寧問父母安否
凡諸侯之女歸寧曰來出曰來歸	歸不反之辭
夫人歸寜曰如某岀曰歸于某晉侯將伐虢士蔿曰不可虢公驕若驟得勝於我必弃其民	弃民不養之
無衆而後伐之欲禦我誰與夫禮樂慈愛戰所畜也夫民譲事樂和愛親哀喪而後可用也	上之使民以義讓哀樂爲本言不可力强畜勑六切樂音洛彊其丈切
虢弗畜也亟戰將饑	言虢不畜義讓而力戰畜勑六切亟欺冀切饑音機
〇王使召伯廖賜齊侯命	召伯廖王卿士賜命爲侯伯召音邵廖力彫切
且請伐衛以其立子頽也	立子頽在十九年
經二十有八年春王三月甲寅齊人伐衛衛人及齊人戰衛人敗績	齊侯稱人者諱取賂而還以賤者告不地者史失之
○夏四月丁未邾子瑣卒	無傳末同盟而赴以名瑣素果切
〇秋荆伐鄭公會齊人宋人救鄭〇冬築郿	郿魯下邑傳例曰邑曰築郿亡悲切
〇大無麥禾	書於冬者五榖畢入計食不足而後書也
○臧孫辰告糴于齊	臧孫辰魯大夫臧文仲
傳二十八年春齊侯伐衛戰敗衛師數之以王命取賂而還○晉獻公娶于賈無子	賈姬姓國也
烝於齊姜	齊姜武公妾烝之承切
生秦穆夫人及大子申生又娶二女於戎大戎狐姬生重耳	大戎唐叔子孫别在戎狄者重直龍切
小戎子生夷吾	小戎允姓之戎子女也
晉伐驪戎驪戎男女以驪姬	驪戎在京兆新豐縣其君姬姓其爵男也納女於人曰女女昵據切注曰女同
歸生奚齊其娣生卓子驪姬嬖欲立其子賂外嬖梁五與東關嬖五	姓梁名五在閨闥之外者東關嬖五别在關塞者亦名五皆大夫爲獻公所嬖幸視聽外事卓勅角切閨音圭闥吐達切塞素代切
使言於公曰曲沃君之宗也	曲沃桓叔所封先君宗廟所在
蒲與二屈君之疆也	蒲今平陽蒲子縣二屈今平陽北屈縣或云二當爲北屈求勿切又居勿切彊居良切
不可以無主宗邑無主則民不威疆埸無主則啓戎心戎之生心民慢其政國之患也若使大子主曲沃而重耳夷吾主蒲與屈則可以威民而懼戎且旌君伐	旌章也伐功也埸音亦
使俱曰狄之廣莫於晉爲都晉之啓土不亦冝乎	廣莫狄地之曠絶也即謂蒲子北屈也言遣二公子出都之則晉方當大開土界獻公未决故復使二五俱說此美復扶又切
晉侯說之夏使大子居曲沃重耳居蒲城夷吾居屈羣公子皆鄙	鄙邊邑説音悅
唯二姬之子在絳二五卒與驪姬譖羣公子而立奚齊晉人謂之二五耦	二耜相耦廣一尺共起一伐言二人俱共墾傷晉室若此譛責鴆切耜音似廣古曠切墾苦狠切
○楚令尹子元欲蠱文夫人	文王夫人息嬀也子元文王弟蠱惑以淫事蠱音古
爲館於其宫側而振萬焉	振動也萬舞也
夫人聞之泣曰先君以是舞也習戎備也今令尹不㝷諸仇讎而於未亡人之側不亦異乎	㝷用也婦人旣寡自稱未亡人
御人以告子元	御人夫人之侍人
子元曰婦人不忘襲讎我反忘之秋子元以車六百乗伐鄭入于桔柣之門	桔柣鄭逺郊之門也乗绳證切桔戸結切柣待結切注同
子元鬪御彊鬪梧耿之不比爲旆	子元自與三子特造旆以居前廣充幅長尋曰旐繼旐曰旆御魚吕切本亦作禦下反禦同彊其良切又居良切梧音吾比并里切旆蒲貝切長直亮切旐音兆
鬬班王孫游王孫喜殿	二子在後爲反禦殿丁見切
衆車入自純門及逵市	純門鄭外郭門也逵市郭内道上市純如字逵求龜切
縣門不發楚言而出子元曰鄭有人焉	縣門施於内城門鄭示楚以閒暇故不閉城門出兵而效楚言故子元畏之不敢進縣音玄
諸侯救鄭楚師夜遁鄭人將奔桐丘	許昌縣東北有桐丘城遁徒困切
諜告曰楚幕有烏乃止	諜間也幕帳也諜音牃幕音莫間間廁之閒
〇冬饑臧孫辰告糴于齊禮也	經書大無麥禾傳言饑傳又先書饑在築郿上者說始糴經在下須得糴嫌或諱饑故曰禮
〇築郿非都也凡邑有宗廟先君之主曰都無曰邑邑曰築都曰城	周禮四縣爲都四井爲邑然宗廟所在則雖邑曰都尊之也言凡邑則他築非例
經二十有九年春新延廏	傳例曰書不時言新者皆舊物不可用更造之辭廐居又切
〇夏鄭人侵許	傳例曰無鍾鼓曰侵
○秋有蜚	傳例曰爲災蜚扶味切
○冬十有二月紀叔姬卒	無傳紀國雖滅叔姬執節守義故繫之紀賢而錄之
○城諸及防	諸防皆魯邑傳例曰書時也諸非備難而興作傳皆重云時以釋之他皆放此諸今城陽諸縣難乃旦切重直用切
傳二十九年春新作延廐書不時也	經無作字蓋闕
凡馬日中而出日中而入	日中春秋分也治廐當以秋分因馬向入而脩之今以春作故曰不時嚮許亮切
○夏鄭人侵許凡師有鍾鼔曰伐	聲其罪
無曰侵	鍾鼔無聲
輕曰襲	掩其不備輕遣政反
〇秋有蜚爲災也凡物不爲災不書○冬十二月城諸及防書時也凡土功龍見而畢務戒事也	謂今九月周十一月龍星角亢晨見東方三務始畢戒民以土功事見賢遍切亢苦浪切又音剛
火見而致用	大火心星次角亢見者致築作之物
水昏正而栽	謂今十月定星昏而中於是樹板幹而興作栽字林才代切又音再說文云築牆長板定多佞切
日至而畢	日南至㣲陽始動故土功息
○樊皮叛王	樊皮周大夫樊其采地皮名
經三十年春王正月〇夏次于成	無傳將卑師少故直言次齊将降鄣故設備上将于匠切降戸江切下同鄣音章
○秋七月齊人降鄣	無傳鄣紀附庸國東平無鹽縣東北有鄣城小國孤危不能自固蓋齊遥以兵威脅使降附
○八月癸亥葬紀叔姬	無傳以賢錄也無臣子故不作謚
○九月庚午朔日有食之鼔用牲于社	無傳
〇冬公及齊侯遇于魯濟	濟水歴齊魯界在齊界爲齊濟在魯界爲魯濟蓋魯地濟子禮切
齊人伐山戎	山戎北戎
傳三十年春王命虢公計樊皮夏四月丙辰虢公入樊執樊仲皮歸于京師〇楚公子元歸自伐鄭而處王宫	欲遂蠱文夫人
鬪射師諫則執而梏之	射師鬪廉也足曰桎手曰梏射食亦切又食夜切梏古毒切桎之實切
秋申公鬬班殺子元	申楚縣也楚僭號縣尹皆稱公僭子念切
鬪榖於莬爲令尹自毀其家以紓楚國之難	鬪榖於莬令尹子文也毁減紓緩也榖奴走切楚人謂乳曰榖漢書作㝅音同於音烏菟音徒紓音舒又直汝切難乃且切
〇冬遇于魯濟謀山戎也以其病燕故也	齊桓行霸故欲爲燕謀難燕國今薊縣爲于僞切薊音計
經三十有一年春築臺于郎	無傳刺奢且非土功之時刺七賜切
〇夏四月薛伯卒	無傳未同盟
〇築臺于薛	無傳薛魯地
○六月齊侯來獻戎㨗	傳例曰諸侯不相遺俘捷獲也獻奉上之辭齊侯以獻捷禮來故爲以示過捷在妾切遺唯季切傳同俘音孚
〇秋築臺于秦	無傳東平范縣西北有秦亭
〇冬不雨	無傳不書旱不爲災例在僖三年
傳三十一年夏六月齊侯來獻戎捷非禮也凡諸侯有四夷之功則獻于王王以警于夷	以警懼夷狄警音景戒懼也
中國則否諸侯不相遺俘	雖夷狄俘猶不以相遺
經三十有二年春城小穀	小榖齊邑濟北榖城縣城中有管仲井大都以名通者則不繫國
夏宋公齊侯遇于梁丘	齊善宋之請見故進其班梁丘在髙平昌邑縣西南
〇秋七月癸巳公子牙卒	牙慶父同母弟僖叔也飲酖而死不以罪告故得書卒書日者公有疾不責公不與小斂酖音鴆本亦作鴆與音預斂力豔切
○八月癸亥公薨于路寢	路寢正寢也公薨皆書其所詳凶變
〇冬十月己未子般卒	子般莊公大子先君未葬故不稱爵不書殺諱之也般音班殺音試又如字下同
〇公子慶父如齊	無傳慶父旣殺子般季友出奔國人不與故懼而適齊欲以求援時無君假赴告之禮而行
〇狄伐邢	無傳邢國在廣平襄國縣
傳三十二年春城小榖爲管仲也	公感齊桓之徳故爲管仲城私邑爲于僞切
〇齊侯爲楚伐鄭之故請會于諸侯	楚伐鄭在二十八年謀爲鄭報楚
宋公請先見于齊侯夏遇于梁丘〇秋七月有神降于莘	有神聲以接人莘虢地見賢遍切又如字莘所巾切
惠王問諸内史過曰是何故也	内史過周大夫過古禾切
對曰國之將興明神降之監其德也將亡神又降之觀其惡也故有得神以興亦有以亡虞夏商周皆有之	亦有神異
王曰若之何對曰以其物享焉其至之日亦其物也	享祭也若以甲乙日至祭先脾玉用蒼服上青以此類祭之
王從之内史過往聞虢請命	聞虢請於神求賜土田之命
反曰虢必亡矣虐而聽於神神居莘六月虢公使祝應宗區史嚚享焉神賜之土田	祝大祝宗宗人史大史應區嚚皆名○區音驅嚚五巾反
史嚚曰虢其亡乎吾聞之國將興聽於民	政順民心
將亡聽於神	求福於神
神聦明正直而壹者也依人而行	唯德是與
虢多凉德其何土之能得	凉薄也爲僖二年晉滅下陽傳
初公築臺臨黨氏	黨氏魯大夫築臺不書不告廟〇黨音掌
見孟任從之閟	孟任黨氏女閟不從公○閟音秘
而以夫人言許之	許以爲夫人
割臂盟公生子般焉雩講于梁氏女公子觀之	雩祭天也講肆也梁氏魯大夫女公子子般妹○肆音四又以二反
圉人犖自墻外與之戲	圉人掌飬馬者以慢言戲之○犖音洛
子般怒使鞭之公曰不如殺之是不可鞭犖有力焉能投蓋于稷門	蓋覆也稷門魯南城門走而自投接其屋之捔反覆門上
公疾問後於叔牙對曰慶父材	蓋欲進其同母兄
問於季友對曰臣以死奉般	季友荘公母弟故欲立般
公曰鄉者牙曰慶父材成季使以君命命僖叔待于鍼巫氏	成季季友也鍼巫氏魯大夫○鄉許亮反鍼其廉反
使鍼季酖之	酖鳥名其羽有毒以畫酒飲之則死
曰飲此則有後於魯國不然死且無後飲之歸及逵泉而卒立叔孫氏	逵泉魯地不以罪誅故得立後世其禄
八月癸亥公薨于路寢子般即位次于黨氏	即䘮位次舍也
冬十月己未共仲使圉人犖賊子般于黨氏	共仲慶父〇共音恭
成季奔陳	出奔不書國亂史失之
立閔公	閔公莊公庶子於是年八歲
春	_
秋	_
經	_
傳	_
集	_
解	_
荘	_
公	_
第	_
三	_
