春秋經傳集解宣下第十一杜氏盡十八年經十有二年春葬陳靈公	無傳賊討國復二十二月然後得葬
〇秋七月秦桓公伐晉次于輔氏	晉地
壬午晉侯治兵于稷以略狄土	略取也稷晉地河東聞喜縣西有稷山壬午七月二十九日晉時新破狄土地未安權秦師之弱故别遣魏顆距秦而東行定狄地顆苦果切
立黎侯而還	狄奪其地故晉復立之復扶又切
及雒魏顆敗秦師于輔氏	晉侯還及雒也雒晉地雒音洛
獲杜回秦之力人也初魏武子有嬖妾無子武子疾命顆曰必嫁是	武子魏犨顆之父嬖必計切
疾病則曰必以爲殉及卒顆嫁之曰疾病則亂吾從其治也及輔氏之役顆見老人結草以亢杜回	亢禦也殉似俊切本或作必以殉治直吏切下治命同亢苦浪切
杜回躓而顚故獲之夜夢之曰余而所嫁婦人之父也	而女也躓陟吏切徐丁四切
爾用先人之治命余是以報	傳舉此以示敎
〇晉侯賞桓子狄臣千室	千家
亦賞士伯以瓜衍之縣	士伯士貞子瓜古葉切衍以善切
曰吾獲狄土子之功也微子吾喪伯氏矣	伯桓子字邲之敗晉侯將殺林父士伯諫而止喪息浪切
羊舌職說是賞也	職叔向父說音恱向杳丈切
曰周書所謂庸庸祗祗者謂此物也夫	周書康誥庸用也祗敬也物事也言文王能用可用敬可敬夫音扶
士伯庸中行伯	言中行伯可用
君信之亦庸士伯此之謂明德矣文王所以造周不是過也故詩曰陳錫載周能施也	錫賜也詩大雅言文王布陳大利以賜天下故能載行周道福流子孫施式䜴切
率是道也其何不濟○晉侯使趙同獻狄俘于周不敬劉康公曰不及十年原叔必有大咎	劉康公主季子也原叔趙同也俘芳夫切不敬一本作而傲
天奪之魄矣	心之精爽是謂魂魄爲成八年晉殺趙同傳魄普白切
〇初稅畝非禮也榖出不過藉	周法民耕百畝公田十畝借民力而治之稅不過此
以豐財也〇冬蝝生饑辛之也	蝝未爲災而書之者幸其冬生不爲物害時歳雖饑猶喜而書之
經十有六年春王正月晉人滅赤狄甲氏及留吁	卑氏留吁赤狄别種晉旣滅潞氏今又井盡其餘黨士㑹稱人從告吁況于切種章勇切井必政切一音如字
〇夏成周宣榭火	傳例曰人火之也成周洛陽宣榭講武屋别在洛陽者爾雅曰無室曰榭謂屋歇前榭本又作謝音同
〇秋郯伯姬來歸	郯音談
〇冬大有年	無傳
傳十六年春晉士㑹帥師滅赤狄甲氏及留吁鐸辰	鐸辰不書留吁之屬鐸待洛切
三月獻狄俘	獻干王也
晉侯請于王戊申以黻冕命士會將中軍且爲大傅	代林父將中軍且加以大傅之官黻冕命卿之服夫傅孤卿黻音弗將子匠切大音泰注同
於是晉國之盗逃奔于秦羊舌職曰吾聞之禹稱善人	稱舉也
不善人逺此之謂也夫詩曰戰戰兢兢如臨深淵如履薄氷善人在上也	言善人居位則無不戒懼逺于萬切夫音扶兢居矜切本亦作矜
善人在上則國無幸民諺曰民之多幸國之不幸也是無善人之謂也	諺音彦
○夏成周宣榭火人火之也凡火人火曰火天火曰災○秋郯伯姬來歸出也〇爲毛召之難故王室復亂	毛召難在前年爲于僞切難乃旦切注同復扶又切
王孫蘇奔晉晉人復之	毛召之黨欲討蘇氏故出奔
冬晉侯使士會平王室定王享之原襄公相禮	原襄公周大夫相佐也相息亮切注同
殽烝	烝升也升殽於爼殽戸交切烝之承切
武子私問其故	享當體薦而殽烝故怪問之武士㑹謚季其字
王聞之召武子曰季氏而弗聞乎王享有體薦	享則半解其體而薦之所以示其儉
宴有折爼	體解節折升之於爼物皆可食所以示慈惠也折之設切注同
公當享卿當宴王室之禮也	公謂諸侯
武子歸而講求典禮以脩晉國之法	傳言典禮之廢乆
經十有七年春王正月庚子許男錫我卒	無傳再與文同盟錫星歷切
〇丁未蔡侯申卒	無傳未同盟而赴以名丁未二月四日
〇夏葬許昭公	無傳
〇葬蔡文公	無傳
〇六月癸卯日有食之	無傳不書朔官失之
〇已未公會晉侯衛侯曹伯邾子同盟于斷道	斷道晉地斷直管切一音短
〇秋公至自會	無傳
〇冬十有一月壬午公弟叔肸卒	傳例曰公母弟肸許乙切
傳十七年春晉侯使郤克徴會于齊	徵召也欲爲斷道會
齊頃公帷婦人使觀之郤子登婦人笑於房	跛而登階故笑之頃音傾跛波可切
獻子怒出而誓曰所不此報無能渉河	不復渡河而東復扶又切
獻子先歸使欒京廬待命于齊曰不得齊事無復命矣	欒京廬郤克之介使得齊之罪乃復命廬音盧又力於切
郤子至請伐齊晉侯弗許請以其私屬又弗許	私屬家衆也爲成二年戰于鞌傳鞌音安
〇齊侯使髙固晏弱蔡朝南郭偃會	晏弱桓子朝如字
及斂盂髙固逃歸	聞郤克怒故斂徐音廉一音力漸切盂音于
夏會于斷道討貳也盟于卷楚	卷楚即㫁道卷音權一音居免切
辭齊人晉人執晏弱于野王執蔡朝于原執南郭偃于温	執三子不書非卿野王縣今屬河内
苗賁皇使見晏桓子	賁皇楚鬪椒之子楚滅鬪氏而奔晉食邑于苗地晏弱時在野王故因使而見之賁扶云切使所吏切注及下同
歸言於晉侯曰夫晏子何罪昔者諸侯事吾先君皆如不逮	言汲汲也逮音代或大計切汲音急
舉言羣臣不信諸侯皆有貳志	舉亦皆也
齊君恐不得禮	不見禮待
故不出而使四子來左右或沮之	沮止也沮在吕切
曰君不出必執吾使故髙子及斂盂而逃夫三子者曰若絶君好寧歸死焉爲是犯難而來吾若善逆彼	彼齊三人好呼報切爲于僞切難乃旦切
以懷來者吾又執之以信齊沮吾不旣過矣乎過而不改而又乆之以成其悔何利之有焉使反者得辭	反者髙固謂得不當來之辭
而害來者以懼諸侯將焉用之晉人緩之逸	緩不拘執使得逃去也傳言晉不能脩禮諸侯所以貳焉於䖍切拘九于切
○秋八月晉師還范武子將老	老致仕初受隨故曰隨武子後更受范復爲范武子復扶又切
召文子曰爕乎吾聞之喜怒以類者鮮	文子士㑹之子爕其名爕素協切鮮息淺切
易者實多	易遷怒也
詩曰君子如怒亂庶遄沮君子如祉亂庶遄已	詩小雅也遄速也沮止也祉福也遄市專切祉音恥
君子之喜怒以巳亂也弗巳者必益之郤子其或者欲巳亂於齊乎不然余懼其益之也余將老使郤子逞其志庶有豸乎	豸解也欲使郤子從政快志以止亂豸本又作鳩直是切或音居牛切非也解音蟹此訓見方言
爾二三子唯敬	二三子晉諸大夫
乃請老郤獻子爲政○冬公弟叔肸卒公母弟也凡大子之母弟公在曰公子不在曰弟	以兄爲尊
凡稱弟皆母弟也	此䇿書之通例也庶弟不得稱公弟而母弟或稱公子若嘉好之事則仍舊史之文唯相殺害然後據例以示義所以爲篤親親之恩崇友于之好釋例論之備矣好呼報切
經十有八年春晉侯衛丗子臧伐齊	臧子郎切
〇公伐杞	無傳
〇夏四月〇秋七月邾人戕鄫子于鄫	傳例曰自外曰戕邾大夫就鄫殺鄫子戕在良切徐又在精切鄫才陵切
〇甲戍楚子旅卒	未同盟而赴以名吴􁇡之葬僣而不典故絶而不書同之夷蠻以懲求名之偽僣子念切懲直升切止也又作徵如字明也
〇公孫歸父如晉〇冬十月壬戍公薨于路寢〇歸父還自晉至笙遂奔齊	大夫還不書春秋之常也今書歸父還奔善其能以禮退不書族者非常所及今特書略之笙魯竟外故不言岀笙音生徐又勑貞切云本又作檉亦作朾案徐後音是依二傳文竟音境
傳十八年春晉侯衛大子臧伐齊至于陽榖齊侯會晉侯盟于繒以公子彊爲質于晉晉師還蔡朝南郭偃逃歸	晉旣與齊盟守者解緩故得逃繒才陵切質音致解佳買切
〇夏公使如楚乞師欲以伐齊	公不事齊齊與晉盟故懼而乞師干楚不書微者行
秋邾人戕鄫子于鄫凡自虐其君曰弑自外曰戕	弑戕皆殺也所以别内外之名弒者積微而起所以相測量非一朝一夕之漸戕者卒暴之名弑音試注同弒字從式殺字從殳他皆放此别彼列切朝如字卒才忽切
〇楚莊王卒楚師不出旣而用晉師	成二年戰于鞌是
楚於是乎有蜀之役	在成二年冬蜀魯地泰山博縣西北有蜀亭
〇公孫歸父以襄仲之立公也有寵	歸父襄仲子
欲去三桓以張公室	時三桓強公室弱故欲去之以張大公室去起吕切下注將去同張如字一音渉亮切
與公謀而聘于晉欲以晉人去之冬公薨李文子言於朝曰使我殺適立庶以失大援者仲也夫	適謂子惡齊外甥襄仲殺之而立宣公南通於楚旣不能固又不能堅事齊晉故云失大援也適丁歷切注同援于眷切失音枝
臧宣叔怒曰當其時不能治也後之人何罪子欲去之許請去之	宜叔文仲子武仲父許其名也時爲司宼主行刑言子自以歸父害已欲去者許請爲子去之爲于僞切
遂逐東門氏	襄仲居東門故曰東門氏
子家還及笙	子家歸父
壇帷復命於介	除也爲壇而張帷介副也將去使介反命於君壇音善介音界
旣復命袒括髮	以麻約髪袒音但括古活切
即位哭三踊而出	依在國喪禮設哭位公薨故
遂	_
奔	_
齊	_
書	_
曰	_
歸	_
父	_
還	_
自	_
晉	_
善	_
之	_
也	_
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
十	_
一	_
