春秋經傳集解定下第二十八杜氏盡十五年經八年春王正月公侵齊	報前年伐我西鄙
○鄭罕達帥師伐宋○齊侯衛侯次于渠蒢	不果救故書次蒢直居切
○邾子來奔喪	無傳諸侯奔喪非禮
○秋七月壬申姒氏卒	定公夫人
○八月庚辰朔日有食之	無傳
○九月滕子來㑹葬	無傳諸侯㑹葬非禮也
○丁巳葬我君定公雨不克葬戊午日下􁀈乃克葬○辛巳葬定姒	辛巳十月三日有日無月呉音側
○冬城漆	邾庶其邑漆音七
傳十五年春邾隱公來朝	邾子益
子貢觀焉邾子執玉髙其容仰公受玉卑其容俯	王朝者之贄贄音至
子貢曰以禮觀之二君者皆有死亡焉夫禮死生存亡之體也將左右周旋進退俯仰於是乎取之朝祀喪戎於是乎觀之今正月相朝而皆不度	不合法度
心巳亡矣嘉事不體何以能乆	嘉事朝禮
髙仰驕也卑俯替也驕近亂替近疾君爲主其先亡乎	爲此年公薨哀七年以邾子益歸傳替他計切近附近之近
○呉之入楚也	在四年
胡子盡俘楚邑之近胡者	俘取也
楚旣定胡子豹又不事楚曰存亡有命事楚何爲多取費焉二月楚滅胡	傳言小不事大所以亡費芳味切
○夏五月壬申公薨仲尼曰賜不幸言而中是使賜多言者也	以微知著知之難者子貢言語之士今言而中仲尼懼其易言故抑之中丁仲切微知著知之難並如字又音智易以䜴切
○鄭罕達敗宋師于老丘	罕達子齹之子老丘宋地宋公子地奔鄭鄭人爲之伐宋欲取地以處之事見哀十二年齹子何切爲于僞切見賢遍切
○齊侯衛侯次于蘧挐謀救宋也	蘧音渠挐女居切又女加切
○秋七月壬申姒氏卒不稱夫人不赴且不祔也	赴同祔姑夫人之禮二者皆闕故不曰夫人祔音附
○葬定公雨不克襄事禮也	襄成也雨而成事若汲汲於欲葬襄息羊切
○葬定姒不稱小君不成喪也	公未葬而夫人薨煩於喪禮不赴不祔故不稱小君臣子怠慢也反哭於寢故書葬
○冬城漆書不時告也	實以秋城冬乃告廟魯知其不時故緩告從而書之以示譏
春	_
秋	_
左	_
氏	_
傳	_
卷	_
第	_
二	_
十	_
八	_
