春秋經傳集解哀上第二十九	哀公名蔣定公之子蓋夫人定姒所生敬王二十八年即位謚法恭仁短折曰哀
而大夫不出門此何禮也對曰豈以爲禮畏大國也	畏大國不敢虛國盡行
大國不以禮命於諸侯苟不以禮豈可量也寡君旣共命焉其老豈敢棄其國大伯端委以治周禮仲雍嗣之斷髮文身臝以爲飾豈禮也哉有由然也	大伯周大王之長子仲雍大伯弟也大伯仲雍讓其弟季歷俱適荆蠻遂有民衆大伯卒無子仲雍嗣立不能行禮致化故效呉俗言其權時制冝以辟災害非以爲禮也端委禮衣也共音恭大音泰斷丁管切臝本又作祼力果切效戸孝切
反自鄫以呉爲無能爲也	棄禮知其不能覇也
○季康子欲伐邾乃饗大夫以謀之子服景伯曰小所以事大信也大所以保小仁也背大國不信	大國呉也
伐小國不仁民保於城城保於德失二德者危將焉保	二德信與仁也焉於䖍切
孟孫曰二三子以爲何如	怪諸大夫不言故指問之
惡賢而逆之	孟孫賢景伯欲使大夫不逆其言惡猶安也惡音烏
對曰禹合諸侯於塗山執玉帛者萬國	諸大夫對也諸侯執玉附庸執帛塗山在壽春東北
今其存者無數十焉唯大不字小小不事大也	言諸侯相伐古來以然數所主切
知必危何故不言	知伐邾必危自當言今不言者不危故也大夫以荅孟孫所怪且阿附季孫
魯德如邾而以衆加之可乎	孟孫忿荅大夫今魯德無以勝邾但欲恃衆可乎言不可
不樂而出	季孟意異佞直不同故罷饗樂音岳又音洛
秋伐邾及范門	邾郭門也
猶聞鍾聲	邾不禦寇禦魚吕切
大夫諫不聽茅成子請告於呉	成子邾大夫茅夷鴻
不許曰魯擊柝聞於邾	言以近柝音託以兩太相擊以行夜也字又作柝同聞音問又如字
呉二千里不三月不至何及於我且國内豈不足	言足以距魯
成子以茅叛	髙平西南有茅郷亭
師遂入邾處其公宫衆師晝掠	虜掠取財物也晝中救切掠音亮
邾衆保于繹	繹邾山也在鄒北縣繹音亦鄒側留切
師宵掠以邾子益來	益邾隱公也晝夜掠傳言康子無法
獻于亳社	以其亡國與殷同
囚諸負瑕負瑕故有繹	負瑕魯邑髙平南平陽縣西北有瑕丘城前者魯得邾之繹民使在負瑕故使相就以辱之
邾茅夷鴻以束帛乗韋自請救於呉	無君命故言自乗繩證切
曰魯弱晉而逺呉馮恃其衆	馮依馮皮氷切
而背君之盟辟君之執事	辟陋辟匹亦切
以陵我小國邾非敢自愛也懼君威之不立君威之不立小國之憂也若夏盟於鄫衍	鄫衍即鄫也鄫盟不書吳行夷禮禮儀不典非所以結信義故不録
秋而背之成求而不違	言魯成其所求無違逆也
四方諸侯其何以事君且魯賦八百乗君之貳也	貳敵也魯以八百乗之賦貢于呉言其國大
邾賦六百乗君之私也	爲私屬
以私奉貳唯君圖之呉子從之	爲明年吴伐我傳
○宋人圍曹鄭栢子思曰宋人有曹鄭之患也不可以不救	桓謚
冬鄭師救曹侵宋初曹人或夢衆君子立于社宫	社宫社也
而謀亡曹曹叔振鐸請待公孫彊許之	振鐸曹始祖鐸待洛切彊其良切
且而求之曹無之戒其子曰我死爾聞公孫彊爲政必去之及曹伯陽即位好田弋曹鄙人公孫彊好弋獲白鴈獻之且言田弋之說說之因訪政事大說之有寵使爲司城以聽政夢者之子乃行彊言霸說於曹伯曹伯從之乃背晉而奸宋宋人伐之晉人不救築五邑於其郊曰黍丘揖丘大城鍾䢴	爲明年入曹傳也梁國下邑縣西南有黍丘亭好呼報切弋以職切繳射也上說如字下說音恱䢴大說同霸說如字又始銳切奸音干揖音集又於入切邘音干
經八年春王正月宋公入曹以曹伯陽歸	曹人背晉而奸宋是以致討宋公旣還而不忍禇師之詬怒而反兵一舉滅曹滅非本志故以入告禇中吕切詬呼豆切
○呉伐我○夏齊人取讙及闡	不書伐兵未加而魯與之邑闡在東平剛縣北讙音歡闡尺善切
○歸邾子益于邾○秋七月○冬十有二月癸亥𣏌伯過卒	無傳未同盟而赴以名過古禾切
○齊人歸讙及闡	不言來命歸之無旨使也使所吏切
傳八年春宋公伐曹將還禇師子肥殿	子肥宋大夫殿丁練切
曹人詬之不行	詬辱詈也不行殿兵止也詬本又作訽呼豆切詈力智切
師待之公聞之怒命反之遂滅曹執曹伯及司城彊以歸殺之	終曹人之夢
○呉爲邾故將伐魯問於叔孫輒	問可伐不輒故魯人爲于僞切
叔孫輒對曰魯有名而無情	有大國名無情實
伐之必得志焉退而告公山不狃	不狃亦故魯人狃女九切
公山不狃曰非禮也君子違不適讎國	違奔亡也
未臣而有伐之奔命焉死之可也	未臣所適之國告有伐本國者則可還奔命死其難難乃且切
所託也則隱	曽所因託則爲之隱惡曽在増切
且夫人之行也不以所惡廢郷	不以其私怨惡廢棄其郷黨之好夫音扶行下孟切又如字惡烏路切又如字好呼報切下好焉同
今子以小惡而欲覆宗國不亦難乎	輒魯公族故謂之宗國覆芳服切
若使子率子必辭王將使我子張病之	子張輙也
王問於子洩	子洩不狃洩息列切又作泄
對曰魯雖無與立	緩時若無能自立
必有與斃	急則人人知懼皆將同死戰斃婢丗切
諸侯將救之未可以得志焉晉與齊楚輔之是四讎也	與魯而四
夫魯齊晉之脣脣亡齒寒君所知也不救何爲三月呉伐我子洩率故道險從武城	故由險道欲使魯成備釋文子洩率絶句故道險絶句
初武城人或有因於呉竟田焉	僑田呉界竟音境僑其驕切
拘鄫人之漚菅者曰何故使吾水滋	鄫人亦僑田呉滋濁也拘音俱漚烏豆切管古顔切滋音玄本亦作兹子絲切字林云黒也
及呉師至拘者道之以伐武城克之	鄫人敎呉必可克道音導
王犯甞爲之宰澹臺子羽之父好焉國人懼	王犯呉大夫故甞奔魯爲武城宰澹臺子羽武城人孔子弟子也其父與王犯相善國人懼其爲内應澹待甘切應應對之應
懿子謂景伯若之何對曰呉師來斯與之戰何患焉且召之而至又何求焉	言犯盟伐邾所以召呉
呉師克東陽而進舍於五梧明日舎於𧖟室	二邑魯地
公賔庚公甲叔子與戰于夷獲叔子與析朱鉏	公賔庚公甲叔子并析朱鉏爲三人皆同車傳互言之析星曆切
獻於王王曰此同車必使能國未可望也	同車能俱死是國能使人故不可望得
明日舎于庚宗遂次於泗上微虎欲宵攻王舎	微虎魯大夫泗音四
私屬徒七百人三踊於幕庭	於悵前設格令士試躍之篇音燭幕亡博切格更百切令力呈切躍羊灼切
卒三百人有若與焉	卒終也終得三百人任行有若孔子弟子與在三百人中與音預任音壬
及稷門之内	三百人行至稷門
或謂季孫曰不足以害呉而多殺國士不如巳也乃止之呉子聞之一夕三遷	畏微虎三息暫切
呉人行成	求與魯成
將盟景伯曰楚人圍宋易子而食析骸而爨	在宣十五年骸戸皆切本又作骨爨七亂切
猶無城下之盟我未及虧而有城下之盟是棄國也呉輕而逺不能乆將歸矣請少待之弗從景伯負載造於萊門	以言不見從故負載書將欲出盟虧去危切輕遣政切載如字或音戴造七報切萊音來
乃請釋子服何於呉呉人許之以王子姑曹當之而後止	釋舎也魯人不以盟爲了欲因留景伯爲質於呉旣得呉之許復求呉王之子以交質呉人不欲留王子故遂兩止質音致復扶又切
呉人盟而還	不書盟恥吳夷
○齊悼公之來也	在五年
季康子以其妹妻之即位而逆之季魴侯通焉	魴侯康子叔父妻七計切魴音房
女言其情弗敢與也齊侯怒夏五月齊鮑牧帥師伐我取讙及闡○或譛胡姬於齊侯	胡姬景公妾
曰安孺子之黨也六月齊侯殺胡姬	傳言齊侯無道所以不終
○齊侯使如呉請師將以伐我乃歸邾子	齊未得季姬故請師也呉前爲邾討魯懼二國同心故歸邾子爲于僞切
邾子又無道呉子使大宰子餘討之	子餘大宰嚭
囚諸樓臺栫之以棘	栫雍也栫本又作荐在薦切雍於勇切
使諸大夫奉大子革以爲政	革邾大子桓公也爲十年邾子來奔傳
○秋及齊平九月臧賔如如齊涖盟	賔如臧㑹子
齊閭丘明來涖盟	明閭丘嬰之子也盟不書諱略之
且逆季姬以歸嬖	季姬魴侯所通者
○鮑牧又謂羣公子曰使女有馬千乗乎	有馬千乗使為君也鮑牧本不欲立陽生故諷動羣公子女音汝乗繩證切諷方鳯切
公子愬之公謂鮑子或譛子子姑居於潞以察之	路齊邑愬音素潞音路
若有之則分室以行若無之則反子之所出門使以三分之一行半道使以二乗及潞麇之以入遂殺之	麇亦束縛麇丘隕切
○冬十二月齊人歸讙及闡季姬嬖故也經九年春王二月葬杞僖公	無傳三月而葬速
○宋皇瑗帥師取鄭師于雍丘	書取覆而敗之雍丘縣屬陳留雍於勇切
○夏楚人伐陳○秋宋公伐鄭○冬十月傳九年春齊侯使公孟綽辭師于呉	齊與魯平故辭呉師綽昌灼切本又作卓同
呉子曰昔歳寡人聞命今又革之不知所從將進受命於君	爲十年呉伐齊傳
○鄭武子䞉之嬖許瑕求邑無以與之	賸罕達也殺武子之屬賸以證切
請外取許之	瑕請取於他國
故圍宋雍丘宋皇瑗圍鄭師	許瑕師
毎日遷舎	作壘塹成輒徒舎合其圍壘力軌切塹七豔切
壘合鄭師哭子姚救之大敗	子姚武子賸也
二月甲戌宋取鄭師子雍丘使有能者無死	惜其能也
以郟張與鄭羅歸	鄭之有能者郟古洽切又音甲
○夏楚人伐陳陳即呉故也○宋公伐鄭	報雍丘
○秋呉城䢴溝通江淮	於䢴江築城穿溝東北通射陽湖西北至末口入淮通糧道也今廣陵韓江是䢴音寒射食亦切又音亦
○晉趙鞅卜救鄭遇水適火	水火之兆
占諸史趙史墨史龜	皆晉史
史龜曰是謂沈陽	火陽得水故沈
可以興兵	兵隂類也故可以興兵
利以伐姜不利子商	姜齊姓子商謂宋
伐齊則可敵宋不吉史墨曰盈水名也子水位也	趙鞅姓盈宋姓子水盈坎乃行子姓又得北方水位
名位敵不可干也	二水俱盛言不可干
故炎帝爲火師	神農有火瑞以火名官
姜姓其後也水勝火伐姜則可史趙曰是謂如川之滿不可游也	旣盈而得水位故爲如川之滿不可馮游言其波流成㳺音由馮皮氷切
鄭方有罪不可救也	鄭以嬖寵伐人故以爲有罪
救鄭則不吉不知其他	救鄭則當伐宋故不吉也
陽虎以周易筮之遇泰䷊	乾下坤上泰
之需䷄	乾下坎上需泰六五變需音須
曰宋方吉不可與也	不可與戰泰六五曰帝乙歸妹以祉元吉帝乙紂父五爲天子故稱帝乙隂而得中有似王者嫁妹得如其願受福禄而大吉祉音恥
微子啓帝乙之元子也宋鄭甥舅也	宋鄭爲昏姻甥舅之國宋爲微子之後今卜得帝乙之卦故以爲宋吉
祉禄也若帝乙之元子歸妹而有吉禄我安得吉焉乃止	吉在彼則我伐之爲不吉
○冬呉子使來儆師伐齊	前年齊與呉謀伐魯齊旣與魯成而止故呉恨之反與魯伐齊儆音景
經十年春王二月○邾子益來奔○公㑹呉伐齊	書㑹從不與謀與音預
○三月戊戌齊侯陽生卒	以疾赴故不書弑弑申志切
○夏宋人伐鄭	無傳
○晉趙鞅帥師侵齊○五月公至自伐齊	無傳
○葬齊悼公	無傳
○衛公孟彄自齊歸于衛	無傳書歸齊納之彄苦侯切
○薛伯夷卒	無傳赴以名故書
○秋葬薛惠公	無傳
○冬楚公子結帥師伐陳○呉救陳	季子不書陳人來告不以名
傳十年春邾隱公來奔齊甥也故遂奔齊	終子貢之言
○公㑹呉子邾子郯子伐齊南鄙師于鄎	鄎齊地邾郯不書兵并屬呉不列於諸侯郯音談鄎音息注同并必政切
齊人弑悼公赴于師	以說呉弑申志切
呉子三日哭于軍門之外徐承師舟師將自海入齊齊人敗之呉師乃還	承呉大夫
○夏趙鞅帥師伐齊	經書侵以侵告
大夫請卜之趙孟曰吾卜於此起兵	謂往歳卜伐宋不吉利以伐姜故今興兵
事不再令	再令瀆也
卜不襲吉	襲重也重直龍切又直用切
行也於是乎取犂及轅	犂一名隰濟南有隰隂縣祝阿縣西有轅城犂力兮切又力之切轅音袁又于眷切隰音習本或作濕音同
毀髙唐之郭侵及頼而還○秋呉子使來復儆師	伐齊未得志故爲明年呉伐齊傳復扶又切
○冬公子期伐陳	陳即呉故
呉延州來季子救陳謂子期曰二君不務德	二君呉楚
而力爭諸侯民何罪焉我請退以爲子名務德而安民乃還	季子呉王壽夢少子也壽夢以襄十二年卒至今十千七歳壽夢卒季子巳能讓國年當十五六至今蓋九十餘夢音蒙少詩照切
經十有一年春齊國書帥師伐我○夏陳轅頗出奔鄭	書名貪也頗破可切又普河切
○五月公㑹呉伐齊○甲戌齊國書帥師及呉戰于艾陵齊師敗績獲齊國書	公與伐而不與戰艾陵齊地女五蓋切與音預
○秋七月辛酉滕子虞母卒	無傳赴以名故書之
○冬十有一月葬滕隱公	無傳
○衛丗叔齊出奔宋	書名淫也
傳十一年春齊爲鄎故	鄎在前年爲于僞切
國書髙無㔻帥師伐我及清	清濟地濟北盧縣東有清亭㔻普悲切
季孫謂其宰冉求	冉求魯人孔子弟子
曰齊師在清必魯故也若之何求曰一子守二子從公禦諸竟季孫曰不能	自度力不能使二子禦諸竟守手又切從才用切禦魚吕切亦作御竟音境度待洛切
求曰居封疆之間	封疆竟内近郊之地疆居良切
季孫告二子	二子叔孫孟孫也
二子不可求曰若不可則君無岀一子帥師背城而戰不屬者非魯人也	屬臣屬也言不戰爲不臣
魯之羣室衆於齊之兵車	羣室都邑居家
一室敵車優矣子何患焉二子之不欲戰也冝政在季氏	言二子恨季氏專政故不盡力釋文二子之不欲戰也冝絶句
當子之身齊人伐魯而不能戰子之恥也大不列於諸侯矣季孫使從於朝	使冉求隨已之公朝
俟於黨氏之溝	黨氏溝朝中地名黨音掌
武叔呼而問戰焉	問冉求
對曰君子有逺慮小人何知懿子彊問之對曰小人慮材而言量力而共者也	言子所問非已材力所及故不能言彊其丈切共音恭
武叔曰是謂我不成丈夫也	知冉求非已不欲戰故不對不成丈夫也本或作大夫非
退而蒐乗	蒐閱蒐所求切乗繩證切閱音恱
孟孺子洩帥右師	孺子孟懿子之子武伯彘孺而住切彘直材切
顔羽御邴洩爲右	二子孟氏臣邴音丙又彼命切
冉求帥左師管周人御樊遟爲右	樊遟魯人孔子弟子樊須父音甫
季孫曰須也弱有子曰就用命焉	雖年少能用命有子冉求也少詩照切
季氏之甲七千冉有以武城人三百爲已徒卒	歩卒精兵卒子忽切
老幼守宫次于雩門之外	南城門也雩音于
五日右師從之	五日乃從言不欲戰
公叔務人	務人公爲昭公子
見保者而泣	保守城者
曰事充	繇役煩繇本亦作徭同音遥
政重	賦務多
上不能謀士不能死何以治民吾旣言之矣敢不勉乎	旣言人不能死已不敢不死
師及齊師戰于郊齊師自稷曲	稷曲郊地名
師不踰溝樊遟曰非不能也不信子也請三刻而踰之	與衆三刻約信
如之衆從之	如樊遟言乃踰溝
師入齊軍	冉求之師
右師奔齊人從之	逐右師
陳瓘陳莊渉泗	二陳齊大夫瓘古喚切泗音四
孟之側後入以爲殿	之側孟氏族也子反殿丁練切
抽矢䇿其馬曰馬不進也	不欲伐善抽勑留切䇿初革切本或作筴
林不狃之伍曰走乎	不狃魯士五人爲伍敗而欲走
不狃曰誰不如	我不如誰而欲走如如字又而庶切
曰然則止乎不狃曰惡賢	言止戰惡足爲賢皆無戰志惡音烏
徐歩而死	徐行而死言魯非狃壯士俱季孫不能使
師獲甲首八十	冉求所得
齊人不能師	不能整其師
宵諜曰齊人遁	諜間也諜音牒遁徒困切間間廁之間
冉有請從之三季孫弗許孟孺子語人曰我不如顔羽而賢於邴洩	三子與孟孺子同車語魚據切
子羽銳敏	子羽顔羽銳精也敏疾也言欲戰
我不欲戰而能黙	心雖不欲口不言奔黙本亦作嘿亡北切
洩曰驅之	言驅馬欲奔
公爲與其嬖僮汪錡乗皆死皆殯	皆俱也嬖必計切僮本亦作童音同江烏黃切錡魚綺切乗繩證切
孔子曰能執干戈以衛社稷可無殤也	時人疑童子當殤殤音商八歳至十九歳爲殤
冉有用矛於齊師故能入其軍孔子曰義也	言能以義勇不書戰不皆陳也不書敗勝負不殊矛亡侯切陳直覲切
○夏陳轅頗出奔鄭初轅頗爲司徒賦封田以嫁公女	封内之田悉賦稅之
有餘以爲己大器	大器鍾鼎之屬
國人逐之故出道渴其族轅咺進稻醴梁糗腵脯焉	糗乾飯也咺況阮切醴音禮以稻米爲醴酒糗起九切以梁米爲之又昌紹切腵丁亂切字亦作銀如薑桂日脯也
喜曰何其給也對曰器成而具	具此醴糗
曰何不吾諫對曰懼先行	恐言不從先見逐
○爲郊戰故公㑹呉子伐齊	欲以報也爲于僞切
五月克博壬申至于嬴	博嬴齊邑也一縣皆屬泰山嬴音盈
中軍從王	呉中軍
胥門巢將上軍王子姑曹將下軍展如將右軍	三將呉大夫
齊國書將中軍髙無㔻將上軍宗樓將下軍陳僖子謂其弟書爾死我必得志	書子占也欲獲死事之功
宗子陽與閭丘明相厲也	相對厲至死子陽宗樓也
桑掩胥御國子	國子國書
公孫夏曰二子必死	亦勸勉之夏戸稚切
將戰公孫夏命其徒歌虞殯	虞殯送葬歌曲示必死殯必刃切
陳子行命其徒具含玉	子行陳逆也具含玉亦示必死行如字又戸郎切含戸暗切本又作唅
公孫揮命其徒曰人尋約呉髮短	約繩也八尺爲尋呉髪短欲以繩貫其首揮許韋切
東郭書曰三戰必死於此三矣	三戰夷儀五氏與今
使問弦多以琴	弦多齊人也六年奔魯問遺也遺唯季切
曰吾不復見子矣	言將死戰
陳書曰此行也吾聞鼔而巳不聞金矣	鼔以進軍金以退軍不聞金言將死也傳言呉師疆齊人皆自知將敗
甲戌戰于艾陵展如敗髙子	齊上軍敗
國子敗胥門巢	呉上軍亦敗
王卒助之大敗齊師獲國書公孫夏閭丘明陳書東郭書革車八百乗甲首三千以獻于公	公以兵從故以勞公卒子忽切乗䋲證切從才用切又如字勞力報切
將戰呉子呼叔孫	叔孫武叔州仇
曰而事何也	問何職
對曰從司馬	從呉司馬所命
王賜之甲劒鈹曰奉爾君事敬無廢命叔孫未能對衛賜進	賜子貢孔子弟子鈹普悲切
曰州仇奉甲從君而拜	拜受之
公使大史固歸國子之元	歸於齊也元首也呉以獻魯
寘之新篋褽之以玄纁	褽薦也寘之䜴切篋苦協切褽音尉或作褽以玄纁纁許云切本亦作勲
加組帶焉寘書于其上曰天若不識不衷何以使下國	言天識不善故殺國子組音祖衷音忠
呉將伐齊越子率其衆以朝焉王及列士皆有饋賂呉人皆喜唯子胥懼曰是豢呉也夫	豢養也若人養犧徃非愛之將殺之饋其位切或作餽賂音路豢音患夫音扶
諫曰越在我心腹之疾也壤地同而有欲於我	欲得呉
夫其柔服求濟其欲也不如早從事焉	從事擊之
得志於齊猶獲石田也無所用之	石田不可耕
越不爲沼呉其泯矣使醫除疾而曰必遺類焉者未之有也盤庚之誥曰其有顚越不共則劓殄無遺育無俾易種于兹邑	盤庚商書也顚越不共從橫不承命者也劓割也殄絶也育長也俾使也易種轉生種類沼之兆切泯亡軫切盤歩干切誥古報切共音恭注同劓魚器切殄大典切俾必耳切種章勇切從子容切長丁丈切
是商所以興也今君易之將以求大不亦難乎弗聽使於齊屬其子於鮑氏爲王孫氏	私使人至齊屬其子改姓爲王孫欲以辟呉禍使所吏切屬音燭下同
反役王聞之使賜之屬鏤以死	艾陵役也屬鏤劒名鏤力俱切又力侯切
將死曰樹吾墓檟檟可材也呉其亡乎三年其始弱矣盈必毀天之道也	越人朝之伐齊勝之盈之極也爲十三年越伐呉起檟古雅切木名
○秋季孫命脩守備曰小勝大禍也齊至無曰矣	善有備守手又切
○冬衛大叔疾出奔宋	疾即齊也
初疾娶于宋子朝	子朝宋人仕衛爲大夫朝如字
其娣嬖	娣所娶女之娣
子朝出	出奔
孔文子使疾出其妻而妻之疾使侍人誘其初妻之娣寘於犂	犂衛邑妻七計切犂力兮切
而爲之一宫如二妻文子怒欲攻之仲尼止之遂奪其妻或淫于外州外州人奪之軒以獻	外州衛邑軒車也以獻於君
恥是二者故出衛人立遺使室孔姞	遺疾之弟孔姞孔文子之女疾之妻姞其乙切又其吉切
疾臣向魋	爲宋向魋臣魋徒囬切
納美珠焉與之城鉏	城鉏宋邑
宋公求珠魋不與由是得罪及桓氏出	出在十四年
城鉏人攻大叔疾衛莊公復之	聽使還
使處巢死焉殯於鄖葬於少禘	終言疾之失所也巢鄖少禘皆衛地鄖音云少詩照切禘大計切
初晉悼公子憖亡在衛使其女僕而田	僕御田獵憖魚覲切一作整征領切
大叔懿子止而飲之酒	㦤子大叔儀之孫飲於鴆切
遂聘之生悼子	悼子大叔疾聘匹政切
悼子即位故夏戊爲大夫	夏戊悼子之甥夏戸雅切戊音茂
悼子亡衛人翦夏戊	翦削其爵邑
孔文子之將攻大叔也訪於仲尼仲尼曰胡簋之事則甞學之矣	胡簋禮器名夏曰胡周曰簋簋音軌
甲兵之事未之聞也退命駕而行曰鳥則擇木木豈能擇鳥	以鳥自喻
文子遽止之曰圉豈敢度其私訪衛國之難也	圍文子名度謀也遽其據切度待洛切下同難乃旦切
將止	仲尼止
魯人以幣召之乃歸	於是自衛反魯樂正雅頌各得其所
○季孫欲以田賦	丘賦之法因其田財通出馬一疋牛三頭今欲別其田及家時各爲一賦故言田賦别如字又彼列切
使冉有訪諸仲尼仲尼曰丘不識也三發	三發問
卒曰	卒終也
子爲國老待子而行若之何子之不言也仲尼不對	不公荅
而私於冉有曰君子之行也	行政事
度於禮施取其厚事舉其中斂從其薄如是則以丘亦足矣	丘十六井出戎馬一疋牛三頭是賦之常法施尸䜴切斂力豔切
若不度於禮而貪冒無厭則雖以田賦將又不足且子季孫若欲行而法則周公之典在若欲苟而行又何訪焉弗聽	爲明年用田賦傳冒亡北切又莫報切厭於鹽切
經十有二年春用田賦	直書之者以示改法重賦
○夏五月甲辰孟子卒	魯人諱娶同姓謂之孟子春秋不改所以順時娶本或作取七喻切又如字
○公㑹呉于橐臯	橐臯在淮南逡遒縣東南槖章夜切一音託逡音峻又七倫切道音囚又音廵
○秋公㑹衛侯宋皇瑗于鄖	鄖發陽也廣陵海陵縣東南有發繇口繇音遥
○宋向巢帥師伐鄭○冬十有二月螽	周十二月今十月是歳置閏而失不置雖書十二月實今之九月司歷誤一月九月之初尚温故得有螽螽音終
傳十二年春王正月用田賦	終前年事
○夏五月昭夫人孟子卒昭公娶于呉故不書姓	諱娶同姓故謂之孟子若宋女
死不赴故不稱夫人	不稱夫人故不言薨
不反哭故不言葬小君	反哭者夫人禮也以同姓故不成其夫人喪
孔子與弔適季氏季氏不絻放絰而拜	孔子始老故與弔也絻喪冠也孔子以小君禮往弔季孫不服喪故去絰從主節制與音預絻音問絰大結切去起吕切
○公㑹呉于橐臯呉子使太宰嚭請尋盟	尋鄫盟
公不欲使子貢對曰盟所以周信也	周固
故心以制之	制其義
玉帛以奉之	奉贄明神贄音至
言以結之	結其信
明神以要之	要以禍福要一還切
寡君以爲苟有盟焉弗可改也巳若猶可改日盟何益今吾子曰必尋盟若可尋也亦可寒也	尋重也寒歇也重直龍切歇許謁切
乃不尋盟○呉徴㑹于衛初衛人殺呉行人且姚而懼謀於行人子羽	子羽衛大夫且子餘切
子羽曰呉方無道無乃辱吾君不如止也子木曰呉方無道	子木衛大夫
國無道必棄疾於人呉雖無道猶足以患衛	爲衛患也
往也長木之斃無不摽也	摽擊斃婢丗切摽敷蕭切又普交切
國狗之瘈無不噬也	瘈狂也噬齧也狗音苟瘈吉丗切噬市制切齧五結切或作嚙
而況大國乎秋衛侯㑹呉于鄖公及衛侯宋皇瑗盟	盟不書畏呉竊盟
而卒辭呉盟呉人藩衛侯之舎	藩籬藩方元切籬力知切
子服景伯謂子貢曰夫諸侯之㑹事旣畢矣侯伯致禮地主歸餼	侯伯致禮以禮賔也地主所㑹主人也餼生物餼許氣切
以相辭也	各以禮相辭讓
今呉不行禮於衛而藩其君舎以難之	難苦困也難乃且切
子盍見大宰乃請束錦以行	以賂呉盍戸臘切
語及衛故	若本不爲衛請者爲于僞切
大宰嚭曰寡君願事衛君衛君之來也緩寡君懼故將止之	止執
子貢曰衛君之來必謀於其衆其衆或欲或否是以緩來其欲來者子之黨也其不欲來者子之讎也若執衛君是墮黨而崇讎也	墮毀也墮許規切下同
夫墮子者得其志矣且合諸侯而執衛君誰敢不懼墮黨崇讎而懼諸侯或者難以霸乎大宰嚭說乃舎衛侯衛侯歸效夷言子之尚幼	子之公孫彌牟說音恱下同舎音捨釋也又音赦效戸敎切
曰君必不免其死於夷乎執焉而又說其言從之固矣	出公輒後卒死於越
○冬十二月螽季孫問諸仲尼仲尼曰丘聞之火伏而後蟄者畢	火心星也火伏在今十月蟄直立切
今火猶西流司歷過也	猶西流言未盡没如是九月歷官失一閏釋例論之備
○宋鄭之間有隙地焉	隙地間田隙去逆切間音閑一本作間地又如字
曰彌作頃丘玉暢嵒戈錫	凡六邑彌亡支切又亡爾切頃苦潁切又音傾暢勑亮切一本作壬暢嵒五咸切戈古禾切錫音羊又星歷切
子産與宋人爲成曰勿有是	俱棄之
及宋平元之族自蕭奔鄭	在定十五年
鄭人爲之城嵒戈錫	城以處平元之族爲于僞切
九月宋向巢伐鄭取錫殺元公之孫遂圍嵒十二月鄭罕達救嵒丙申圍宋師	此事經在十二月螽上今倒在下更具列其月以爲别者丘明本不以爲義例故不皆齊同别如字又彼列切
經十有三年春鄭罕達帥師取宋師于嵒	書取覆而敗之
○夏許男成卒	無傳成音城本或作戍
○公㑹晉侯及呉子于黃池	陳留卦丘縣南有黄亭近濟水夫差欲霸中國尊天子自去其僭號而稱子以告今諸侯故吏承而書之近附近之近去起吕切僭子念切
○楚公子申帥師伐陳	無傳
○於越入呉○秋公至自㑹	無傳
○晉魏曼多帥師侵衛	無傳
○葬許元公	無傳
○九月螽	無傳書災
○冬十有一月有星孛于東方	無傳平且衆星皆没而孛乃見故不言所在之次孛歩内切見賢遍切
○盗殺陳夏區夫	無傳稱盗非大夫夏戸侯切區烏侯切
○十有二月螽	無傳前年季孫雖聞仲尼之言而不正歷失閏至此年故復十二月螽實十一月復扶又切
傳十三年春宋向魋救其師	救前年國嵒師
鄭子賸使徇曰得桓魋者有賞魋也逃歸遂取宋師于嵒獲成讙郜延	二子宋大夫讙火官切郜古報切又古毒切
以六邑爲虚	空虚之名不有虚如字或音墟非
○夏公㑹單平公晉定公呉夫差于黃池	平公周卿士也不書尊之不與㑹單音善與音預
○六月丙子越子伐呉爲二隧	隧道也隧音遂
疇無餘謳陽自南方	二子越大夫謳烏侯切
先及郊呉大子友王子地王孫彌庸壽於姚自泓上觀之	觀越師泓水名泓烏宏切
彌庸見姑蔑之旗	姑蔑越地今東陽大末縣蔑亡結切旗音其大音泰孟康云大音闥
曰吾父之旗也	彌庸父爲越所獲故姑蔑人得其旌旗
不可以見讎而弗殺也大子曰戰而不克將亡國請待之彌庸不可屬徒五十	屬㑹也屬音燭
王子地助之乙酉戰彌庸獲疇無餘地獲謳陽越子至王子地守丙戌復戰大敗呉師獲大子友王孫彌庸壽於姚	地守故不獲守手又切復抶又切
丁亥入呉呉人告敗于王王惡其聞也	惡諸侯聞之惡烏路切
自剄七人於幕下	以絶口剄古項切
○秋七月辛丑盟呉晉爭先	爭㰱血先後㰱所洽切又所甲切
呉人曰於周室我爲長	呉爲大伯後故爲長長丁丈切大音泰
晉人曰於姬姓我爲伯	爲侯伯
趙鞅呼司馬寅	寅晉大夫
曰日旰矣	旰晚矣旰古旦切
大事未成二臣之罪也	太事盟也二臣鞅與寅
建鼓整列二臣死之長幼必可知也對曰請姑視之反曰肉食者無墨	墨氣色下
今呉王有墨國勝乎	國爲敵所勝
大子死乎且夷德輕不忍乆請少待之	少待無與爭輕遣政切
乃先晉人	盟不書諸侯恥之故不録
呉人將以公見晉侯子服景伯對使者曰王合諸侯則伯帥侯牧以見於王	伯王官伯侯牧方伯上見如字又賢遍切使所吏切下見賢遍切
伯合諸侯則侯帥子男以見於伯	伯諸侯長
