春秋經傳集解僖下第七杜氏盡三十三年經二十有七年春杞子來朝〇夏六月庚寅齊侯昭卒	十九年與魯大夫盟于齊
其南陵夏后臯之墓也	臯夏桀之祖父夏戸雅切臯古刀切
其北陵文王之所辟風雨也	此道在二殽之間南谷中谷深委曲兩山相嶔故可以辟風雨古道由此魏武帝西討巴漢惡其險而更開北山高道辟音避谷古木切又音欲嶔許金切又音欽本或作嵐力含切惡烏路切
必死是閒	以其深險故
余收爾骨焉秦師遂東	爲明年晉敗秦于殽傳爲于僞切
經三十有三年春王二月秦人入滑	滅而書入不能有其地
齊侯使國歸父來聘○夏四月辛巳晉人及姜戎敗秦師于殽	晉侯諱背喪用兵故通以賤者告姜戎姜姓之戎居晉南鄙戎子駒支之先也晉人角之諸戎掎之不同陳故言及背音偑掎居綺切陳直覲切
癸巳葬晉文公狄侵齊公伐邾取訾婁秋公子遂帥師伐邾晉人敗狄干箕	大原陽邑縣南有箕城郤缺稱人者未爲卿
〇冬十月公如齊十有二月公至自齊乙巳公薨于小寢	小寢內寢也乙巳十一月十二日經書十二月誤
隕霜不殺草李梅實	無傳書時失也周十一月今九月霜當微而重重而不能殺草所以爲災隕于敏切
〇晉人陳人鄭人伐許傳三十三年春秦師過周北門左右免胄而下	王城之比門胄兠鍪兵車非大將御者在中故左右下御不下胄直救切兠丁侯切鍪亡侯切將子匠切
超乗者三百乗王孫滿尚幼觀之言於王曰秦師輕而無禮必敗	謂過天子門不卷甲求兵超乗示勇乗䋲證切下及注皆同輕遣政切下同
輕則寡謀無禮則脫	脫易也脫他活切易以䜴切
入險而脫又不能謀能無敗乎及滑鄭商人弦髙將市於周遇之以乗韋先牛十二犒師	商行賈也乗四韋先韋乃入牛古者將獻遺於人必有以先之先悉薦切注有以先之同犒告報切賈音古遺唯季切
曰寡君聞吾子將歩師出於敝邑敢犒從者不腆敝邑爲從者之淹居則具一日之積	賟厚也淹乆也積芻米菜薪步師歩猶行也從才用切下同腆他典切爲于僞切下爲吾子同積子賜切注同
行則備一夕之衛且使遽告于鄭	遽傳車遽其據切傳張戀切
鄭穆公使視客館	視秦三大夫之舎
則束載厲兵秣馬矣	嚴兵待秦師秣音末榖馬也說文作䬴云食馬榖也
使皇武子辭焉曰吾子淹乆於敝邑唯是脯資餼牽竭矣	資糧也生曰餼牽謂牛羊豕餼許氣切牲腥曰餼牲生曰牽
爲吾子之將行也	示知其情
鄭之有原圃猶秦之有具囿也	原圃具囿皆囿名圃布古切
吾子取其麋鹿以閒敝邑若何	使秦戌自取麋鹿以爲行資令敝邑得閒睱若何猶如何熒陽中牟縣西有圃田澤麋亡悲切閒音閑注同令力呈切
杞子奔齊逢孫揚孫奔宋孟明曰鄭有備矣不可冀也攻之不克圍之不繼吾其還也滅滑而還○齊國莊子來聘自郊勞至于贈賄禮成而加之以敏	迎來曰郊勞送去曰贈賄敏蕃當於事勞力報切注同賄呼罪切當丁浪切又如字
臧文仲言於公曰國子爲政齊猶有禮君其朝焉臣聞之服於有禮社稷之衛也	爲公如齊傳
〇晉原軫曰秦違蹇叔而以貪勤民天奉我也	奉與也奉扶用切注及下同
奉不可失敵不可縱縱敵患生違天不祥必伐秦師欒枝曰未報秦施而伐其師其爲死君乎	言以君死故忘秦施縱子用切下同施始䜴切注及下同
先軫曰秦不哀吾喪而伐吾同姓秦則無禮何施之爲	言秦以無禮加己施不足顧
吾聞之一日縱敵數世之患也謀及子孫可謂死君乎	言不可謂背君數所主切背音佩
遂發命遽興姜戎子墨衰絰	晉文公未葬故襄公稱子以凶服從戎故墨之衰七雷切絰直結切
梁弘御戎萊駒爲右夏四月辛巳敗秦師于殽獲百里孟明視西乞術白乙丙以歸遂墨以葬文公晉於是始墨	後遂常以爲俗記禮所由變萊音來
文嬴請三帥	文嬴晉文公始適秦秦穆公所妻夫人襄公嫡母三帥孟明等嬴音盈帥所類切注同妻七計切嫡丁歷切
曰彼實構吾二君寡君若得而食之不厭君何辱討焉使歸就戮于秦以逞寡君之志若何公許之先軫朝問秦囚公曰夫人請之吾舎之矣先軫怒曰武夫力而拘諸原婦人暫而免諸國	暫猶卒也厭於豔切又於鹽切戮音六逞勑領切拘音俱卒寸忽切
墮軍實而長宼讎亡無日矣	墮毁也墮許規切長丁丈切
不顧而唾公使陽處父追之及諸河則在舟中矣釋左驂以公命贈孟明	欲使還拜謝因而執之唾他卧切驂七南切
孟明稽首曰君之惠不以纍臣釁鼔	纍囚繫也殺人以血塗鼔謂之釁鼓纍律追切釁許覲切
使歸就戮于秦寡君之以爲戮死且不朽若從君惠而免之三年將拜君賜	意欲報伐晉
秦伯素服郊次	待之於郊
郷師而哭曰孤違蹇叔以辱二三子孤之罪也不替孟明孤之過也大夫何罪且吾不以一眚掩大德	眚過也郷許亮切替他計切眚所景切掩於檢切
〇狄侵齊因晉喪也〇公伐邾取訾婁以報升陘之役	在二十二年
邾人不設備秋襄仲復伐邾	魯亦因晉喪以陵小國復扶又切
〇狄伐晉及箕八月戊子晉侯敗狄于箕郤缺獲白狄子	白狄狄别種也故西河郡有白部胡箕音基種章勇切
先軫曰匹夫逞志於君	謂不顧而唾
而無討敢不自討乎免胄入狄師死焉狄人歸其元	元首
面如生	言其有異於人
初臼季使過冀見冀缺耨其妻饁之	臼季胥臣也冀晉邑耨鋤也野饋曰饁臼其九切使所吏切過古禾切耨乃豆切饁于輒切字林于劫切鋤本又作銀仕居切饋其位切餉也
敬相待如賔與之歸言諸文公曰敬德之聚也能敬必有德德以治民君請用之臣聞之出門如賔	如見大賔
承事如祭	常謹敬也
仁之則也公曰其父有罪可乎	缺父冀芮欲殺文公在二十四年芮如銳切殺音試或如字
對曰舜之罪也殛鯀其舉也興禹	禹鯀子殛經力切誅也鯀古本切
管敬仲桓之賊也實相以濟康誥曰父不慈子不不祗兄不友弟不共不相及也	康誥周書袛敬也相息亮切共音恭
詩曰采葑采菲無以下體君取節焉可也	詩國風也葑菲之葉上善下惡食之者不以其惡而弃其善言可取其善節葑芳逢切菲芳匪切
文公以爲下軍大夫反自箕襄公以三命命先且居將中軍	且居先軫之子其父死敵故進之且子徐切將子匠切
以再命命先茅之縣賞胥臣曰舉郤缺子之功也	先茅絶後故取其縣以賞胥臣
以一命命郤缺爲卿復與之冀	還其父故邑復扶又切又音服
亦未有軍行	雖登卿位未有軍列行戸剛切
〇冬公如齊朝且弔有狄師也反薨于小寢即安也	小寢夫人寢也譏公就所安不終于路寢
○晉陳鄭伐許討其貳於楚也楚令尹子上侵陳蔡陳蔡成遂伐鄭將納公子瑕	三十一年瑕奔楚
門于桔柣之門瑕覆于周氏之汪	車傾覆池水中桔戸結切秩大結切覆芳服切注同汪烏黃切
外僕髠屯禽之以獻	殺瑕以獻鄭伯髠苦門切屯徒門切
文夫人斂而葬之鄶城之下	鄭文公夫人也鄶城故鄶國在榮陽密縣東北傳言穆公所以遂有國歛力豔切鄶古外切
〇晉陽處父侵蔡楚子上救之與晉師夾泜而軍	泜水出魯陽縣東經襄城定陵入汝夾古洽切一音古協切泜音雉又直里切王又徒死切
陽子患之使謂子上曰吾聞之丈不犯順武不違敵子若欲戰則吾退舎子濟而陳	欲辟楚使渡成陳而後戰陳直覲切注同
遲速唯命不然紓我	紓緩也紓音舒一音直吕切
老師費財亦無益也	師久爲老費芳味切
乃駕以待子上欲涉大孫伯曰不可晉人無信半渉而薄我悔敗何及不如紓之乃退舎	楚退欲使晉渡
陽子宣言曰楚師遁矣遂歸楚師亦歸大子商臣譖子上曰受晉賂而辟之楚之恥也罪莫大焉王殺子上	商臣怨子上止王立己故譖之遁徒困切
〇葬僖公緩	文公元年經書四月葬僖公僖公實以今年十一月薨并閏七月乃葬故傳云緩自此以下遂因說作主祭祀之事文相次也皆當次在經葬僖公下今在此簡編倒錯編必連切又音布干切倒丁老切
作主非禮也	文二年乃作主遂因葬文通譏之
凡君薨卒哭而祔祔而作主特祀於主	旣葬反虞則免喪故曰卒哭哭止也以新死者之神祔之於祖尸柩巳逺孝子思慕故造木主立几筵馬特用喪禮祭祀於寢不同之於宗廟言凡君者謂諸侯以上不通於卿大夫祔音附上時掌切
烝甞禘於廟	冬祭曰烝秋祭曰甞新主旣立特祀於寝則宗廟四時常祀自如舊也三年禮畢又大禘乃皆同於吉烝之承切禘大計切
春	_
秋	_
左	_
傳	_
卷	_
第	_
七	_
