樂記第十九	○陸曰鄭云名樂記者以其記樂之義
散軍而郊射左射貍首右射騶虞而貫革之射息也禆冕搢笏而虎賁之士說劔也祀乎明堂而民知孝朝覲然後諸侯知所以臣耕藉然後諸侯知所以敬五者天下之大教也	郊射爲射宫於郊也左東斈也右西斈也貍首騶虞所以歌爲莭也貫革射穿甲革也禆冕衣禆衣而冠冕也禆衣衮之属也搢猶挿也賁憤怒也文王之廟爲明堂制耕藉藉田也○郊射食亦反左射下右射同沈皆食夜反貍力之反騶側由反貫古乱反後同禆婢攴反搢音進笏音忽賁音奔注同孔安囯云虎賁若虎賁獸言其猛也說吐活反朝直遥反射穿食亦反衣禆衣上於旣反下如字而冠古乱反猶捷本亦作挿𥘉合反徐采㔹反憤扶粉反重言祀乎明堂二一見祭義○五者天下之大教也二又見祭義重意祭義耕藉所以教諸侯之養也朝覲所以教諸侯之臣也
食三老五更於大學天子袒而割牲執醬而饋執爵而酳冕而揔干所以教諸侯之弟也	三老五更互言之耳皆老人更知三德五事者也冕而揔干親在舞位也周名大斈曰東膠○食音嗣更古衡反注同大斈音㤗注大斈同饋其媿反酳音㣧又仕覲反弟大計反膠音交重言食三老五更於大斈至諸侯之弟也三祭義一
若此則周道四逹禮樂交通則夫武之遟乆不亦冝乎	言武遟乆爲重礼楽○夫音扶爲于僞反
君子曰禮樂不可斯湏去身致樂以治心則易直子諒之心油然生矣易直子諒之心生則樂樂則安安則乆乆則天天則神天則不言而信神則不怒而威致樂以治心者也	致猶深審也子讀如不子之子油然新生好貌也善心生則寡於利欲寡於利欲則楽矣志明行成不言而見信如天也不怒而見畏如神也楽由中岀故治心○易以䜴反下及注皆同子如字徐將吏反諒音亮油音由行下孟反
致禮以治躬則莊敬莊敬則嚴威	躬身也礼自外作故治身
心中斯湏不和不樂而鄙詐之心入之矣	鄙詐入之謂利欲生
外貌斯湏不莊不敬而易慢之心入之矣	易輕易也
故樂也者動於内者也禮也者動於外者也樂極和禮極順内和而外順則民瞻其顔色而弗與争也望其容貌而民不生易慢焉故徳煇動於内而民莫不承聽理發諸外而民莫不承順	徳煇顔色潤澤也理容貌之進止也○争争闘之争煇音輝
故曰致禮樂之道舉而錯之天下無難矣樂也者動於内者也禮也者動於外者也故禮主其減樂主其盈	礼主其减人所倦也楽主其盈人所歡也○錯本亦作措同七路反减胡斬反又古斬反注及下同
禮減而進以進爲文樂盈而反以反爲文	進謂自勉強也反謂自抑止也文猶羙也善也○強其丈反又其两反
禮減而不進則銷樂盈而不反則放故禮有報而樂有反	放淫声楽不能止也報讀曰褒猶進也○銷音消報依注讀曰褒音保毛反下同
禮得其報則樂樂得其反則安	得謂曉其義知其吉凶之㱕〇楽楽上音洛下音岳
禮之報樂之反其義一也	俱趍立於中不銷不放也重言自君子曰礼楽不可斯湏去身止其義一也一章五十八句見祭義
○夫樂者樂也人情之所不能免也樂必發於聲意形於動静人之道也聲音動静性術之變盡於此矣	免猶自止也人道人之所爲也性術言此岀於性也尽於此不可過○重言人之道也二一見中庸
故人不耐無樂樂不耐無形形而不爲道不耐無亂	形声音動静也耐古書能字也後丗変之此獨存焉古以能爲三台字○耐古能字下及注同合吐才反
先王耻其亂故制雅頌之聲以道之使其聲足樂而不流使其文足論而不息使其曲直繁瘠廉肉節奏足以感動人之善心而已矣不使放心邪氣得接焉是先王立樂之方也	流猶淫放也文萹辝也息猶銷也曲直歌之曲折也繁瘠㢘肉声之鴻殺也莭奏闋作進止所應也方道也○以道音導瘠在亦反肉如又反注同邪似嗟反折之設反鴻本亦作洪殺色界反徐所例反闋苦穴反重言是先王立楽之方也二重見下文
是故樂在宗廟之中君臣上下同聽之則莫不和敬在族長郷里之中長㓜同聽之則莫不和順在閨門之内父子兄弟同聽之則莫不和親故樂者審一以定和比物以飾節節奏合以成文所以合和父子君臣附親萬民也是先王立樂之方也	審一審其人声也此物謂雜金革土匏之属也以成文五声八音克諧相應和○長丁丈反閨音圭比毗志反注同雜也飾音式又音敕
故聽其雅頌之聲志意得廣焉執其干戚習其俯仰詘伸容貌得莊焉行其綴兆要其節奏行列得正焉進退得齊焉故樂者天地之命中和之紀人情之所不能免也	綴表也所以表行列也詩云荷戈与綴兆域也舞者進退所至也要猶㑹也命教也紀揔要之名也○詘丘勿反要一遥反注要猶㑹同行户剛反注同荷本又作何胡可反一音河綴詩作祋同都外反
夫樂者先王之所以飾喜也軍旅鈇鉞者先王之所以飾怒也故先王之喜怒皆得其儕焉	㑪猶軰類○鈇方夫反又音甫鉞音越㑪仕皆反軰許内反
喜則天下和之怒則暴亂者畏之先王之道禮樂可謂盛矣	天子之於天下喜怒莭之以礼楽則兆民和從而畏敬之礼楽王者所常㒷則盛也
子贛見師乙而問焉曰賜聞聲歌各有宜也如賜者宜何歌也	子贛孔子弟子師楽官也乙名声歌各有宜氣順性也○贛音貢
師乙曰乙賤工也何足以問所宜請誦其所聞而吾子自執焉	楽人称工執猶処也○請七領反徐音情
愛者宜歌商温良而能断者宜歌齊夫歌者直巳而陳徳也動巳而天地應焉四時和焉星辰理焉萬物育焉	重言万物育焉二又見中庸二十一
故商者五帝之遺聲也寛而静柔而正者宜歌頌廣大而静䟽逹而信者宜歌大雅恭儉而好禮者宜歌小雅正直而静廉而謙者宜歌風肆直而慈愛	此文換簡失其次寛而静宜在上爱者宜歌商宜承此下行讀云肆直而慈爱者宜歌商商宋詩也爱或爲哀直巳而陳德各因其德歌所冝育生也○断丁乱反下及注同好呼報反換户乱反行户剛反
商之遺聲也商人識之故謂之商齊者三代之遺聲也齊人識之故謂之齊	云商之遺声也衍字也又誤上所云故商者五帝之遺声也當居此衍字処也○処昌慮反
明乎商之音者臨事而屢斷明乎齊之音者見利而讓	屡数也数断事以其肆直也見利而譲以其温良能断也断猶决也○屡力住反数色角反下同
臨事而屢斷勇也見利而讓義也有勇有義非歌孰能保此	保猶安也知也
故歌者上如抗下如隊曲如折止如槀木倨中矩句中鉤纍纍乎端如貫珠	言歌声之著動人心之審如有此事○上時掌反抗苦浪反隊直媿反折之設反藁苦老反倨音据中丁仲反句紀具反鉤古侯反纍本又作累力追反
故歌之爲言也長言之也說之故言之言之不足故長言之長言之不足故嗟嘆之嗟嘆之不足故不知手之舞之足之蹈之也	長言之引其声也嗟歎和續之也不知手之舞之足之蹈之歡之至也○說音恱和胡卧反○
互註	詩関雎言之不足故嗟嘆之嗟嘆之不足故永歌之永歌之不足不知手之舞之足之蹈之也云云
子貢問樂	上下同美之也
