纂圖互註禮記卷第一曲禮上第一	陸德明音義曰本或作曲礼上者後人加也檀弓雜記放此曲礼者是儀礼之舊名委曲說礼之事
進戈者前其鐏後其刃進矛㦸者前其鐓	後刃敬也三兵鐏鐓虽在下猶爲首銳底曰鐏取其鐏地平底曰鐓取其鐓地〇鐏在困反舊子困反注同一讀注音作菅反矛本又作音謀兵器鐓本又作錞徒對反注同一讀注丁乱反銃以稅反底丁礼反
進几杖者拂之	尊者所馮依拂去塵敬〇拂如字馮皮氷反去起吕反
效馬效羊者右牽之	用右手便效猶呈見〇效胡教反下同便婢面反見賢遍反
效犬者左牽之	大齛齧人右手當禁備之○齛本亦作噬常丗反
執禽者左首	左首尊
飾羔鴈者以繢	繢畫也諸侯大夫以布天子大夫以畫○繢胡對反
受珠玉者以掬	慎也掬手中〇掬九六反两手曰掬
受弓劒者以𬒮	敬也
飲玉爵者弗揮	爲其宝而脆○揮音輝何亡振去餘酒曰揮脆七歳反
凡以弓劒苞苴簟笥問人者	問猶遺也苞苴褁魚肉或以葦或以茅簟笥盛飯食者圜曰簟方曰笥〇苞苴子餘反苞褁也苴藉也簟音單笥思嗣反簟笥竹噐也褁音果葦韋鬼反盛音成圜音貟
操以受命如使之容	謂使者〇使色吏反注及下使者使也並同
凡為君使者己受命君言不宿於家	急君使也言謂有故所問也聘礼曰君有言則以束帛如享礼〇爲于偽反下注為哀樂爲其廢事並同
君言至則主人出拜君言之辱使者歸則必拜送于門外	敬君命也此謂國君問事於其臣重言聘義拜君命之辱
若使人於君所則必朝服而命之使者反則必下堂而受命	此臣有所告請於其君〇朝音條
○博聞強識而譲敦善行而不怠謂之君子	敦厚也〇識如字又式異反行下孟反皇如字怠音代
君子不盡人之歡不竭人之忠以全交也	歡謂飲食忠謂衣服之物
禮曰君子抱孫不抱子此言孫可以爲王父尸子不可以為父尸	費於有病者之側不能饋焉則不問其所欲有客不能館則不問其所舎
○適墓不登壟	為其不敬壟冡也墓塋域〇壟力勇反塋音營
助葬必執紼	葬䘮之大事紼引車索〇紼音弗引車本亦作引棺索悉各反
臨䘮不笑	臨哀冝有哀色
揖人必違其位	礼以変爲敬
望柩不歌入臨不翔	哀傷之无容樂〇柩求又反臨如字舊力鴆反
當食不歎	食或以樂非歎所
鄰有䘮春不相里有殯不巷歌	助哀也相謂送杵声〇春束容反相息亮反注同杵昌吕反重言見檀弓上
適墓不歌	非樂所
哭曰不歌	哀未忘也
送䘮不由徑送葬不辟塗潦	所哀在此〇徑經定反邪路也辟音避下注同
臨䘮則必有哀色執紼下笑臨樂不歎介胄則有不可犯之色	貌与事冝相配介甲也
故君子戒慎不失色於人	色厉而内荏皃㳟心狠非倩者也○荏而審反柔弱皃狠胡墾反
國君撫式大夫下之大夫撫式士下之	撫猶㩀也㩀式小俛崇敬也乗車必正立〇俛音免
禮不下庶人	爲其遽於事且不能備物〇下遐嫁反又如字遽其庶反
刑不上大夫	不與賢者犯法其犯法則在八議輕重不在刑書〇上時掌反与音預
刑人不在君側	爲怨恨為害也春秋傳曰近刑人則輕死之道
〇兵車不式	尚威武不崇敬重意少儀武車不式
武車綏旌	尽飾也綏謂垂舒之也武車亦兵車〇綏耳隹反
德車結旌	不尽飾也結謂収歛之也徳車乗車
○史載筆士載言	謂從於會同各持其聀以待事也筆謂書具之属言謂會同盟要之辝
前有水則載青旌前有塵埃則載鳴鳶前有車騎則載飛鴻前有士師則載虎皮前有摯獸則載貔貅	載謂舉於旌首以警衆也礼君行師從卿行旅從前駈舉此則士衆知所有所舉各以其類象青二雀水鳥鳶鳴則将風鴻取飛有行列也士師謂兵衆虎取其有威勇也貔貅亦摯獸也書曰如虎如貔士或爲仕〇載音戴下及注同埃烏来反鳶說專反鴟也騎其寄反摯音至貔孔安國云执夷反虎属皆健貅本亦作貅許求反從才用反行户剛反
行前朱鳥而後玄武左青龍而右白虎招揺在上急繕其怒	以此四獸爲軍陳象天也急猶堅也繕讀曰勁又畫招摇星於旌旗上以起居堅勁軍之威怒象天帝也招摇星在北斗杓端主指者〇招揺如字北斗第七星繕依注音勁吉政反陳直覲反杓敷昭反
進退有度	度謂伐與歩數重言進退有度經觧
左右有局各司其局	局部分也○分扶問反
○父之讎弗與共戴天	父者子之天殺己之天與共戴天非孝子也行求殺之乃止〇讎常由反
兄弟之讎不反兵	恒執殺之備
交遊之讎不同國	讎不吾辟則殺之交遊或爲朋反
○四郊多壘此卿大夫之辱也	辱其謀人之國不能安也壘軍辟也数見侵伐則多壘〇壘徐力鬼反壁本又作辟布狄反数色角反
地廣大荒而不治此亦士之辱也	辱其親民不能安荒穢也
○臨祭不惰	爲无神也〇為于偽反下爲不為其為有皆同
祭服敝則焚之祭噐敝則埋之龜筴敝則埋之牲死則埋之	此皆不欲人衰之也焚之必己不用埋之不知鬼神之所爲〇埋武垂反亵息列反慢也
凡祭於公者必自徹其爼	臣不敢煩君使也大夫以下或使人歸之祭於公助祭於君也〇使色吏反
〇卒哭乃諱	敬鬼神之名諱辟也生者不相辟名衛侯名惡大夫有名惡君臣同名春秋不非○辟音避下皆同
禮不諱嫌名二名不偏諱	為其難辟也嫌名謂声音相近若禹與雨丘與區也偏謂二名不一一諱也孔子之母名徵在言在不稱徴言徴不稱在〇禹與雨並于矩反一讀雨音于許反丘與區並去求反一讀區音羌虯反案漢和帝名肇不改京兆郡魏武帝名操陳思王詩云脩阪造雲日是不諱嫌名重言二名不遍諱又擅弓下
逮事父母則諱王父母不逮事父母則不諱王父母	逮及也謂㓜孤不及識父母思不至於相名孝子聞名心瞿諱之由心此謂庶人適士以上庿事祖雖不違事父母猶諱祖〇逮音代又大計反瞿本又作懼同俱付反適丁厯反
君所無私諱	謂臣言於君前不辟家諱尊无二
大夫之所有公諱	辟君諱也重意玉藻於大夫所有公諱无私諱
詩書不諱臨文不諱	為其失事正重言臨文不諱又玉藻
廟中不諱	爲有事於髙祖則不諱曽祖以下尊无二也出於下則諱上重言庿中不諱又玉藻
夫人之諱雖質君之前臣不諱也	臣於夫人之家思逺也質猶對也
婦諱不出門	婦親逺於官中言辟之
大㓛小㓛不諱入竟而問禁入國而問俗入門而問諱	皆爲敬主人也禁謂政教俗謂常所行與所惡也國城中也〇竟音境惡烏路反
〇外事以剛曰	順其出爲陽也出郊為外事春秋傳曰甲午祠兵
内事以柔日	順其居内為隂重意表記外事用剛日内事用柔日以孫與祖昭穆同〇昭時招反重意祭統孫爲王父尸
爲君尸者大夫士見之則下之君知所以為尸者則自下之	尊尸也下下車也國君或時㓜少不能盡識羣臣有以告者乃下之〇少式召反
尸必式	礼之重言尸必式又曽子問雜記
乗必以几	尊者慎也○乗繩證反下注二処乗車同
齊者不樂不弔	爲哀樂則失正散其思也〇齊側皆反樂音洛下无容樂非樂所同思絲嗣反又如字
〇居䘮之禮毀瘠不形視聽不衰	為其廢䘮事形謂骨見〇瘠在昔反瘦也見賢遍反
升降不由阼階出入不當門隧	常若親存隧道也〇阼才故反隧音遂
居䘮之禮頭有創則沐身有瘍則浴有疾則飲酒食肉疾止復𥘉不勝䘮乃比於不慈不孝	勝任也〇創𥘉食反又初亮反瘍音羊本或作痒勝音升任而金反重意雜記下身有痒則浴首有瘡則沐〇檀弓上䘮有疾食肉飲酒雜記下有疾飲酒食肉又病則飲酒食肉䘮大記有疾食肉飲酒可也
五十不致毀六十不毀七十唯衰麻在身飲酒食肉處於内	所以卷衰老人五十始衰也〇衰七雷反重言五十不致毀六十不毀又雜記下七十唯衰麻在身又䘮大記一
生與来日死與徃日	與猶數也生數来日謂成服杖以死明日数也死数徃日謂殯歛以死日數也比土礼貶於大夫者大夫以上皆以来日数士䘮礼曰死日而襲厥明而小歛又厥明大歛而殯則死三日而更言三日成服杖似異日矣䘮大記曰士之裘二日而殯三日之朝人杖二者相推其然朋矣與或爲予〇数所主反下皆同殯必刃反歛力驗反下同貶彼檢反
知生者弔知死者傷知生而不知死弔而不傷知死而不知生傷而不弔	人思各施於所知也弔傷皆謂致命辝也雜記曰諸侯使人弔辝曰寡君聞君之䘮寡君使某如何不淑此施於生者傷辝未聞也說者有弔辝云皇天降灾子遭罹之如何不淑此施於死者盖本傷辝辝畢退皆哭〇傷如字下同
弔䘮弗能賵不問其所費問疾弗能遺不問其所欲見人弗能館不問其所舎賜人者不曰来取與人者不問其所欲	皆謂傷恩也見人見行人館舎也與人不問其所欲己物或時非其所欲将不与也○賻音附公羊傳曰錢財曰賻榖梁傳曰歸生者曰賵不問其所費芳味反一本作有所費下句放此遺于季反与也為于偽反下爲其皆同重意表記君子於有䘮者之側不能贈焉則不問其所
凡卜筮日旬之外曰逺某曰旬之内曰近某曰	旬十日也〇筮市制反
䘮事先逺曰吉事先近曰	孝子之心䘮事葬与練詳也吉事祭祀冠取之属也〇冠古乱反
曰爲曰假爾泰龜有常假爾泰筮有常	命龜筮辝龜筮於吉凶有常大事卜小事筮〇假古雅反下同
卜筮不過三	求吉不過三魯四卜郊春秋譏之
卜筮不相襲	卜不吉則又筮筮不吉則又卜是瀆亀筴也晉獻公卜取驪姬不吉公日筮之是也〇瀆徒木反驪力知反〇重言又表記
龜為卜筴爲筮卜筮者先聖王之所以使民信時日敬鬼神畏法令也所以使民决嫌疑定猶與也故曰疑而筮之則弗非也曰而行事則必踐之	弗非无非之者日所卜筮之古日也踐讀曰善声之誤也筴或為蓍〇与音預本亦作豫踐依注音善王如字云履也蓍音尸互註書洪範乃命卜筮汝則有大疑謀及卜筮左桓十一年卜以决疑不疑何卜
〇君車将駕則僕執䇿立於馬前	監駕其爲馬行〇監古御反為于偽反
己駕僕展軨	展軨其視○軨厯丁反一音領盧云車轄頭靻也舊云車闌也
效駕	曰已駕
奮衣由右上取貳綏	奮振去塵也貳副也〇上時掌反下犬馬不上下注而上車同去羌吕反
跪乗	未敢立敬也〇乗繩證反下除乗君不乗竒車乗路馬皆同
執䇿分轡驅之五歩而立	調試之〇轡悲位反四馬八轡故云分
君出就車則僕并轡授	車上僕所主〇并必政反
左右攘辟	謂羣臣陪位侍駕者攘卻也或者攘古讓字〇攘如羊反郤也又音譲辟音避徐扶亦反
車驅而騶至于大門君撫僕之手而顧命車右就車門閭溝渠必歩	車右勇力之上備制非常者君行則陪乗君式則下歩行〇驅起俱反徐起遇反騶仕救反又七湏反
凡僕人之禮必授人綏若僕者降等則受不然則否若僕者降等則撫僕之手不然則自下拘之	抚小止之謙也自下拘之由僕手下取之也僕与己同爵則不受〇拘古侯反又音俱
客車不入大門	謙也
婦人不立乗	異於男子
犬馬不止於堂	非摯幣也〇摯本亦作贄音至
故君子式黄髮	敬老也發句言故明此衆篇雜辝也
下卿位	尊賢也卿位卿之朝位也君出過之而上車入未至而下車○朝直遥反下同
入國不馳	愛人也馳善藺人也〇藺力刃反
入里必式	不誣十室
君命召雖賤人大夫士必自御之	御當爲訝訝迎也君雖使賤人来必自出迎之尊君命也春秋傳曰跛者御跛者眇者御眇者皆訝也丗人乱之○訝五嫁反跛波我反眇名小者
介者不拜為其拜而蓌	蓌則失容節蓌猶詐也○蓌子卧反又側嫁反挫也沈租稼反又子猥反盧本又作蹲重言介者不拜又見少儀篇
祥車曠左	空神位也祥車葬之乗車
乗君之乗車不敢曠左左必式	君存惡空其位〇惡烏路反
僕御婦人則進左手後右手	逺嫌〇逺于万反重意下篇則尚左手
御國君則進右手■後左手而俯	敬也
國君不乗竒車	出入必正也竒車獵衣之属〇竒居冝反竒邪不正之車何云不如法之車
車上不廣欬	爲若自矜廣猶弘也〇欬開代反
不妄指	為惑衆
立視五巂	立平視也巂猶規也謂輪轉之度巂或為〇巂本又作巂惠主反車輪轉一周為巂一周丈九尺八寸地本又作蘂如捶反
式視馬尾	小俛
顧不過轂	為掩在後
國中以䇿彗䘏勿驅塵不出軌	入國不酏彗竹帚䘏勿搔摩也〇彗音遂徐雖酔反又囚歲反卹蘇没反注同驅如字勿音没搔素刀反摩莫何反
國君下齊牛式宗廟大夫士下公門式路馬乗路馬必朝服載鞭䇿不敢授綏左必式歩路馬必中道以足蹙路馬芻有誅齒路馬有誅	皆廣敬也路馬君之馬載鞭䇿不敢執也齒欲年也誅罰也〇齊則皆反鞭必緜反蹙本又作蹴徐采六反又子六反
