拯	tsyingX
推	thwoj
陳	drinH
亂	lwanH
則	tsok
攻	_
則	tsok
守	syuwH
之	tsyi
狷	_
介	keajH
焉	_
識	_
二	nyijH
十	dzyip
三	_
年	nen
圍	_
閔	minX
而	nyi
惡	_
惡	_
乎	hu
造	tshawH
次	tshijH
顚	_
沛	_
爲	hjweH
襄	sjang
背	_
殯	_
權	gjwen
譎	kwet
折	tsyet
足	_
詩	syi
刺	tshjeH
二	nyijH
十	dzyip
四	sijH
年	nen
巡	zwin
守	syuwH
之	tsyi
行	_
復	_
雅	ngaeX
惡	'uH
之	tsyi
篡	tsrhwaenH
文	mjun
二	nyijH
十	dzyip
五	nguX
年	nen
侯	huw
燬	xjweX
自	dzijH
爲	_
其	_
復	_
以	yiX
甸	denH
師	srij
累	ljweH
於	_
隱	_
去	khjoX
以	yiX
見	henH
爲	_
繼	kejH
弑	syiH
與	_
會	_
二	nyijH
十	dzyip
六	ljuwk
年	nen
于	hju
向	syangH
至	tsyijH
巂	hwej
施	syeH
而	nyi
滅	mjiet
夔	gwij
爲	hjweH
魯	luX
中	_
道	dawX
以	yiX
共	_
假	_
借	_
二	nyijH
十	dzyip
七	tshit
年	nen
來	loj
朝	drjew
齊	_
侯	huw
昭	tsyew
信	sinH
夷	yij
狄	dek
楚	_
復	_
亡	mjang
義	ngjeH
而	nyi
見	henH
碌	_
碌	_
得	tok
與	_
圍	_
解	heaH
二	nyijH
十	dzyip
八	peat
年	nen
以	yiX
刺	_
卑	_
宋	sowngH
惡	_
入	nyip
復	_
致	_
守	_
于	hju
之	tsyi
行	_
爲	hjweH
天	then
王	_
獨	duwk
公	kuwng
朝	_
與	_
傎	ten
矣	hiX
傎	ten
倒	_
斷	_
在	_
二	nyijH
十	dzyip
九	kjuwX
年	nen
介	keajH
大	_
雨	hjuH
雹	baewk
三	_
十	dzyip
年	nen
累	ljweH
上	_
泄	_
冶	yaeX
近	_
半	panH
諸	_
正	_
鵠	howk
之	tsyi
愆	khjen
戰	tsyenH
爭	tsreang
救	kjuwH
台	_
入	nyip
鄆	hjunH
惡	'uH
季	kjwijH
孫	swon
美	mijX
惡	_
三	_
十	dzyip
一	'jit
年	nen
幼	'jiwH
少	syewH
大	_
平	_
岱	dojH
疆	kjang
界	keajH
緇	tsri
衣	_
熏	xjun
裳	_
閴	_
其	_
不	_
共	_
三	_
十	dzyip
二	nyijH
年	nen
伯	paek
捷	dzjep
重	_
耳	nyiX
之	tsyi
弑	syiH
子	tsiX
亹	mj+jX
朝	drjew
聘	phjiengH
交	kaew
好	xawH
否	_
隔	keak
記	kiH
注	tsyuH
不	_
復	_
三	_
十	dzyip
三	_
年	nen
敗	paejH
秦	dzin
于	hju
殽	haew
男	nom
女	_
之	tsyi
別	_
百	paek
里	liX
子	tsiX
蹇	kjenX
叔	syuwk
子	tsiX
巳	_
拱	kjowngX
女	_
死	sijX
唫	_
其	_
處	tsyhoH
險	xjemX
隘	'eaH
要	_
百	paek
倚	_
輪	lwin
訾	tsje
樓	luw
敗	paejH
狄	dek
隕	hwinX
霜	sjang
文	mjun
公	kuwng
第	dejH
六	ljuwk
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
隱	_
去	khjoX
以	yiX
見	henH
繼	kejH
弑	syiH
貴	kjw+jH
稱	tsyhingH
來	loj
錫	sek
采	tshojX
地	dijH
于	hju
戚	tshek
弑	syiH
其	_
君	kjun
髠	_
篡	tsrhwaenH
立	lip
夷	yij
夏	_
謹	kj+nX
識	_
二	nyijH
年	nen
彭	baeng
衙	_
爲	_
僖	xi
公	kuwng
廟	mjewH
所	srjoX
馮	bing
長	_
尺	tsyhek
壞	_
廟	mjewH
易	_
檐	yem
伉	khangH
也	yaeX
爲	hjweH
公	kuwng
去	khjoX
處	_
父	_
髙	kaw
傒	hej
差	_
降	_
士	dzriX
榖	kuwk
垂	dzywe
斂	_
大	_
廟	mjewH
躋	_
僖	xi
祫	heap
也	yaeX
昭	tsyew
穆	mjuwk
南	nom
郷	xjang
雖	swij
長	_
以	yiX
先	senH
于	hju
禰	nejX
雉	drijX
雊	kuwH
傎	ten
倒	_
三	_
年	nen
伐	bjot
沈	_
沈	_
潰	hwojH
以	yiX
守	syuwH
雨	_
螽	tsyuwng
茅	maew
茨	dzij
見	henH
於	_
有	hjuwX
難	nanH
自	dzijH
解	_
四	sijH
年	nen
爲	hjweH
其	_
公	kuwng
與	_
反	_
覆	phjuwk
夫	_
人	nyin
與	_
有	hjuwX
貶	pjemX
甯	_
俞	yu
五	nguX
年	nen
歸	kjw+j
含	hom
且	_
賵	phjuwngH
飯	_
用	yowngH
賵	phjuwngH
襚	zwijH
于	hju
殽	haew
乗	zyingH
馬	maeX
皆	keaj
令	_
相	sjangH
者	tsyaeX
稽	_
顙	sangX
葦	hjw+jX
席	zjek
從	_
竟	kjaengH
主	tsyuX
爲	hjweH
入	nyip
鄀	nyak
六	ljuwk
年	nen
侯	huw
驩	xwan
累	_
上	_
漏	luwH
言	ngjon
上	_
泄	_
上	_
聾	luwng
否	bijX
塞	_
夜	yaeH
姑	ku
趙	drjewX
盾	dwonX
攻	_
伐	bjot
惻	tsrhik
隱	_
佐	tsaH
女	_
以	yiX
語	_
之	tsyi
竟	kjaengH
上	_
士	dzriX
造	tshawH
辟	_
而	nyi
言	ngjon
詭	kjweX
辭	zi
猶	_
朝	drjew
朝	_
朝	_
莫	mak
夕	zjek
敢	kamX
泄	_
不	_
數	_
叢	dzuwng
七	tshit
年	nen
須	sju
句	_
城	dzyeng
郚	ngu
壬	nyim
臣	dzyin
令	_
狐	hu
輟	_
譙	dzjew
周	tsyuw
而	nyi
笄	kej
先	senH
是	dzyeX
後	_
是	dzyeX
茍	kik
比	_
得	tok
復	_
曰	hjwot
鰥	_
禮	lejX
爲	hjweH
服	bjuwk
長	_
使	_
術	zywit
巳	_
亟	_
有	hjuwX
難	nanH
十	dzyip
三	_
年	nen
籧	gjo
篨	drjo
大	_
室	syit
不	_
復	_
于	hju
沓	dop
于	hju
棐	pj+jX
十	dzyip
四	sijH
年	nen
侯	huw
潘	phan
星	seng
孛	_
猶	_
茀	_
魁	khwoj
中	_
邪	zjae
亂	lwanH
並	bengX
殺	_
捷	dzjep
菑	_
長	_
轂	kuwk
五	nguX
百	paek
乗	zyingH
歩	_
卒	tswot
夐	_
入	nyip
貜	_
且	_
方	_
悟	nguH
正	_
適	_
爲	hjweH
受	dzyuwX
貍	li
蜃	_
踰	yu
竟	kjaengH
殺	_
其	_
單	_
伯	paek
十	dzyip
五	nguX
年	nen
華	_
孫	swon
奉	bjowngX
使	sriH
爲	_
好	xawH
以	yiX
見	henH
官	kwan
稱	_
來	loj
朝	drjew
以	yiX
難	nanH
介	keajH
我	ngaX
其	_
郛	phju
十	dzyip
六	ljuwk
年	nen
欲	yowk
去	khjoX
爲	_
厭	'jemH
師	srij
丘	khjuw
復	_
行	_
弑	syiH
其	_
杵	tsyhoX
臼	gjuwX
十	dzyip
七	tshit
年	nen
諸	_
侯	huw
會	_
于	hju
扈	huX
十	dzyip
八	peat
年	nen
伯	paek
罃	'eang
弑	syiH
其	_
使	sriH
舉	kjoX
不	_
稱	_
介	keajH
而	nyi
數	srjuX
之	tsyi
稱	tsyhingH
惡	_
宣	sjwen
敬	kjaengH
嬴	yeng
姪	_
娣	_
共	_
養	_
宣	sjwen
公	kuwng
第	dejH
七	tshit
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
與	_
聞	_
自	dzijH
見	henH
之	tsyi
挈	khet
宣	sjwen
弑	syiH
來	loj
朝	drjew
趙	drjewX
盾	dwonX
棐	pj+jX
林	lim
列	_
數	srjuX
攘	nyang
夷	yij
趙	drjewX
穿	_
三	_
年	nen
華	_
元	ngjwon
言	ngjon
盡	tsinX
其	_
將	_
將	_
帥	srwijH
當	_
復	_
賢	hen
行	haengH
弑	syiH
其	_
朝	drjew
諸	_
而	nyi
暴	_
彈	_
辟	_
丸	hwan
於	_
竟	kjaengH
之	tsyi
玦	kwet
後	_
斷	_
徽	xjw+j
纆	mok
孰	dzyuwk
爲	_
盾	_
志	tsyiH
同	duwng
則	tsok
書	syo
重	_
惡	'uH
甚	_
見	_
忠	trjuwng
三	_
年	nen
復	_
死	sijX
陸	ljuwk
渾	_
四	sijH
年	nen
及	gip
郯	dam
取	_
向	_
而	nyi
爲	hjweH
弑	syiH
其	_
五	nguX
年	nen
待	dojX
迎	ngjaengH
之	tsyi
稱	tsyhingH
受	dzyuwX
使	sriH
六	ljuwk
年	nen
螽	tsyuwng
七	tshit
年	nen
伐	bjot
萊	_
黒	xok
壤	nyangX
八	peat
年	nen
大	_
廟	mjewH
共	_
殺	_
見	henH
其	_
故	kuH
去	_
子	tsiX
翬	xjw+j
猶	_
繹	yek
之	tsyi
享	_
去	_
籥	yak
爲	_
之	tsyi
惡	'uH
其	_
熊	hjuwng
氏	_
舒	syo
鄝	lewX
頃	_
熊	hjuwng
不	_
爲	hjweH
潦	_
車	_
載	_
蓑	swa
笠	lip
張	trjangH
設	syet
遷	tshjen
柩	gjuwH
昧	mwojH
爽	srjangX
而	nyi
引	_
遣	_
奠	_
九	kjuwX
年	nen
行	_
朝	drjew
黒	xok
臀	dwon
踰	yu
竟	kjaengH
以	yiX
別	_
于	hju
操	tshawH
郤	khjaek
缺	_
泄	_
冶	yaeX
夏	haeX
徴	_
衣	_
其	_
衣	_
其	_
襦	nyu
在	_
裏	liX
於	_
朝	drjew
十	dzyip
年	nen
公	kuwng
娶	tshjuH
不	_
復	_
不	_
冠	kwanH
猶	_
朝	_
十	dzyip
六	ljuwk
年	nen
留	_
吁	xju
別	_
種	tsyowngX
并	pjieng
盡	_
宣	sjwen
榭	zjaeH
災	_
十	dzyip
七	tshit
年	nen
錫	sek
我	ngaX
斷	_
道	dawX
叔	syuwk
肸	xit
宣	sjwen
弑	syiH
織	_
屨	kjuH
十	dzyip
八	peat
年	nen
子	tsiX
臧	tsang
戕	_
繒	dzing
子	tsiX
挩	_
殺	_
謂	hjw+jH
捶	tsyweX
打	_
惡	'uH
其	_
距	gjoX
難	nanH
楚	_
子	tsiX
吕	ljoX
捐	ywen
殯	_
之	tsyi
使	sriH
至	tsyijH
檉	trhjeng
魯	luX
竟	kjaengH
成	dzyeng
公	kuwng
第	dejH
八	peat
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
夏	haeX
之	tsyi
無	mju
復	_
甲	kaep
鎧	khojH
夫	_
甲	kaep
貿	muwH
戎	nyuwng
爲	hjweH
尊	tswon
孰	dzyuwk
敗	_
之	tsyi
行	_
父	_
秃	_
郤	khjaek
克	khok
眇	mjewX
良	ljang
夫	_
跛	_
公	kuwng
子	tsiX
手	syuwX
僂	_
御	ngjoH
秃	_
姪	_
子	tsiX
頃	_
公	kuwng
不	_
說	_
胥	_
閭	ljo
不	_
解	_
而	nyi
横	_
脫	_
此	tshjweX
二	nyijH
年	nen
新	sin
築	trjuwk
僑	gjew
如	_
公	kuwng
子	tsiX
手	syuwX
于	hju
鞌	'an
欲	yowk
令	_
雍	_
門	mwon
之	tsyi
茨	dzij
夫	_
甚	_
敗	paejH
衞	hjwejH
敖	ngaw
郤	khjaek
謂	hjw+jH
笑	sjewH
其	_
蹤	tsjowng
跛	_
之	tsyi
甗	_
爲	_
質	_
侵	tshim
易	_
取	_
汶	_
郷	xjang
之	tsyi
會	_
與	_
盟	_
同	duwng
月	ngjwot
不	_
同	duwng
月	ngjwot
則	tsok
地	dijH
會	_
地	dijH
盟	_
三	_
年	nen
禰	nejX
宫	kjuwng
所	srjoX
馮	bing
去	khjoX
疾	dzit
咎	_
如	_
不	_
復	_
四	sijH
年	nen
來	loj
朝	drjew
城	dzyeng
鄆	hjunH
五	nguX
年	nen
壅	_
遏	'at
伯	paek
尊	tswon
不	_
辟	_
將	tsjangH
在	_
君	kjun
爲	hjweH
此	tshjweX
素	suH
縞	kawX
無	mju
績	tsek
攘	_
善	dzyenX
蟲	_
牢	law
六	ljuwk
年	nen
取	_
鄟	_
來	loj
朝	drjew
伯	paek
費	_
七	tshit
年	nen
鼷	hej
鼠	_
郊	kaew
吉	kjit
否	_
斛	huwk
角	_
禦	ngjoX
患	hwaenH
球	gjuw
然	nyen
所	srjoX
能	_
復	_
食	_
緇	tsri
衣	_
纁	xjun
裳	_
蓋	_
爲	hjweH
伐	bjot
郯	dam
來	loj
朝	drjew
八	peat
年	nen
韓	_
穿	_
爲	hjweH
之	tsyi
召	dzyewH
伯	paek
曰	hjwot
見	_
一	'jit
稱	tsyhingH
以	yiX
上	dzyangX
士	dzriX
燮	sep
來	loj
媵	_
娶	_
嫡	_
姪	_
娣	_
共	_
公	kuwng
九	kjuwX
年	nen
刺	tshjeH
巳	_
内	nwojH
稱	_
爲	_
尊	tswon
滅	mjiet
項	haewngX
頃	_
莒	kjoX
潰	hwojH
之	tsyi
行	haengH
惡	'uH
之	tsyi
十	dzyip
年	nen
強	gjang
也	yaeX
侯	huw
獳	nuw
十	dzyip
一	'jit
年	nen
郤	khjaek
犫	tsyhuw
十	dzyip
二	nyijH
年	nen
常	dzyang
處	tsyhoH
一	'jit
見	henH
今	kim
復	_
瑣	swaX
澤	draek
敗	paejH
狄	dek
十	dzyip
三	_
年	nen
郤	khjaek
錡	ngjeX
過	_
京	kjaeng
師	srij
出	_
竟	kjaengH
朝	_
聘	phjiengH
伯	paek
廬	ljo
十	dzyip
四	sijH
年	nen
時	dzyi
迎	_
刺	tshjeH
不	_
之	tsyi
挈	khet
侯	huw
臧	tsang
十	dzyip
五	nguX
年	nen
有	hjuwX
弑	syiH
惡	'uH
晉	tsinH
斷	_
在	_
宋	sowngH
共	_
爲	hjweH
賢	hen
無	mju
咎	_
子	tsiX
鰌	dzjuw
于	hju
葉	_
許	xjoX
復	_
見	henH
也	yaeX
十	dzyip
六	ljuwk
年	nen
雨	_
木	muwk
木	muwk
介	keajH
甲	kaep
胄	drjuwH
雨	_
著	_
欒	lwan
黶	'jemX
鄢	_
陵	ling
苕	dew
丘	khjuw
叔	syuwk
孫	swon
婼	_
復	_
不	_
無	mju
以	yiX
見	_
孫	swon
紇	_
刺	_
公	kuwng
子	tsiX
戍	syuH
衞	hjwejH
十	dzyip
七	tshit
年	nen
單	_
子	tsiX
于	hju
柯	ka
謀	mjuw
復	_
而	nyi
強	gjang
荀	swin
罃	'eang
貍	li
蜃	_
踰	yu
竟	kjaengH
貜	_
且	tsjo
見	_
殺	_
十	dzyip
八	peat
年	nen
弑	syiH
其	_
君	kjun
復	_
入	nyip
士	dzriX
匄	_
來	loj
朝	drjew
鹿	luwk
囿	_
藪	suwX
澤	draek
以	yiX
齊	_
士	dzriX
魴	bjang
崔	_
杼	drjoX
虚	khjo
朾	_
襄	sjang
公	kuwng
第	dejH
九	kjuwX
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
復	_
入	nyip
于	hju
鄫	dzing
壬	nyim
夫	_
來	loj
朝	drjew
孫	swon
剽	phjiewH
二	nyijH
年	nen
伯	paek
睔	kwonH
而	nyi
稱	tsyhingH
之	tsyi
將	tsjangH
齊	_
姜	kjang
故	kuH
爲	hjweH
三	_
年	nen
長	_
樗	_
受	dzyuwX
使	sriH
而	nyi
復	_
四	sijH
年	nen
杞	khiX
五	nguX
年	nen
子	tsiX
巫	mju
爲	hjweH
我	ngaX
善	dzyenX
稻	dawX
曽	tsong
夷	yij
不	_
復	_
其	_
數	_
六	ljuwk
年	nen
來	loj
朝	drjew
莒	kjoX
人	nyin
滅	mjiet
繒	dzing
別	_
之	tsyi
以	yiX
莅	lijH
七	tshit
年	nen
郯	dam
子	tsiX
來	loj
朝	drjew
城	dzyeng
費	_
于	hju
鄬	_
髠	_
于	hju
操	tshawH
見	henH
以	yiX
弑	syiH
而	nyi
故	kuH
去	khjoX
踰	yu
竟	kjaengH
背	_
華	_
八	peat
年	nen
公	kuwng
子	tsiX
濕	_
邢	heng
丘	khjuw
見	henH
魯	luX
九	kjuwX
年	nen
于	hju
戲	_
十	dzyip
年	nen
于	hju
柤	tsrae
復	_
夷	yij
傅	pjuH
陽	yang
蓋	_
爲	hjweH
一	'jit
眚	sraengX
則	tsok
并	pjieng
汲	kip
鄭	drjengH
所	srjoX
殺	_
爲	hjweH
楚	_
驕	kjew
蹇	kjenX
公	kuwng
子	tsiX
斐	phj+jX
惡	'uH
上	_
數	_
反	_
覆	phjuwk
十	dzyip
一	'jit
年	nen
將	tsjangH
皆	keaj
舎	_
中	_
京	kjaeng
城	dzyeng
北	pok
復	_
伐	bjot
鄭	drjengH
與	_
挈	khet
國	kwok
是	dzyeX
傳	drjwen
十	dzyip
二	nyijH
年	nen
圍	_
邰	thoj
攻	_
守	_
蓋	_
爲	hjweH
入	nyip
鄆	hjunH
惡	'uH
季	kjwijH
十	dzyip
三	_
年	nen
取	_
邿	syi
共	_
王	_
十	dzyip
四	sijH
年	nen
孫	swon
蠆	trhaejH
于	hju
向	syangH
君	kjun
弑	syiH
與	_
知	trje
華	_
閱	ywet
十	dzyip
五	nguX
年	nen
向	_
戌	swit
劉	ljuw
夏	haeX
過	_
我	ngaX
成	dzyeng
郛	phju
十	dzyip
六	ljuwk
年	nen
溴	_
梁	ljang
十	dzyip
七	tshit
年	nen
邾	trju
子	tsiX
瞷	_
十	dzyip
八	peat
年	nen
言	ngjon
朝	drjew
其	_
使	sriH
同	duwng
與	_
負	bjuwX
芻	tsrhju
十	dzyip
九	kjuwX
年	nen
祝	_
柯	ka
復	_
伐	bjot
伐	bjot
齊	_
與	_
漷	_
水	sywijX
軋	'eat
惡	'uH
盟	_
冝	_
墠	dzyenX
乎	hu
介	keajH
二	nyijH
十	dzyip
年	nen
于	hju
向	syangH
澶	dzyen
淵	'wen
陳	_
侯	huw
之	tsyi
弟	_
光	_
惡	'uH
也	yaeX
二	nyijH
十	dzyip
一	'jit
年	nen
以	yiX
漆	tshit
閭	ljo
丘	khjuw
來	loj
朝	drjew
商	syang
任	_
二	nyijH
十	dzyip
三	_
年	nen
伯	paek
匄	_
卑	_
我	ngaX
復	_
入	nyip
雍	_
渝	yu
惡	_
其	_
聶	nrjep
北	pok
中	_
道	dawX
蘧	_
伯	paek
輕	_
行	_
二	nyijH
十	dzyip
四	sijH
年	nen
孫	swon
羯	kjot
陳	_
鍼	_
冝	_
咎	_
之	tsyi
嗛	khemX
之	tsyi
饉	ginH
臺	doj
榭	zjaeH
堊	'ak
飾	syik
弛	syeX
侯	huw
廷	_
道	dawX
二	nyijH
十	dzyip
五	nguX
年	nen
弑	syiH
其	_
爲	_
此	tshjweX
重	_
丘	khjuw
屈	kjut
建	kjonH
公	kuwng
孫	swon
夏	haeX
吳	ngu
子	tsiX
謁	'jot
見	henH
以	yiX
脩	sjuw
守	_
門	mwon
人	nyin
射	_
矢	syijX
創	tsrhjang
二	nyijH
十	dzyip
六	ljuwk
年	nen
弑	syiH
其	_
君	kjun
剽	phjiewH
其	_
日	nyit
侯	huw
衎	_
見	henH
知	trje
實	zyit
與	_
殺	_
其	_
世	_
子	tsiX
座	dzwaH
踰	yu
竟	kjaengH
二	nyijH
十	dzyip
七	tshit
年	nen
孔	khuwngX
奐	xwanH
喜	_
弑	syiH
而	nyi
復	_
惡	'uH
獻	_
弟	_
專	tsywen
己	kiX
雖	swij
見	henH
獻	_
織	_
絇	_
邯	_
鄲	tan
與	_
約	'jiewH
爲	_
約	_
背	_
之	tsyi
二	nyijH
十	dzyip
八	peat
年	nen
來	loj
朝	drjew
二	nyijH
十	dzyip
九	kjuwX
年	nen
閽	xwon
弑	syiH
餘	yo
祭	tsreajH
寺	ziH
人	nyin
不	_
近	_
臧	tsang
否	_
不	_
狎	haep
邇	nyeX
怨	_
仇	gjuw
之	tsyi
杞	khiX
復	_
使	_
札	tsreat
之	tsyi
尊	tswon
稱	tsyhingH
北	pok
燕	_
姞	git
姓	sjengH
三	_
十	dzyip
年	nen
薳	hjweX
罷	_
弑	syiH
其	_
與	_
夷	yij
子	tsiX
般	_
髡	khwon
之	tsyi
以	yiX
別	_
見	henH
以	yiX
少	_
辟	_
遂	zwijH
逮	_
爲	_
行	haengH
長	_
子	tsiX
共	_
姬	_
惡	'uH
之	tsyi
所	srjoX
爲	hjweH
以	yiX
見	henH
更	_
宋	sowngH
所	srjoX
喪	_
償	dzyangH
其	_
三	_
十	dzyip
一	'jit
年	nen
大	_
子	tsiX
弑	syiH
其	_
昭	tsyew
公	kuwng
第	dejH
十	dzyip
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
子	tsiX
招	tsyew
于	hju
郭	kwak
取	_
鄆	hjunH
弟	_
鍼	_
惡	'uH
也	yaeX
敗	paejH
狄	dek
大	_
原	ngjwon
大	_
鹵	luX
去	khjoX
疾	dzit
疆	kjang
鄆	hjunH
猶	_
竟	kjaengH
子	tsiX
卷	_
二	nyijH
年	nen
刺	tshjeH
公	kuwng
見	henH
義	ngjeH
惡	'uH
季	kjwijH
三	_
年	nen
來	loj
朝	drjew
大	_
雨	hjuH
雹	baewk
四	sijH
年	nen
大	_
雨	_
雪	sjwet
沈	_
子	tsiX
爲	hjweH
齊	_
弑	syiH
其	_
粲	tshanH
然	nyen
不	_
爲	hjweH
不	_
肖	sjewH
謂	hjw+jH
與	_
五	nguX
年	nen
舎	_
中	_
屈	kjut
申	syin
敗	paejH
莒	kjoX
賁	_
泉	dzjwen
失	syit
台	_
六	ljuwk
年	nen
合	_
比	_
七	tshit
年	nen
曁	_
齊	_
孫	swon
婼	_
莅	lijH
盟	_
郷	xjang
八	peat
年	nen
以	yiX
惡	'uH
侯	huw
溺	nek
秋	tshjuw
蒐	srjuw
于	hju
紅	huwng
以	yiX
見	henH
蒐	srjuw
狩	syuwH
艾	ngjojH
蘭	lan
置	triH
旃	tsyen
卬	_
車	_
爲	_
𣙗	_
椹	trim
也	yaeX
中	_
臬	nget
爲	_
褐	hat
流	ljuw
旁	bang
握	'aewk
御	ngjoH
轚	_
兩	_
轊	_
挂	kweaH
也	yaeX
候	huwH
蹄	dej
相	_
應	_
揜	_
禽	gim
能	_
中	_
誅	trju
降	_
惡	_
虐	ngjak
幼	'jiwH
少	syewH
以	yiX
共	_
之	tsyi
庖	baew
不	_
爭	tsreang
公	kuwng
子	tsiX
過	_
九	kjuwX
年	nen
許	xjoX
復	_
見	henH
也	yaeX
陳	_
火	xwaX
孫	swon
貜	_
郎	lang
囿	_
十	dzyip
年	nen
侯	huw
彪	pjiw
爲	hjweH
下	_
公	kuwng
成	dzyeng
十	dzyip
一	'jit
年	nen
子	tsiX
痤	dzwa
不	_
弟	_
子	tsiX
䖍	_
侯	huw
般	_
弑	syiH
父	_
得	tok
惡	_
陳	_
夏	haeX
醜	tsyhuwX
行	haengH
罰	bjot
當	_
趙	drjewX
盾	dwonX
有	hjuwX
累	ljweH
比	_
蒲	bu
器	khijH
械	heajH
祲	tsimH
祥	zjang
北	pok
宫	kjuwng
佗	tha
厥	_
憖	nginH
叩	khuwX
其	_
以	yiX
衈	nyiH
惡	_
之	tsyi
注	tsyuH
乎	hu
封	_
疆	kjang
十	dzyip
二	nyijH
年	nen
挈	khet
燕	_
以	yiX
去	khjoX
子	tsiX
憖	nginH
見	henH
因	'jin
諸	_
夏	haeX
舎	_
而	nyi
十	dzyip
三	_
年	nen
圍	_
費	_
弑	syiH
其	_
乾	_
溪	khej
君	kjun
髠	_
祝	_
吁	xju
于	hju
濮	puwk
之	tsyi
稱	tsyhingH
不	_
與	_
有	hjuwX
難	nanH
不	_
令	_
十	dzyip
四	sijH
年	nen
見	henH
君	kjun
去	khjoX
疾	dzit
意	'iH
恢	khwoj
振	_
鐸	dak
在	_
甸	denH
己	kiX
姓	sjengH
十	dzyip
五	nguX
年	nen
夷	yij
末	mat
籥	yak
入	nyip
去	khjoX
樂	_
可	khaX
復	_
十	dzyip
七	tshit
年	nen
來	loj
朝	drjew
星	seng
孛	bwojH
茀	_
于	hju
曰	hjwot
敗	_
成	dzyeng
陳	drinH
檇	_
李	liX
十	dzyip
八	peat
年	nen
子	tsiX
惡	_
入	nyip
鄅	hjuX
十	dzyip
九	kjuwX
年	nen
弑	syiH
其	_
與	_
夫	_
弟	_
虺	xjw+jX
歠	tsyhwet
飦	_
粥	tsyuwk
嗌	'jiek
容	yowng
粒	lip
羈	kje
貫	_
以	yiX
上	dzyangX
累	ljweH
及	gip
二	nyijH
十	dzyip
年	nen
自	dzijH
夢	_
致	_
令	_
兄	xjwaeng
輒	trjep
惡	'uH
其	_
適	_
兄	xjwaeng
齊	_
謂	hjw+jH
之	tsyi
綦	gi
楚	_
謂	hjw+jH
之	tsyi
踂	nrjep
衞	hjwejH
謂	hjw+jH
之	tsyi
輒	trjep
處	tsyhoH
甚	_
以	yiX
見	henH
二	nyijH
十	dzyip
一	'jit
年	nen
蔡	tshajH
侯	huw
東	tuwng
惡	'uH
之	tsyi
二	nyijH
十	dzyip
二	nyijH
年	nen
昌	tsyhang
閒	_
亦	yek
爲	hjweH
單	_
子	tsiX
二	nyijH
十	dzyip
三	_
年	nen
雞	kej
甫	pjuX
子	tsiX
髠	_
子	tsiX
盈	yeng
夏	_
齧	nget
之	tsyi
稱	_
辟	_
子	tsiX
朝	_
惡	'uH
別	_
嫌	hem
二	nyijH
十	dzyip
四	sijH
年	nen
則	tsok
挈	khet
郁	'juwk
釐	li
二	nyijH
十	dzyip
五	nguX
年	nen
鸜	gju
鵒	yowk
濟	tsejX
公	kuwng
孫	swon
齊	_
竟	kjaengH
唁	ngjenH
邡	_
公	kuwng
易	yeH
辭	zi
其	_
爲	hjweH
二	nyijH
十	dzyip
六	ljuwk
年	nen
鄟	_
陵	ling
召	dzyewH
伯	paek
篡	tsrhwaenH
君	kjun
二	nyijH
十	dzyip
七	tshit
年	nen
君	kjun
僚	lew
郤	khjaek
宛	_
祁	_
犁	_
于	hju
扈	huX
邾	trju
快	khwaejH
卑	_
逋	pu
逃	daw
二	nyijH
十	dzyip
八	peat
年	nen
鄭	drjengH
伯	paek
寧	neng
二	nyijH
十	dzyip
九	kjuwX
年	nen
叔	syuwk
倪	ngej
鄆	hjunH
潰	hwojH
則	tsok
惡	_
脩	sjuw
行	haengH
復	_
使	_
三	_
十	dzyip
年	nen
去	khjoX
疾	dzit
頃	_
公	kuwng
爲	hjweH
下	_
惡	'uH
也	yaeX
三	_
十	dzyip
一	'jit
年	nen
荀	swin
櫟	_
適	_
歷	lek
旣	kj+jH
爲	hjweH
黒	xok
肱	kwong
以	yiX
濫	_
別	_
乎	hu
三	_
十	dzyip
二	nyijH
年	nen
取	_
闞	khamH
大	_
叔	syuwk
不	_
享	_
覲	ginH
見	_
不	_
復	_
無	mju
朝	drjew
定	_
公	kuwng
第	dejH
十	dzyip
一	'jit
范	bjomX
甯	_
集	dzip
解	_
元	ngjwon
年	nen
見	_
無	mju
聽	_
治	driH
之	tsyi
處	tsyhoH
敢	kamX
背	_
耕	keang
芸	hjun
不	_
艾	ngjojH
爲	hjweH
旱	hanX
去	khjoX
讓	nyangH
是	dzyeX
舎	_
焉	_
請	_
應	_
上	dzyangX
道	dawX
之	tsyi
詒	yi
託	thak
煬	_
宫	kjuwng
二	nyijH
年	nen
兩	_
觀	_
欲	yowk
令	_
差	tsrheaH
可	khaX
三	_
年	nen
子	tsiX
穿	_
于	hju
拔	_
四	sijH
年	nen
國	kwok
夏	haeX
召	_
陵	ling
公	kuwng
孫	swon
姓	sjengH
皐	kaw
鼬	yuwH
故	kuH
復	_
劉	ljuw
卷	_
采	tshojX
地	dijH
寰	_
内	nwojH
吳	ngu
信	sinH
而	nyi
攘	_
挾	hep
弓	kjuwng
闔	hap
廬	ljo
見	henH
不	_
爲	_
是	dzyeX
朝	drjew
