春秋公羊經傳解詁文公第六何休學元年春王正月公即位〇二月癸亥朔日有食之	是後楚丗子商臣弒其君楚滅江六狄比侵中國
十有六年春季孫行父㑹齊侯于陽榖齊侯弗及盟其言弗及盟何	据序上㑹也連盟何者嫌据盟
不見與盟也	與齊期盟爲叔姬故中見簡賤不見與盟侮辱有恥故諱使若行父㑹而去齊侯不及得與盟故言齊侯弗及亦所以起齊侯不肯〇爲于僞反
〇夏五月公四不視朔	視朔說在六年不舉不朝廟者禮月終于廟先受朔政乃朝明王教尊也朝廟私也故以不視朔爲重常以朔者重始也
公曷爲四不視朔	据無事也
公有疾也	以不諱舉公知有疾公有疾乃復舉公是也〇乃復扶又反下同
何言乎公有疾不視朔	据有疾無惡也
自是公無疾不視朔也	有疾無惡不當書又不言有疾者欲起公自是無疾不視朔也
然則曷爲不言公無疾不視朔有疾猶可言也無疾不可言也	言無疾大惡不可言也是後公不復視朔政事委任公子遂
〇六月戊辰公子遂及齊侯盟于犀丘	〇犀丘音西左氏作郪丘榖梁作師丘
〇秋八月辛未夫人姜氏薨○毀泉臺泉臺者何郎臺也	莊公所築臺于郎以郎譏臨民之漱浣〇漱素侯反浣户管反
郎臺則曷爲謂之泉臺未成爲郎臺	未成時但以地名之
旣成爲泉臺	旣成更以所置名之
毀泉臺何以書譏何譏爾築之譏毀之譏先祖爲之己毀之不如勿居而巳矣	但當勿居令自毀壞不當故毀暴揚先祖之惡也築毀譏同知例皆時〇令力呈反暴歩卜反
〇楚人秦人巴人滅庸	〇巴布加反
〇冬十有一月宋人弑其君處臼弑君者曷爲或稱名氏或不稱名氏大夫弑君稱名氏賤者窮諸人	賤者謂士也士正自當稱人〇處曰二傳作杵臼
大夫相殺稱人賤者窮諸盗	降大夫使稱人降士使稱盗者所以别死刑有輕重也無尊上非聖人不孝者斬首梟之無營上犯軍法者斬要殺人者刎脰故重者録輕者略也不日者内娶略賤之〇别彼列反梟古堯反要一遥反刎亡粉反頭如字本又作脰音豆
十有七年春晉人衛人陳人鄭人伐宋○夏四月癸亥葬我小君聖姜聖姜者何文公之母也	〇聖姜二傳作聲姜
〇齊侯伐我西鄙〇六月癸未公及齊侯盟于榖〇諸侯㑹于扈〇秋公至自榖〇冬公子遂如齊十有八年春王二月丁丑公薨于臺下○秦伯罃卒	秦穆公也至此卒者因其賢〇伯罃乙耕反何云穆公也左氏穆公子康公
〇夏五月戊戍齊人弑其君商人	商人弑君賊復見者與大夫異齊人巳君事之殺之宜當坐弒君〇復見扶又反下同下賢徧反
○六月癸酉葬我君文公〇秋公子遂叔孫得臣如齊	不舉重者譏魯猥使二大夫出虚國家廢政事重録内也
〇冬十月子卒子卒者孰謂謂子赤也何以不日	据子般卒日
隱之也何隱爾弑也弑則何以不日	据子般卒日〇弒也音試下及注同
不忍言也	所聞丗臣子恩痛王父深厚故不忍言其日與子般異
〇夫人姜氏歸于齊	歸者大歸也夫死子弒賊人立無所歸留故去也有去道書者重絶不復反
〇季孫行父如齊〇莒弑其君庶其稱國以弑何	据莒人弒其君密州
稱國以弑者衆弑君之辭	一人弒君國中人人盡喜故舉國以明失衆當坐絶也例皆時者略之也
