春秋公羊經傳解詁隱公第一	〇陸曰解詁佳買反下音古訓也
始僭諸公昉於此乎前此矣前此則曷爲始乎此僭諸公猶可言也僭天子不可言也	傳云爾者解不託始也前僭八佾於惠公廟大惡不可言也還從僭六羽議本所當託者非但六也故不得復傳上也加𥘉者以爲常也獻者下奉上之辭不言六佾者言佾則干舞在其中明婦人無武事獨奏文樂羽者鴻羽也所以象文德之風化疾也夫樂本起於和順和順積於中然後榮華發於外是故八音者德之華也歌者德之言也舞者德之容也故聽其音可以知其德察其詩可以逹其意論其數可以正其容薦之宗廟足以享鬼神用之朝廷足以序羣臣立之學官足以恊萬民凡人之從上教也皆始於音音正則行正故聞宫聲則使人温雅而廣大聞商聲則使人方正而好義聞角聲則使人惻隱而好仁聞徴聲則使人整齊而好禮聞羽聲則使人樂養而好施所以感蕩血脉通流精神存寧正性故樂從中出禮從外作也禮樂接於身望其容而民不敢慢觀其色而民不敢爭故禮樂者君子之深教也不可須臾離也君子須臾離禮則暴慢襲之須臾離樂則姦邪入之是以古者天子諸侯雅樂鍾磬未曾離於庭卿大夫御琴瑟未曾離於前所以養仁義而除淫辟也魯詩傳曰天子食日舉樂諸侯不釋縣大夫士日琴瑟王者治定制禮功成作樂未制作之時取先王之禮樂宜於今者用之堯曰大章舜曰簫韶夏曰大夏殷曰大護周曰大武各取其時民所樂者名之堯時民樂其道章明也舜時民樂其脩紹堯道也夏時民樂大其三聖相承也殷時民樂大其護巳也周時民樂其伐討也蓋異號而同意異歌而同歸失禮鬼神例日此不日者嫌獨考宫以非禮書故從未言𥘉可知〇夫樂音扶發句之端放此朝廷徒佞反好義呼報反下同徴張里反施式豉反爭爭闘之爭離也力智反下同邪似嗟反未曾在能反下同淫辟匹亦反縣音玄治定直吏反韶常昭反夏日户雅反下同護户故反紂直乆反
〇邾婁人鄭人伐宋	邾婁小國序上者主會也
〇螟何以書記災也	災者有害於人物随事而至者先是隱公張百金之魚設苛令急法以禁民之所致○螟亡丁反蟲食苗心苛音河
〇冬十有二月辛巳公子彄卒	日者隱公賢君宜有恩禮於大夫益師始見法無駭有罪据俠又未命也故獨得於此日〇彄苦侯反見賢徧反
〇宋人伐鄭圍長葛邑不言圍此其言圍何	据伐於餘丘不言圍
彊也	至邑雖圍當言伐惡其彊而無義也必欲爲得邑故如其意言圍也所以不知鄭彊者公以楚師伐宋圍緡不言彊也〇彊渠羌反下同惡烏路反
六年春鄭人來輸平輸平者何輸平猶墮成也何言乎墮成	据翬㑹諸侯伐鄭後未道平也何道墮成〇輸平式朱反墮也左氏作渝平墮許規反
敗其成也	翬伐鄭後巳相與平但外平不書故云爾
曰吾成敗矣	吾魯也
吾與鄭人末有成也	末無也此傳發者解鄭稱人爲共國辭
吾與鄭人則曷爲末有成	据無戰伐之文
狐壤之戰隱公獲焉	時與鄭人戰於狐壤爲鄭所獲〇壤如丈反
然則何以不言戰	戰者内敗文也据鞌戰君獲言師敗績
諱獲也	君獲不言師敗績故以輸平諱也與鞌戰辟内敗文異戰例時偏戰日詐戰月不日者鄭詐之不月者正月也見隱終無奉正月之意不地者深諱也使若實輸平故不地也稱人共國辭者嫌來輸平獨惡鄭明鄭擅獲諸侯魯不能死難皆當絶之○見賢徧反惡烏路反難乃旦反
〇夏五月辛酉公㑹齊侯盟于艾秋七月此無事何以書春秋雖無事首時過則書	首始也時四時也過歷也春以正月爲始夏以四月爲始秋以七月爲始冬以十月爲始歷一時無事則書其始月也○艾王蓋反
首時過則何以書	据無事也
春秋編年四時具然後爲年	明王者當奉順四時之正也尚書曰欽若昊天歷象日月星辰敬授民時是也有事不月者人道正則天道定矣〇編必連反字林聲類皆布千反一音甫連反昊户老反
〇冬宋人取長葛外取邑不書此何以書乆也	古者師出不踰時今宋更年取邑乆暴師苦衆居外故書以疾之不繫鄭舉伐者明因上伐圍取也〇更音庚暴歩卜反反
〇齊侯使其弟年來聘其稱弟何	据諸侯之子稱公子
母弟稱弟母兄稱兄	母弟同母弟母兄同母兄不言同母言母弟者若謂不如爲如矣齊人語也分别同母者春秋變周之文從殷之質質家親親明當親厚異於羣公子也聘者問也來聘書者皆喜内見聘事也古者諸侯朝罷朝聘爲慕賢考禮一法度尊天子不言聘公者禮聘受之於大廟孝子謙不敢以已當之歸美於先君且重賔也〇别彼列反大廟音泰下同
〇秋公伐邾婁〇冬天王使凡伯來聘	書者喜之也古者諸侯有較德殊風異行天子聘問之當北面稱臣受之於大廟所以尊王命歸美於先君不敢以己當之
戎伐凡伯于楚丘以歸凡伯者何	上言聘此言伐嫌其異故執不知問
天子之大夫也此聘也其言伐之何	据出聘與郊柳異不得言伐也問伐加之者辟問輕重兩舉之
執之也執之則其言伐之何	据執季孫隱如不言伐
大之也	尊大王命責當死位故使與國同
曷爲大之	据王子突繫諸人
不與夷狄之執中國也	因地不接京師故以中國正之中國者禮義之國也執者治文也君子不使無禮義制治有禮義故絶不言執正之言伐也執天子大夫而以中國正之者執中國尚不可況執天子之大夫乎所以降夷狄尊天子爲順辭
其地何	据執季孫隱如不地
大之也	順上伐文使若楚丘爲國者猶慶父伐於餘丘也不地以衛者天子大夫銜王命至尊顧在所諸侯有出入所在赴其難當與國君等也録以歸者惡凡伯不死位以辱王命也○難乃旦反惡烏路反
八年春宋公衛侯遇于垂	宋公字上者時衛侯要宋公使不虞者爲主明當戒愼之無主者遇在其間置上則嫌爲事出置下則嫌無天法可以制月文不可施也〇要一遥反爲事于僞反下欲爲魯爲小國爲桓并年末注皆同
〇三月鄭伯使宛來歸邴宛者何鄭之微者也邴者何鄭湯沐之邑也天子有事于泰山諸侯皆從泰山之下諸侯皆有湯沐之邑焉	有事者巡守祭天告至之禮也當沐浴絜齊以致其敬故謂之湯沐邑也所以尊待諸侯而共其費也禮四井爲邑邑方二里東方二州四百二十國凡爲邑廣四十里袤四十二里取足舎止共槀榖而巳歸邴書者甚惡鄭伯無尊事天子之心專以湯沐邑歸魯背叛當誅也録使者重尊湯沐邑也王者所以必巡守者天下雖平自不親見猶恐逺方獨有不得其所故三年一使三公絀陟五年親自巡守巡猶循也守猶守也循行守視之辭亦不可國至人見爲煩擾故至四嶽足以知四方之政而巳尚書曰歳二月東巡守至于岱宗柴望秩于山川遂覲東后協時月正日同律度量衡脩五禮五玉三帛二生一死贄如五器卒乃復五月南巡守至于南嶽如岱禮八月西巡狩至于西嶽如𥘉十有一月朔巡守至于北嶽如西禮還至嵩如𥘉禮歸格于禰祖用特是也〇宛於阮反人名也一音烏卵反又烏勉反邴彼命反又音丙鄭邑左氏作祊從才用反巡守手又反本又作狩下除猶守守視以外同絜齊側皆反本多即作齊字後放此更不音而共音㳟下同費芳味反廣古壙反袤音茂槀古老反甚惡烏路反下同背歩内反使所吏反行下孟反量音亮贄音至嵩夙忠反格本又作假同古百反禰乃禮反本又作藝
庚寅我入邴其言入何	据上書歸取邑巳明無事復書入也〇復書扶又反下故復同
難也	入者非巳至之文難辭也此魯受邴與鄭同罪當誅故書入欲爲魯見重難辭〇難也乃旦反一音如字注及下同見重賢編反下同
其日何	据取邑不日
難也	以歸後乃日也言時重難不可即入至此日乃入
其言我何	据呉伐我以呉伐故言我
言我者非獨我也	自入邑不得言我有他人在其中乃得言我故能起其非獨我
齊亦欲之	時齊與鄭魯比聘會者亦欲得之故以非獨我起齊惡齊惡起則魯蒙欲邑見於惡愈矣
○夏六月已亥蔡侯考父卒〇辛亥宿男卒	宿本小國不當卒所以卒而日之者春秋王魯以隱公爲始受命王宿男先與隱公交接故卒襃之也不名不書葬者與微者盟功薄當襃之爲小國故從小國例
○秋七月庚午宋公齊侯衛侯盟于瓦屋〇八月葬蔡宣公卒何以名而葬不名卒從正	卒當赴告天子君前臣名故從君臣之正義言也
而葬從主人	至葬者有常月可知不赴告天子故自從蔡臣子辭稱公
卒何以日而葬不日卒赴	赴天子也縁天子閔傷欲其知之又臣子疾痛不能不具以告
而葬不告	不告天子也發傳於葬者從正也
○九月辛卯公及莒人盟于包來公曷爲與微者盟	据與齊髙傒盟諱之〇包來左氏作浮來傒音兮
稱人則從不疑也	從者隨從也實莒子也言莒子則嫌公行微不肖諸侯不肯隨從公盟而公反隨從之故使稱人則隨從公不疑矣隱爲桓立狐壤之戰不能死難又受湯沐邑卒無廉恥令翬有縁諂爲桓所疑故著其不肖僅能使微者隨從之耳蓋痛録隱所以失之又見獲受邑皆諱不明因與上相起也〇行户孟反難乃旦反令力呈反僅其靳反
〇螟	先是有狐壤之戰中丘之役又受邴田煩優之應〇應應對之應
〇冬十有二月無駭卒此展無駭也何以不氏	据公子彄卒氏公子
疾始滅也故終其身不氏	嫌上貶主起入爲滅不爲疾始故復爲疾始滅終身貶之足見上貶爲疾始滅
九年春天王使南季來聘〇三月癸酉大雨震電何以書記異也何異爾不時也	震雷電者陽氣也有聲名曰雷無聲名曰電周之三月夏之正月雨當水雪雜下雷當聞於地中其雉雊電未可見而大雨震電此陽氣大失其節猶隱公乆居位不反於桓失其宜也日者一日之中也凡災異一日者日歷日者月歷月者時歷時者加自文爲異發於九年者陽數可以極而不還國於桓之所致〇震電徒練反雊古豆反見賢徧反
〇庚辰大雨雪何以書記異也何異爾俶甚也	俶始怒也始怒甚猶大甚也蓋師說以爲平地七尺雪者盛隂之氣也八日之間先示隱公以不宜乆居位而繼以盛隂之氣大怒此桓將怒而弑隱公之象〇雨于付反俶甚天叔反始也大甚音泰
〇俠卒俠者何吾大夫之未命者也	以無氏而卒亡也未命所以卒之者賞疑從重無氏者少略也〇俠卒音恊榖梁云所俠少詩照反
○夏城郎〇秋七月〇冬公㑹齊侯于邴	〇于邴左氏作防
十年春王二月公㑹齊侯鄭伯于中丘	月者隱前爲鄭所獲今始與相見故危録内明君子當犯而不校也
○夏翬帥師㑹齊人鄭人伐宋此公子翬也何以不稱公子	据楚公子嬰齊貶後復稱公子〇復扶又反又音服
貶曷爲貶隱之罪人也故終隱之篇貶也	嫌上一貶可移於他事者故終隱之篇貶之明爲隱貶所以起隱之罪人也〇明爲于僞反下先爲同
〇六月壬戍公敗宋師于菅	〇公敗必邁反凡臨佗曰敗皆同此音菅古顔反
辛未取郜	〇郜古報反
辛巳取防取邑不日此何以日	据取闞不日也〇闞苦暫反
一月而再取也	欲起一月而再取故日
何言乎一月而再取	据取漷東田及沂西田亦一月再取兩邑不日〇漷火􁄹反又音郭沂魚依反
甚之也	甚魯因戰見利生事利心數動〇數所角反
内大惡諱此其言甚之何春秋録内而略外於外大惡書小惡不書於内大惡諱小惡書	明取邑爲小惡一月再取小惡中甚者耳故書也於内大惡諱於外大惡書者明王者起當先自正内無大惡然後乃可治諸夏大惡因見臣子之義當先爲君父諱大惡也内小惡書外小惡不書者内有小惡適可治諸夏大惡未可治諸夏小惡明當先自正然後正人小惡不諱者罪薄恥輕敗宋師日者見結日偏戰也不言戰者託王於魯故不以敵辭言之所以彊王義也〇見賢徧反下同
○秋宋人衛人入鄭〇宋人蔡人衛人伐載鄭伯伐取之其言伐取之何	据國言滅邑言取又徐人取舒不言伐
易也其易奈何因其力也因誰之力因宋人蔡人衛人之力也	載屬爲上三國所伐鄭伯無仁心因其困而滅之易君取邑故言取欲起其易因上伐力故同其文言伐就上載言取之也不月者移惡上三國〇易以䜴反下及注同屬音燭適也
〇冬十月壬午齊人鄭人入盛	日者盛魯同姓於隱篇再見入者明當憂録之〇入盛左氏作郕後皆放此
十有一年春滕侯薛侯來朝其言朝何	据内言如
諸侯來曰朝大夫來曰聘	傳言來者解内外也春秋王魯王者無朝諸侯之義故内適外言如外適内言朝聘所以别外尊内也不言朝公者禮朝受之於大廟與聘同義○别彼列反
其兼言之何	据鄧榖來朝不兼言朝
微國也	略小國也稱侯者春秋託隱公以爲始受命王滕薛先朝隱公故襃之巳於儀父見法復出滕薛者儀父盟功淺滕薛朝功大宿與微者盟功尤小起行之當各有差也滕序上者春秋變周之文從殷之質質家親親先封同姓〇見法賢徧反年末注同復出扶又反下文不復注故復同
○夏五月公㑹鄭伯于祁黎	〇祁黎祁音巨之反又上之反黎音力兮反又力私反左氏作時來
○秋七月壬午公及齊侯鄭伯入許	日者危録隱公也爲弟守國不尚推讓數行不義皇天降災謟臣進謀終不覺悟又復搆怨入許危亡之釁外内並生故危録之○爲弟于僞反年末注同數所角反釁許靳反
○冬十有一月壬辰公薨何以不書葬	据莊公書葬
隱之也何隱爾弑也	爲桓公所弑〇弑申志反注及下並同
弑則何以不書葬	据桓公書葬
春秋君弑賊不討不書葬以爲無臣子也	道春秋通例與文武異
子沈子曰君弑臣不討賊非臣也子不復讎非子也葬生者之事也春秋君弑賊不討不書葬以爲不繫乎臣子也	子沈子後師明說此意者明臣子不討賊當絶君喪無所繫也沈子稱子冠氏上者著其爲師也不但言子曰者辟孔子也其不冠子者他師也〇冠氏古亂反下同
公薨何以不地	据莊公薨于路寢
不忍言也	不忍言其僵尸之處〇僵居良反處昌慮反
隱何以無正月	据六年輸平不月
隱將讓乎桓故不有其正月也	嫌上諸成公意適可見始讓不能見終故復爲終篇去正月明隱終無有國之心但桓疑而弑之公薨主書者爲臣子恩痛之他國自從王者恩例録也〇去起吕反
